hgnc_symbol	description	ensembl_gene_ids	uniprot_gn_ids	consensus_score	islet_tpm	proteomics_human_islets
ORM1	orosomucoid 1	ENSG00000229314	P02763	7	0.02	NA
IL2	interleukin 2	ENSG00000109471	P60568	21	0.01	NA
CCL25	C-C motif chemokine ligand 25	ENSG00000131142	O15444	20	0.01	NA
BMP10	bone morphogenetic protein 10	ENSG00000163217	O95393	19	0.01	NA
IL22	interleukin 22	ENSG00000127318	Q9GZX6	18	0.01	NA
FGF6	fibroblast growth factor 6	ENSG00000111241	P10767	18	0.01	NA
CCL24	C-C motif chemokine ligand 24	ENSG00000106178	O00175	18	0.01	NA
CCL26	C-C motif chemokine ligand 26	ENSG00000006606	Q9Y258	17	0.01	NA
IFNG	interferon gamma	ENSG00000111537	P01579	17	0.01	NA
GDF5	growth differentiation factor 5	ENSG00000125965	P43026	17	0.01	NA
IFNB1	interferon beta 1	ENSG00000171855	P01574	16	0.01	NA
IFNA4	interferon alpha 4	ENSG00000236637	P05014	15	0.01	NA
IFNA14	interferon alpha 14	ENSG00000228083	P01570	15	0.01	NA
IFNA1	interferon alpha 1	ENSG00000197919	P01562	15	0.01	NA
FGF16	fibroblast growth factor 16	ENSG00000196468	O43320	15	0.01	NA
IL27	interleukin 27	ENSG00000197272	Q8NEV9	15	0.01	NA
ANGPT4	angiopoietin 4	ENSG00000101280	Q9Y264	15	0.01	NA
IFNL2	interferon lambda 2	ENSG00000183709	Q8IZJ0	14	0.01	NA
TNFSF8	TNF superfamily member 8	ENSG00000106952	P32971	13	0.01	NA
PROK2	prokineticin 2	ENSG00000163421	Q9HC23	13	0.01	NA
PTH	parathyroid hormone	ENSG00000152266	P01270	12	0.01	NA
CSHL1	chorionic somatomammotropin hormone like 1	ENSG00000204414	Q14406	11	0.01	NA
WNT8A	Wnt family member 8A	ENSG00000061492	Q9H1J5	10	0.01	NA
IL37	interleukin 37	ENSG00000125571	Q9NZH6	10	0.01	NA
WNT6	Wnt family member 6	ENSG00000115596	Q9Y6F9	9	0.01	NA
CGB3	chorionic gonadotropin subunit beta 3	ENSG00000104827	P0DN86	8	0.01	NA
OBP2A	odorant binding protein 2A	ENSG00000122136	Q9NY56	6	0.01	NA
IL9	interleukin 9	ENSG00000145839	P15248	20	0	NA
IL3	interleukin 3	ENSG00000164399	P08700	19	0	NA
FGF8	fibroblast growth factor 8	ENSG00000107831	P55075	18	0	NA
WNT3A	Wnt family member 3A	ENSG00000154342	P56704	18	0	NA
IL17A	interleukin 17A	ENSG00000112115	Q16552	17	0	NA
BMP15	bone morphogenetic protein 15	ENSG00000130385	O95972	17	0	NA
IL21	interleukin 21	ENSG00000138684	Q9HBE4	17	0	NA
IL17F	interleukin 17F	ENSG00000112116	Q96PD4	17	0	NA
FGF4	fibroblast growth factor 4	ENSG00000075388	P08620	17	0	NA
WNT1	Wnt family member 1	ENSG00000125084	P04628	17	0	NA
FGF3	fibroblast growth factor 3	ENSG00000186895	P11487	17	0	NA
OSTN	osteocrin	ENSG00000188729	P61366	16	0	NA
GDF2	growth differentiation factor 2	ENSG00000263761	Q9UK05	16	0	NA
GH2	growth hormone 2	ENSG00000136487	P01242	16	0	NA
OXT	oxytocin/neurophysin I prepropeptide	ENSG00000101405	P01178	15	0	NA
IFNA16	interferon alpha 16	ENSG00000147885	P05015	15	0	NA
IFNA10	interferon alpha 10	ENSG00000186803	P01566	15	0	NA
IFNA17	interferon alpha 17	ENSG00000234829	P01571	15	0	NA
IFNA7	interferon alpha 7	ENSG00000214042	P01567	15	0	NA
IFNA8	interferon alpha 8	ENSG00000120242	P32881	15	0	NA
IFNL3	interferon lambda 3	ENSG00000197110	Q8IZI9	15	0	NA
IFNA6	interferon alpha 6	ENSG00000120235	P05013	15	0	NA
IL25	interleukin 25	ENSG00000166090	Q9H293	15	0	NA
IFNA2	interferon alpha 2	ENSG00000188379	P01563	15	0	NA
AVP	arginine vasopressin	ENSG00000101200	P01185	15	0	NA
IFNL1	interferon lambda 1	ENSG00000182393	Q8IU54	14	0	NA
GALP	galanin like peptide	ENSG00000197487	Q9UBC7	14	0	NA
IL1F10	interleukin 1 family member 10	ENSG00000136697	Q8WWZ1	14	0	NA
FSHB	follicle stimulating hormone subunit beta	ENSG00000131808	P01225	14	0	NA
NPVF	neuropeptide VF precursor	ENSG00000105954	Q9HCQ7	13	0	NA
PRLH	prolactin releasing hormone	ENSG00000071677	P81277	13	0	NA
CSH1	chorionic somatomammotropin hormone 1	ENSG00000136488	P0DML2	13	0	NA
PDYN	prodynorphin	ENSG00000101327	P01213	13	0	NA
NMS	neuromedin S	ENSG00000204640	Q5H8A3	12	0	NA
PTH2	parathyroid hormone 2	ENSG00000142538	Q96A98	12	0	NA
GDF1	growth differentiation factor 1	ENSG00000130283	P27539	12	0	NA
IL26	interleukin 26	ENSG00000111536	Q9NPH9	11	0	NA
CSH2	chorionic somatomammotropin hormone 2	ENSG00000213218	P0DML3	11	0	NA
IL36A	interleukin 36 alpha	ENSG00000136694	Q9UHA7	10	0	NA
NTN3	netrin 3	ENSG00000162068	O00634	8	0	NA
DEFB103B	defensin beta 103B	ENSG00000273641, ENSG00000177243	P81534	7	0	NA
SLURP1	secreted LY6/PLAUR domain containing 1	ENSG00000126233	P55000	6	0	NA
AGT	angiotensinogen	ENSG00000135744	P01019	16	NA	13311.7
NRTN	neurturin	ENSG00000171119	Q99748	16	NA	NA
INSL5	insulin like 5	ENSG00000172410	Q9Y5Q6	16	NA	NA
GHRH	growth hormone releasing hormone	ENSG00000118702	P01286	15	NA	NA
IFNW1	interferon omega 1	ENSG00000177047	P05000	15	NA	NA
IFNA5	interferon alpha 5	ENSG00000147873	P01569	15	NA	NA
TNFSF18	TNF superfamily member 18	ENSG00000120337	Q9UNG2	14	NA	NA
BMP3	bone morphogenetic protein 3	ENSG00000152785	P12645	14	NA	NA
NPFF	neuropeptide FF-amide peptide precursor	ENSG00000139574	O15130	13	NA	NA
IFNK	interferon kappa	ENSG00000147896	Q9P0W0	11	NA	NA
CGB8	chorionic gonadotropin subunit beta 8	ENSG00000213030	P0DN86	8	NA	NA
