interaction	ligand	receptor	ligand_rank	receptor_rank	interaction_rank
VEGFD-NRP2	VEGFD	NRP2	0.7980997624703088	0.5574712643678161	0.8150510204081632
TNFSF13-TNFRSF11B	TNFSF13	TNFRSF11B	0.9382422802850356	0.47413793103448276	0.8144132653061225
IFNG-IFNGR2	IFNG	IFNGR2	0.6365795724465558	0.6982758620689655	0.8131377551020408
GDF5-BMPR1A	GDF5	BMPR1A	0.5771971496437055	0.7701149425287356	0.8131377551020408
GDF10-ACVR2B	GDF10	ACVR2B	0.48931116389548696	0.9080459770114943	0.8125
IL23A-IL23R	IL23A	IL23R	0.9216152019002375	0.47988505747126436	0.8118622448979592
NRG4-ERBB2	NRG4	ERBB2	0.5486935866983373	0.8045977011494253	0.8112244897959183
CSH1-PRLR	CSH1	PRLR	0.6365795724465558	0.6925287356321839	0.8099489795918368
CSHL1-PRLR	CSHL1	PRLR	0.6365795724465558	0.6925287356321839	0.8099489795918368
IAPP-CALCRL	IAPP	CALCRL	0.8812351543942993	0.49712643678160917	0.8093112244897959
BMP10-ACVR1	BMP10	ACVR1	0.6365795724465558	0.6839080459770115	0.8067602040816326
GDF2-ACVR1	GDF2	ACVR1	0.6365795724465558	0.6839080459770115	0.8067602040816326
GDF1-ACVR1	GDF1	ACVR1	0.6365795724465558	0.6839080459770115	0.8067602040816326
BMP15-ACVR1	BMP15	ACVR1	0.6365795724465558	0.6839080459770115	0.8067602040816326
WNT4-FZD6	WNT4	FZD6	0.5653206650831354	0.764367816091954	0.8061224489795918
CALCA-VIPR1	CALCA	VIPR1	0.5795724465558195	0.7413793103448276	0.8048469387755102
SEMA3B-PLXNA2	SEMA3B	PLXNA2	0.42992874109263657	0.9971264367816092	0.8042091836734694
RLN3-RXFP4	RLN3	RXFP4	0.9406175771971497	0.4540229885057471	0.8035714285714286
FGF23-FGFR1	FGF23	FGFR1	0.4489311163895487	0.9511494252873564	0.8029336734693877
BTC-ERBB3	BTC	ERBB3	0.47030878859857483	0.9022988505747126	0.8022959183673469
VIP-NPR3	VIP	NPR3	0.8479809976247031	0.5	0.8016581632653061
PRLH-PRLHR	PRLH	PRLHR	0.6365795724465558	0.6637931034482759	0.8010204081632653
IL12B-IL23R	IL12B	IL23R	0.8788598574821853	0.47988505747126436	0.8003826530612245
FGF23-FGFR4	FGF23	FGFR4	0.4489311163895487	0.9367816091954023	0.7997448979591837
IL13-IL13RA1	IL13	IL13RA1	0.6365795724465558	0.6580459770114943	0.798469387755102
IL4-IL13RA1	IL4	IL13RA1	0.6365795724465558	0.6580459770114943	0.798469387755102
ADM2-VIPR1	ADM2	VIPR1	0.5629453681710214	0.7413793103448276	0.7978316326530612
GDF10-ACVR2A	GDF10	ACVR2A	0.48931116389548696	0.8505747126436781	0.7971938775510204
NPPC-NPR2	NPPC	NPR2	0.5581947743467933	0.7442528735632183	0.7965561224489796
ADCYAP1-TSHR	ADCYAP1	TSHR	0.9833729216152018	0.4224137931034483	0.7959183673469388
DHH-PTCH2	DHH	PTCH2	0.5463182897862233	0.7557471264367817	0.795280612244898
TNFSF13-FAS	TNFSF13	FAS	0.9382422802850356	0.4396551724137931	0.7946428571428571
WNT3A-FZD5	WNT3A	FZD5	0.6365795724465558	0.646551724137931	0.7927295918367347
WNT1-FZD5	WNT1	FZD5	0.6365795724465558	0.646551724137931	0.7927295918367347
WNT8A-FZD5	WNT8A	FZD5	0.6365795724465558	0.646551724137931	0.7927295918367347
FGF23-FGFR3	FGF23	FGFR3	0.4489311163895487	0.9166666666666666	0.7920918367346939
POMC-OPRM1	POMC	OPRM1	0.9168646080760094	0.4482758620689655	0.7914540816326531
FGF3-FGFRL1	FGF3	FGFRL1	0.6365795724465558	0.6408045977011494	0.7901785714285714
FGF4-FGFRL1	FGF4	FGFRL1	0.6365795724465558	0.6408045977011494	0.7901785714285714
ADM-CALCRL	ADM	CALCRL	0.8194774346793349	0.49712643678160917	0.7895408163265306
IL6-IL6ST	IL6	IL6ST	0.48931116389548696	0.8304597701149425	0.7882653061224489
OSM-IL6ST	OSM	IL6ST	0.48931116389548696	0.8304597701149425	0.7882653061224489
IL4-IL4R	IL4	IL4R	0.6365795724465558	0.6379310344827587	0.7863520408163265
IL13-IL4R	IL13	IL4R	0.6365795724465558	0.6379310344827587	0.7863520408163265
IL21-IL4R	IL21	IL4R	0.6365795724465558	0.6379310344827587	0.7863520408163265
CALCA-CALCR	CALCA	CALCR	0.5795724465558195	0.6982758620689655	0.7850765306122449
IL25-IL17RA	IL25	IL17RA	0.6365795724465558	0.6350574712643678	0.7844387755102041
CALCB-TSHR	CALCB	TSHR	0.9548693586698337	0.4224137931034483	0.7838010204081632
CCL14-ACKR1	CCL14	ACKR1	0.48931116389548696	0.8189655172413793	0.7818877551020408
CCL8-ACKR1	CCL8	ACKR1	0.48931116389548696	0.8189655172413793	0.7818877551020408
CCL18-ACKR1	CCL18	ACKR1	0.48931116389548696	0.8189655172413793	0.7818877551020408
INHBA-ACVR1	INHBA	ACVR1	0.5843230403800475	0.6839080459770115	0.78125
LTA-TNFRSF1A	LTA	TNFRSF1A	0.5866983372921615	0.6810344827586207	0.7806122448979592
THBS1-TNFRSF11B	THBS1	TNFRSF11B	0.8408551068883611	0.47413793103448276	0.7799744897959183
WNT4-SMO	WNT4	SMO	0.5653206650831354	0.7040229885057471	0.7793367346938775
FGF5-FGFR1	FGF5	FGFR1	0.4180522565320665	0.9511494252873564	0.7786989795918368
RLN3-TSHR	RLN3	TSHR	0.9406175771971497	0.4224137931034483	0.7780612244897959
PF4-ACKR1	PF4	ACKR1	0.4845605700712589	0.8189655172413793	0.7774234693877551
PTH2-PTH2R	PTH2	PTH2R	0.6365795724465558	0.6206896551724138	0.7761479591836735
PTH-PTH2R	PTH	PTH2R	0.6365795724465558	0.6206896551724138	0.7761479591836735
GDF5-ACVR1	GDF5	ACVR1	0.5771971496437055	0.6839080459770115	0.7755102040816326
EPO-EPOR	EPO	EPOR	0.4489311163895487	0.8793103448275862	0.7748724489795918
ADM2-CALCR	ADM2	CALCR	0.5629453681710214	0.6982758620689655	0.7742346938775511
TNFSF15-TNFRSF25	TNFSF15	TNFRSF25	0.5961995249406176	0.6580459770114943	0.7735969387755102
WNT6-FZD3	WNT6	FZD3	0.40380047505938244	0.9712643678160919	0.7729591836734694
FGF5-FGFR4	FGF5	FGFR4	0.4180522565320665	0.9367816091954023	0.7723214285714286
IFNA1-IFNAR2	IFNA1	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNB1-IFNAR2	IFNB1	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNK-IFNAR2	IFNK	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNA10-IFNAR2	IFNA10	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNA14-IFNAR2	IFNA14	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNA16-IFNAR2	IFNA16	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNA17-IFNAR2	IFNA17	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNA2-IFNAR2	IFNA2	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNA21-IFNAR2	IFNA21	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNA4-IFNAR2	IFNA4	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNA6-IFNAR2	IFNA6	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNA7-IFNAR2	IFNA7	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
IFNA8-IFNAR2	IFNA8	IFNAR2	0.6365795724465558	0.6120689655172413	0.764030612244898
GDF10-BMPR2	GDF10	BMPR2	0.48931116389548696	0.7959770114942529	0.7633928571428571
NDP-LGR4	NDP	LGR4	0.4418052256532066	0.8793103448275862	0.7627551020408163
TAC4-TACR1	TAC4	TACR1	0.48931116389548696	0.7931034482758621	0.7621173469387755
WNT3A-FZD2	WNT3A	FZD2	0.6365795724465558	0.6091954022988506	0.7608418367346939
WNT1-FZD2	WNT1	FZD2	0.6365795724465558	0.6091954022988506	0.7608418367346939
SST-SSTR2	SST	SSTR2	0.39429928741092635	0.9827586206896551	0.7602040816326531
CCL7-CCR10	CCL7	CCR10	0.8479809976247031	0.45689655172413796	0.7595663265306123
POMC-TSHR	POMC	TSHR	0.9168646080760094	0.4224137931034483	0.7589285714285714
WNT7A-FZD9	WNT7A	FZD9	0.8693586698337292	0.4454022988505747	0.7582908163265306
WNT11-FZD9	WNT11	FZD9	0.8669833729216152	0.4454022988505747	0.7576530612244898
NPVF-NPFFR2	NPVF	NPFFR2	0.6365795724465558	0.6063218390804598	0.7570153061224489
RLN2-TSHR	RLN2	TSHR	0.9121140142517815	0.4224137931034483	0.7563775510204082
FGF5-FGFR3	FGF5	FGFR3	0.4180522565320665	0.9166666666666666	0.7557397959183674
IL17F-IL17RA	IL17F	IL17RA	0.6033254156769596	0.6350574712643678	0.7551020408163265
IFNW1-IFNAR1	IFNW1	IFNAR1	0.48931116389548696	0.7816091954022989	0.7544642857142857
TNF-FAS	TNF	FAS	0.8693586698337292	0.4396551724137931	0.7538265306122449
GDF7-ACVR1C	GDF7	ACVR1C	0.3847980997624703	0.9913793103448276	0.7531887755102041
CCL17-CCR4	CCL17	CCR4	0.9406175771971497	0.4051724137931034	0.7525510204081632
PDYN-OPRK1	PDYN	OPRK1	0.46080760095011875	0.8218390804597702	0.7519132653061225
NPVF-NPFFR1	NPVF	NPFFR1	0.6365795724465558	0.5948275862068966	0.7512755102040817
BTC-ERBB2	BTC	ERBB2	0.47030878859857483	0.8045977011494253	0.7506377551020408
PROK1-PROKR1	PROK1	PROKR1	0.9596199524940617	0.3936781609195402	0.75
BMP8B-ACVR2B	BMP8B	ACVR2B	0.4156769596199525	0.9080459770114943	0.7493622448979592
GDF10-BMPR1A	GDF10	BMPR1A	0.48931116389548696	0.7701149425287356	0.7487244897959183
SST-SSTR1	SST	SSTR1	0.39429928741092635	0.9540229885057471	0.7480867346938775
UCN3-CRHR2	UCN3	CRHR2	0.9786223277909739	0.382183908045977	0.7468112244897959
WNT16-FZD6	WNT16	FZD6	0.48931116389548696	0.764367816091954	0.7468112244897959
WNT6-FZD1	WNT6	FZD1	0.40380047505938244	0.9252873563218391	0.7461734693877551
FASLG-FAS	FASLG	FAS	0.8479809976247031	0.4396551724137931	0.7455357142857143
IAPP-TSHR	IAPP	TSHR	0.8812351543942993	0.4224137931034483	0.7448979591836735
IL11-IL6R	IL11	IL6R	0.5534441805225653	0.6724137931034483	0.7442602040816326
PDGFB-PDGFRA	PDGFB	PDGFRA	0.9643705463182898	0.3850574712643678	0.7436224489795918
CXCL13-OPRD1	CXCL13	OPRD1	0.6033254156769596	0.6149425287356322	0.7429846938775511
EGF-EGFR	EGF	EGFR	0.37767220902612825	0.9798850574712644	0.7423469387755102
WNT8A-FZD7	WNT8A	FZD7	0.6365795724465558	0.5804597701149425	0.7404336734693877
WNT3A-FZD7	WNT3A	FZD7	0.6365795724465558	0.5804597701149425	0.7404336734693877
WNT1-FZD7	WNT1	FZD7	0.6365795724465558	0.5804597701149425	0.7404336734693877
IFNA5-IFNAR2	IFNA5	IFNAR2	0.6033254156769596	0.6120689655172413	0.7397959183673469
IL6-F3	IL6	F3	0.48931116389548696	0.7528735632183908	0.7391581632653061
CCL16-ACKR1	CCL16	ACKR1	0.4489311163895487	0.8189655172413793	0.7385204081632653
ADCYAP1-VIPR2	ADCYAP1	VIPR2	0.9833729216152018	0.3735632183908046	0.7378826530612245
BMP7-ACVR1B	BMP7	ACVR1B	0.4014251781472684	0.9137931034482759	0.7372448979591837
BMP7-ACVR2B	BMP7	ACVR2B	0.4014251781472684	0.9080459770114943	0.7366071428571429
IL17F-IL17RC	IL17F	IL17RC	0.6033254156769596	0.603448275862069	0.735969387755102
IL22-IL10RA	IL22	IL10RA	0.6365795724465558	0.5718390804597702	0.7353316326530612
NXPH1-NRXN1	NXPH1	NRXN1	0.3681710213776722	0.9885057471264368	0.7340561224489796
IL22-IL20RA	IL22	IL20RA	0.6365795724465558	0.5689655172413793	0.7334183673469388
VIP-TSHR	VIP	TSHR	0.8479809976247031	0.4224137931034483	0.732780612244898
EPGN-ERBB4	EPGN	ERBB4	0.6009501187648456	0.5919540229885057	0.7321428571428571
PF4-FGFR2	PF4	FGFR2	0.4845605700712589	0.7327586206896551	0.7315051020408163
CCN3-PLXNA1	CCN3	PLXNA1	0.3752969121140142	0.9425287356321839	0.7308673469387755
BMP8B-ACVR2A	BMP8B	ACVR2A	0.4156769596199525	0.8505747126436781	0.7302295918367347
VIP-AVPR1A	VIP	AVPR1A	0.8479809976247031	0.4166666666666667	0.7295918367346939
NPPA-NPR2	NPPA	NPR2	0.47268408551068886	0.7442528735632183	0.7289540816326531
GDF7-ACVR1B	GDF7	ACVR1B	0.3847980997624703	0.9137931034482759	0.7283163265306123
GDF7-TGFBR1	GDF7	TGFBR1	0.3847980997624703	0.9109195402298851	0.7276785714285714
IL23A-IL12RB2	IL23A	IL12RB2	0.9216152019002375	0.3793103448275862	0.7270408163265306
GDF7-ACVR2B	GDF7	ACVR2B	0.3847980997624703	0.9080459770114943	0.7264030612244898
IL36G-IFNAR1	IL36G	IFNAR1	0.44655581947743467	0.7816091954022989	0.7257653061224489
NXPH1-NRXN2	NXPH1	NRXN2	0.3681710213776722	0.9454022988505747	0.7244897959183674
EBI3-IL6ST	EBI3	IL6ST	0.4180522565320665	0.8304597701149425	0.7238520408163265
ADM-TSHR	ADM	TSHR	0.8194774346793349	0.4224137931034483	0.7232142857142857
IL25-IL17RB	IL25	IL17RB	0.6365795724465558	0.5431034482758621	0.7225765306122449
FGF10-FGFR1	FGF10	FGFR1	0.36342042755344417	0.9511494252873564	0.7219387755102041
NPFF-NPFFR2	NPFF	NPFFR2	0.5700712589073634	0.6063218390804598	0.7213010204081632
WNT4-FZD2	WNT4	FZD2	0.5653206650831354	0.6091954022988506	0.7206632653061225
CCL11-ACKR2	CCL11	ACKR2	0.6365795724465558	0.5402298850574713	0.71875
CCL13-ACKR2	CCL13	ACKR2	0.6365795724465558	0.5402298850574713	0.71875
CCL21-ACKR2	CCL21	ACKR2	0.6365795724465558	0.5402298850574713	0.71875
CCL28-ACKR2	CCL28	ACKR2	0.6342042755344418	0.5402298850574713	0.7174744897959183
CCL5-CCR4	CCL5	CCR4	0.8456057007125891	0.4051724137931034	0.7174744897959183
ADCYAP1-ADCYAP1R1	ADCYAP1	ADCYAP1R1	0.9833729216152018	0.34770114942528735	0.7168367346938775
BMP7-ACVR2A	BMP7	ACVR2A	0.4014251781472684	0.8505747126436781	0.7161989795918368
EGF-ERBB3	EGF	ERBB3	0.37767220902612825	0.9022988505747126	0.7155612244897959
FGF10-FGFR4	FGF10	FGFR4	0.36342042755344417	0.9367816091954023	0.7149234693877551
MIF-TNFRSF10D	MIF	TNFRSF10D	0.46080760095011875	0.7385057471264368	0.7142857142857143
OSM-LIFR	OSM	LIFR	0.48931116389548696	0.6954022988505747	0.7136479591836735
CCL24-ACKR2	CCL24	ACKR2	0.6294536817102138	0.5402298850574713	0.7130102040816326
CCL22-CCR4	CCL22	CCR4	0.838479809976247	0.4051724137931034	0.7123724489795918
IGFL2-IGFLR1	IGFL2	IGFLR1	0.8266033254156769	0.4109195402298851	0.7117346938775511
NPFF-NPFFR1	NPFF	NPFFR1	0.5700712589073634	0.5948275862068966	0.7110969387755102
MIF-CXCR4	MIF	CXCR4	0.46080760095011875	0.735632183908046	0.7104591836734694
IL24-IL22RA1	IL24	IL22RA1	0.9904988123515439	0.34195402298850575	0.7098214285714286
WNT2-FZD3	WNT2	FZD3	0.34679334916864607	0.9712643678160919	0.7091836734693877
EDN3-EDNRA	EDN3	EDNRA	1	0.33620689655172414	0.7085459183673469
SEMA3E-NRP1	SEMA3E	NRP1	0.4346793349168646	0.7729885057471264	0.7079081632653061
IL26-IL20RA	IL26	IL20RA	0.5890736342042755	0.5689655172413793	0.7066326530612245
RSPO1-FZD8	RSPO1	FZD8	0.9406175771971497	0.3563218390804598	0.7066326530612245
CORT-SSTR2	CORT	SSTR2	0.33966745843230406	0.9827586206896551	0.7059948979591837
IL12B-IL12RB2	IL12B	IL12RB2	0.8788598574821853	0.3793103448275862	0.7053571428571429
NXPH1-NRXN3	NXPH1	NRXN3	0.3681710213776722	0.9051724137931034	0.7040816326530612
FGF10-FGFR3	FGF10	FGFR3	0.36342042755344417	0.9166666666666666	0.7034438775510204
IL27-IL27RA	IL27	IL27RA	0.6033254156769596	0.5517241379310345	0.7028061224489796
PPBP-ACKR1	PPBP	ACKR1	0.40617577197149646	0.8189655172413793	0.7021683673469388
IL36A-IL1RL2	IL36A	IL1RL2	0.9406175771971497	0.35344827586206895	0.701530612244898
SEMA3B-NRP1	SEMA3B	NRP1	0.42992874109263657	0.7729885057471264	0.7008928571428571
CALCB-ADCYAP1R1	CALCB	ADCYAP1R1	0.9548693586698337	0.34770114942528735	0.7002551020408163
BMP8B-BMPR2	BMP8B	BMPR2	0.4156769596199525	0.7959770114942529	0.6996173469387755
WNT8B-FZD3	WNT8B	FZD3	0.33966745843230406	0.9712643678160919	0.6989795918367347
IL6-IL6R	IL6	IL6R	0.48931116389548696	0.6724137931034483	0.6983418367346939
FGF23-FGFR2	FGF23	FGFR2	0.4489311163895487	0.7327586206896551	0.6977040816326531
IL1RN-IL1R2	IL1RN	IL1R2	0.8931116389548693	0.367816091954023	0.6970663265306123
SCGB1A1-LMBR1L	SCGB1A1	LMBR1L	0.4489311163895487	0.7298850574712644	0.6964285714285714
GDF7-ACVR2A	GDF7	ACVR2A	0.3847980997624703	0.8505747126436781	0.6957908163265306
RLN3-ADCYAP1R1	RLN3	ADCYAP1R1	0.9406175771971497	0.34770114942528735	0.6951530612244898
CXCL11-ACKR1	CXCL11	ACKR1	0.3990498812351544	0.8189655172413793	0.6945153061224489
IL36B-IL1RL2	IL36B	IL1RL2	0.9239904988123515	0.35344827586206895	0.6932397959183674
IL1F10-IL1RL2	IL1F10	IL1RL2	0.9239904988123515	0.35344827586206895	0.6932397959183674
EPO-EPHB4	EPO	EPHB4	0.4489311163895487	0.7270114942528736	0.6926020408163265
FGF1-EGFR	FGF1	EGFR	0.332541567695962	0.9798850574712644	0.6919642857142857
IL1B-IL1R2	IL1B	IL1R2	0.8836104513064132	0.367816091954023	0.6913265306122449
NRG4-ERBB4	NRG4	ERBB4	0.5486935866983373	0.5919540229885057	0.6906887755102041
CORT-SSTR1	CORT	SSTR1	0.33966745843230406	0.9540229885057471	0.6900510204081632
IL22-IL10RB	IL22	IL10RB	0.6365795724465558	0.5086206896551724	0.6875
IFNL1-IL10RB	IFNL1	IL10RB	0.6365795724465558	0.5086206896551724	0.6875
IFNL2-IL10RB	IFNL2	IL10RB	0.6365795724465558	0.5086206896551724	0.6875
IFNL3-IL10RB	IFNL3	IL10RB	0.6365795724465558	0.5086206896551724	0.6875
IL19-IL20RA	IL19	IL20RA	0.5676959619952494	0.5689655172413793	0.6868622448979592
CCL3L1-ACKR2	CCL3L1	ACKR2	0.5961995249406176	0.5402298850574713	0.6862244897959183
IL36RN-IL1RL2	IL36RN	IL1RL2	0.9097387173396675	0.35344827586206895	0.6855867346938775
NPY-NPY2R	NPY	NPY2R	0.997624703087886	0.3218390804597701	0.6849489795918368
WNT2-FZD1	WNT2	FZD1	0.34679334916864607	0.9252873563218391	0.6843112244897959
BMP8B-BMPR1A	BMP8B	BMPR1A	0.4156769596199525	0.7701149425287356	0.6836734693877551
NDP-FZD4	NDP	FZD4	0.4418052256532066	0.7241379310344828	0.6830357142857143
BMP7-BMPR2	BMP7	BMPR2	0.4014251781472684	0.7959770114942529	0.6823979591836735
RLN3-RXFP3	RLN3	RXFP3	0.9406175771971497	0.3390804597701149	0.6817602040816326
POMC-ADCYAP1R1	POMC	ADCYAP1R1	0.9168646080760094	0.34770114942528735	0.6811224489795918
CCL5-GPR75	CCL5	GPR75	0.8456057007125891	0.3764367816091954	0.6804846938775511
RLN2-ADCYAP1R1	RLN2	ADCYAP1R1	0.9121140142517815	0.34770114942528735	0.6798469387755102
BMP6-ACVR2B	BMP6	ACVR2B	0.3491686460807601	0.9080459770114943	0.6792091836734694
CRH-VIPR1	CRH	VIPR1	0.42755344418052255	0.7413793103448276	0.6785714285714286
VIP-VIPR2	VIP	VIPR2	0.8479809976247031	0.3735632183908046	0.6779336734693877
FGF1-FGFR1	FGF1	FGFR1	0.332541567695962	0.9511494252873564	0.6772959183673469
IL1RN-IL1RL2	IL1RN	IL1RL2	0.8931116389548693	0.35344827586206895	0.6766581632653061
CCN3-NOTCH1	CCN3	NOTCH1	0.3752969121140142	0.8390804597701149	0.6760204081632653
WNT9A-FZD3	WNT9A	FZD3	0.32304038004750596	0.9712643678160919	0.6753826530612245
SCGB3A1-NOTCH3	SCGB3A1	NOTCH3	0.4418052256532066	0.7097701149425287	0.6747448979591837
RLN3-RXFP2	RLN3	RXFP2	0.9406175771971497	0.3333333333333333	0.6741071428571429
HCRT-HCRTR2	HCRT	HCRTR2	0.8076009501187649	0.3879310344827586	0.673469387755102
GALP-GALR1	GALP	GALR1	0.6365795724465558	0.49137931034482757	0.6728316326530612
PPY-NPY2R	PPY	NPY2R	0.9714964370546318	0.3218390804597701	0.6721938775510204
FGF1-FGFR4	FGF1	FGFR4	0.332541567695962	0.9367816091954023	0.6715561224489796
BMP10-BMPR1B	BMP10	BMPR1B	0.6365795724465558	0.4885057471264368	0.6683673469387755
GDF2-BMPR1B	GDF2	BMPR1B	0.6365795724465558	0.4885057471264368	0.6683673469387755
GDF1-BMPR1B	GDF1	BMPR1B	0.6365795724465558	0.4885057471264368	0.6683673469387755
GDF3-BMPR1B	GDF3	BMPR1B	0.6365795724465558	0.4885057471264368	0.6683673469387755
BMP15-BMPR1B	BMP15	BMPR1B	0.6365795724465558	0.4885057471264368	0.6683673469387755
IL17A-IL17RA	IL17A	IL17RA	0.48931116389548696	0.6350574712643678	0.6677295918367347
IGF1-IGF2R	IGF1	IGF2R	0.31116389548693585	0.9942528735632183	0.6670918367346939
RLN2-RXFP3	RLN2	RXFP3	0.9121140142517815	0.3390804597701149	0.6664540816326531
BMP7-BMPR1A	BMP7	BMPR1A	0.4014251781472684	0.7701149425287356	0.6658163265306123
WNT11-FZD8	WNT11	FZD8	0.8669833729216152	0.3563218390804598	0.6651785714285714
NPY-NPY4R	NPY	NPY4R	0.997624703087886	0.3074712643678161	0.6645408163265306
IAPP-ADCYAP1R1	IAPP	ADCYAP1R1	0.8812351543942993	0.34770114942528735	0.6639030612244898
FGF5-FGFR2	FGF5	FGFR2	0.4180522565320665	0.7327586206896551	0.6632653061224489
GDF7-BMPR2	GDF7	BMPR2	0.3847980997624703	0.7959770114942529	0.6626275510204082
IL20-IL22RA1	IL20	IL22RA1	0.8954869358669834	0.34195402298850575	0.6619897959183674
AREG-EGFR	AREG	EGFR	0.31116389548693585	0.9798850574712644	0.6613520408163265
FGF1-FGFR3	FGF1	FGFR3	0.332541567695962	0.9166666666666666	0.6607142857142857
NPPC-NPR1	NPPC	NPR1	0.5581947743467933	0.5459770114942529	0.6600765306122449
RLN2-RXFP2	RLN2	RXFP2	0.9121140142517815	0.3333333333333333	0.6594387755102041
IGF1-IGF1R	IGF1	IGF1R	0.31116389548693585	0.9770114942528736	0.6588010204081632
EGF-ERBB2	EGF	ERBB2	0.37767220902612825	0.8045977011494253	0.6581632653061225
IL13-IL13RA2	IL13	IL13RA2	0.6365795724465558	0.47701149425287354	0.6568877551020408
IL4-IL13RA2	IL4	IL13RA2	0.6365795724465558	0.47701149425287354	0.6568877551020408
FSHB-VIPR1	FSHB	VIPR1	0.4085510688836104	0.7413793103448276	0.65625
RSPO3-LGR4	RSPO3	LGR4	0.34441805225653205	0.8793103448275862	0.6556122448979592
WNT10B-FZD3	WNT10B	FZD3	0.31116389548693585	0.9712643678160919	0.6549744897959183
IL36G-IL1RAP	IL36G	IL1RAP	0.44655581947743467	0.6752873563218391	0.6543367346938775
IL26-IL10RB	IL26	IL10RB	0.5890736342042755	0.5086206896551724	0.6536989795918368
IFNW1-IFNAR2	IFNW1	IFNAR2	0.48931116389548696	0.6120689655172413	0.6530612244897959
PPY-NPY4R	PPY	NPY4R	0.9714964370546318	0.3074712643678161	0.6524234693877551
WNT16-FZD2	WNT16	FZD2	0.48931116389548696	0.6091954022988506	0.6517857142857143
FGF13-EGFR	FGF13	EGFR	0.30403800475059384	0.9798850574712644	0.6511479591836735
EDN2-EDNRA	EDN2	EDNRA	0.8836104513064132	0.33620689655172414	0.6505102040816326
BMP6-ACVR2A	BMP6	ACVR2A	0.3491686460807601	0.8505747126436781	0.6498724489795918
NTF4-NTRK3	NTF4	NTRK3	0.43705463182897863	0.6781609195402298	0.6492346938775511
GALP-GALR3	GALP	GALR3	0.6365795724465558	0.46551724137931033	0.6485969387755102
GDF7-BMPR1A	GDF7	BMPR1A	0.3847980997624703	0.7701149425287356	0.6479591836734694
IL17A-IL17RC	IL17A	IL17RC	0.48931116389548696	0.603448275862069	0.6473214285714286
IGF1-INSR	IGF1	INSR	0.31116389548693585	0.9482758620689655	0.6466836734693877
VIP-ADCYAP1R1	VIP	ADCYAP1R1	0.8479809976247031	0.34770114942528735	0.6460459183673469
FASLG-TNFRSF6B	FASLG	TNFRSF6B	0.8479809976247031	0.3448275862068966	0.6447704081632653
WNT6-FZD4	WNT6	FZD4	0.40380047505938244	0.7241379310344828	0.6447704081632653
INSL3-VIPR1	INSL3	VIPR1	0.39429928741092635	0.7413793103448276	0.6441326530612245
EGF-NRP1	EGF	NRP1	0.37767220902612825	0.7729885057471264	0.6434948979591837
CCL21-CCR10	CCL21	CCR10	0.6365795724465558	0.45689655172413796	0.6428571428571429
IL1RN-IL2RG	IL1RN	IL2RG	0.8931116389548693	0.32471264367816094	0.642219387755102
CCL28-CCR10	CCL28	CCR10	0.6342042755344418	0.45689655172413796	0.6415816326530612
PMCH-MCHR1	PMCH	MCHR1	0.6033254156769596	0.47988505747126436	0.6409438775510204
FGF13-FGFR1	FGF13	FGFR1	0.30403800475059384	0.9511494252873564	0.6403061224489796
ANGPTL2-TIE1	ANGPTL2	TIE1	0.9928741092636579	0.29022988505747127	0.6396683673469388
CALCA-CALCRL	CALCA	CALCRL	0.5795724465558195	0.49712643678160917	0.6383928571428571
WNT10B-FZD1	WNT10B	FZD1	0.31116389548693585	0.9252873563218391	0.6377551020408163
KNG1-GPR135	KNG1	GPR135	0.47980997624703087	0.5977011494252874	0.6371173469387755
WNT9B-FZD3	WNT9B	FZD3	0.29453681710213775	0.9712643678160919	0.6364795918367347
IFNE-IFNAR1	IFNE	IFNAR1	0.3657957244655582	0.7816091954022989	0.6358418367346939
UCN2-IL10RB	UCN2	IL10RB	0.5605700712589073	0.5086206896551724	0.6352040816326531
ADM-ADCYAP1R1	ADM	ADCYAP1R1	0.8194774346793349	0.34770114942528735	0.6345663265306123
FGF13-FGFR4	FGF13	FGFR4	0.30403800475059384	0.9367816091954023	0.6339285714285714
WNT7A-FZD10	WNT7A	FZD10	0.8693586698337292	0.3275862068965517	0.6332908163265306
BMP8B-ACVR1	BMP8B	ACVR1	0.4156769596199525	0.6839080459770115	0.6326530612244898
WNT11-FZD10	WNT11	FZD10	0.8669833729216152	0.3275862068965517	0.6320153061224489
WNT1-FZD9	WNT1	FZD9	0.6365795724465558	0.4454022988505747	0.6313775510204082
TNFSF14-TNFRSF6B	TNFSF14	TNFRSF6B	0.8218527315914489	0.3448275862068966	0.6307397959183674
