Protein.Ids	Genes	STEM	ND	stemcell_NDislet_proteomics_FC	stemcell_NDislet_proteomics_adj_p_value
Q6DN90	IQSEC1	17082	10629	1.6070685	1.02E-09
Q9Y4B6	DCAF1	7849	14034	0.5592571	1.03E-09
Q92743	HTRA1	16892	5336	3.1656838	1.03E-09
Q709F0	ACAD11	4822	8581	0.5619316	1.04E-09
P46952	HAAO	4062	10582	0.3838867	1.04E-09
Q6NXE6	ARMC6	10085	6216	1.6224848	1.05E-09
O75140	DEPDC5	3603	5390	0.6683705	1.06E-09
Q9BSJ8	ESYT1	43074	85111	0.5060875	1.06E-09
P61619	SEC61A1	90295	141921	0.6362376	1.06E-09
A5YKK6	CNOT1	32975	24697	1.3351806	1.06E-09
Q92520	FAM3C	27692	65724	0.4213422	1.08E-09
Q12980	NPRL3	2623	4304	0.6093826	1.08E-09
B7ZAP0	RABGAP1L	6620	3132	2.114103	1.08E-09
Q16630	CPSF6	40619	26322	1.5431789	1.11E-09
Q6WKZ4	RAB11FIP1	33460	55256	0.6055427	1.11E-09
Q9BY77	POLDIP3	26655	20175	1.3212129	1.13E-09
P33240	CSTF2	23595	16193	1.4570691	1.14E-09
Q9BTC8	MTA3	10363	5446	1.9029491	1.14E-09
Q53H47	SETMAR	8331	5415	1.5385559	1.14E-09
Q5HYK3	COQ5	9826	13544	0.7255054	1.16E-09
Q12789	GTF3C1	14580	9602	1.518471	1.17E-09
Q92466	DDB2	4641	8958	0.5180787	1.18E-09
Q86XN8	MEX3D	6291	2117	2.9710254	1.19E-09
Q14008	CKAP5	31817	23553	1.3508835	1.20E-09
Q9NQ88	TIGAR	12169	9053	1.3441812	1.20E-09
O43299	AP5Z1	2661	1589	1.6744658	1.20E-09
Q16740	CLPP	15806	22851	0.6917281	1.21E-09
Q9UKM9	RALY	122110	76392	1.5984561	1.21E-09
Q9NRV9	HEBP1	53250	75035	0.7096612	1.25E-09
P32119	PRDX2	547245	307781	1.7780363	1.25E-09
Q9HA64	FN3KRP	11027	17885	0.6165273	1.26E-09
Q13151	HNRNPA0	172687	89733	1.9244534	1.31E-09
O43865	AHCYL1	53385	77463	0.6891649	1.33E-09
Q2TAA5	ALG11	9146	13860	0.6598717	1.33E-09
Q5T011	SZT2	3609	5839	0.6181099	1.33E-09
Q8WX77	IGFBPL1	23811	4428	5.3770345	1.33E-09
P43034	PAFAH1B1	86302	100334	0.8601511	1.34E-09
Q8N335	GPD1L	29634	46833	0.6327529	1.35E-09
Q96A35	MRPL24	17782	24340	0.7305398	1.35E-09
Q9NR56	MBNL1	24606	65673	0.3746738	1.35E-09
Q9H6K5	PRR36	5810	3237	1.7950475	1.36E-09
P06400	RB1	9425	5675	1.6608854	1.36E-09
Q96QK1	VPS35	100839	127102	0.7933688	1.37E-09
Q9NRY4	ARHGAP35	11218	7760	1.4455632	1.40E-09
P26006	ITGA3	6282	18536	0.3388954	1.41E-09
Q86W42	THOC6	18256	13094	1.3942269	1.42E-09
Q7LBC6	KDM3B	14403	7652	1.8823041	1.43E-09
P10301	RRAS	4885	14068	0.3472269	1.46E-09
Q9HB19	PLEKHA2	5704	16174	0.3526571	1.47E-09
Q13492	PICALM	24683	35613	0.6930945	1.48E-09
Q96DX5	ASB9	5205	46443	0.112064	1.48E-09
Q02809	PLOD1	14354	6323	2.270182	1.49E-09
Q9NXF7	DCAF16	1954	1048	1.8636695	1.50E-09
O94916	NFAT5	2435	3811	0.6389883	1.50E-09
O75152	ZC3H11A	14631	10313	1.4187187	1.51E-09
Q8WW59	SPRYD4	28790	44623	0.64519	1.52E-09
Q8NFJ9	BBS1	5766	8396	0.6867186	1.52E-09
Q8IZV5	RDH10	16920	7142	2.3690652	1.52E-09
P62318	SNRPD3	226165	156609	1.444133	1.52E-09
Q2TAA2	IAH1	17083	30565	0.5589176	1.54E-09
Q00688	FKBP3	81587	58344	1.3983775	1.54E-09
Q92614	MYO18A	35547	19879	1.7881553	1.54E-09
Q9NP92	MRPS30	12880	18766	0.6863408	1.57E-09
P35219	CA8	4641	11628	0.3990806	1.58E-09
P05023	ATP1A1	167291	244923	0.6830328	1.59E-09
Q6PI48	DARS2	11167	21420	0.5213308	1.64E-09
C4AMC7	WASH3P	13016	20143	0.6461593	1.64E-09
Q9NWS8	RMND1	12740	8608	1.4800272	1.65E-09
Q13153	PAK1	16850	11636	1.4481378	1.66E-09
P01308	INS	82168	415453	0.1977793	1.66E-09
Q04864	REL	2889	3839	0.752563	1.69E-09
Q96FV2	SCRN2	6254	9958	0.6280568	1.69E-09
Q7LG56	RRM2B	15048	27595	0.5453305	1.69E-09
Q96DV4	MRPL38	22447	28505	0.7874676	1.70E-09
P12694	BCKDHA	40010	54121	0.7392701	1.73E-09
Q14061	COX17	25546	47652	0.5360929	1.75E-09
O94855	SEC24D	34342	62301	0.5512184	1.75E-09
Q5JRA6	MIA3	13957	18700	0.746387	1.78E-09
Q6AI08	HEATR6	2181	1318	1.6544651	1.81E-09
Q9Y2J0	RPH3A	5279	2905	1.8169487	1.82E-09
P62820	RAB1A	341018	493357	0.691219	1.83E-09
Q9NTJ5	SACM1L	42751	65038	0.6573254	1.83E-09
Q9Y4A5	TRRAP	13745	9410	1.4607013	1.86E-09
Q9Y678	COPG1	112826	183506	0.6148365	1.88E-09
P36871	PGM1	97984	166079	0.5899858	1.89E-09
P09132	SRP19	6187	9994	0.6191021	1.99E-09
Q15418	RPS6KA1	15285	7430	2.057186	2.00E-09
P52434	POLR2H	17919	12591	1.4231644	2.01E-09
Q8N6H7	ARFGAP2	25258	34994	0.7217658	2.03E-09
Q96S90	LYSMD1	3666	2282	1.6065688	2.03E-09
Q9UPT8	ZC3H4	13520	8176	1.6535284	2.04E-09
Q96DN0	ERP27	2814	41483	0.0678397	2.06E-09
O14786	NRP1	3514	9676	0.3632058	2.06E-09
O75688	PPM1B	51278	41386	1.2390135	2.07E-09
Q01518	CAP1	83717	111756	0.7491028	2.07E-09
Q9NR28	DIABLO	49463	90040	0.5493434	2.08E-09
Q92785	DPF2	10682	6667	1.6022729	2.09E-09
O43493	TGOLN2	7017	19776	0.3548489	2.12E-09
Q9P2K5	MYEF2	93839	66867	1.4033729	2.13E-09
Q9H2U1	DHX36	21121	13967	1.5121858	2.13E-09
Q9Y314	NOSIP	5844	3549	1.6466814	2.13E-09
Q9UGM6	WARS2	7396	12654	0.584433	2.15E-09
Q5H9E4	SLC25A53	19566	9659	2.0255944	2.16E-09
P28838	LAP3	144495	96941	1.4905393	2.17E-09
Q9H2L5	RASSF4	2870	2034	1.4110406	2.18E-09
Q96DI7	SNRNP40	69397	51696	1.3424174	2.19E-09
Q14738	PPP2R5D	15622	11921	1.3104128	2.19E-09
Q13838	DDX39B	273514	217786	1.2558878	2.30E-09
O95989	NUDT3	16797	23416	0.7173465	2.31E-09
Q969G3	SMARCE1	25344	16284	1.5563497	2.32E-09
Q7Z4F1	LRP10	1300	3636	0.357589	2.33E-09
P05060	CHGB	20681	51665	0.4002841	2.35E-09
Q7Z4H3	HDDC2	11677	21210	0.5505327	2.35E-09
P03905	MT-ND4	35274	60657	0.5815368	2.37E-09
Q66K14	TBC1D9B	17179	23900	0.7188073	2.42E-09
P48059	LIMS1	14199	26332	0.5392248	2.43E-09
Q9UEE9	CFDP1	10349	7309	1.416038	2.45E-09
O15118	NPC1	6578	10985	0.5988268	2.45E-09
Q16540	MRPL23	15786	25148	0.6277317	2.47E-09
P14621	ACYP2	16584	11071	1.4978947	2.50E-09
Q96B54	ZNF428	9261	4212	2.1989076	2.50E-09
Q9Y446	PKP3	7558	17413	0.4340406	2.52E-09
Q8IWZ3	ANKHD1	4122	5488	0.7510443	2.56E-09
Q9Y6X5	ENPP4	20923	40310	0.5190519	2.56E-09
Q12907	LMAN2	59651	95749	0.6229862	2.56E-09
Q92791	P3H4	8089	4376	1.8484777	2.60E-09
P14649	MYL6B	5373	3532	1.5211552	2.60E-09
Q96C24	SYTL4	2167	4384	0.4941978	2.62E-09
Q9Y262	EIF3L	68368	81799	0.8358019	2.64E-09
Q6PHR2	ULK3	6081	4198	1.4485313	2.67E-09
Q6ZT21	TMPPE	5423	13277	0.408477	2.70E-09
Q96MH6	TMEM68	3846	7103	0.5414972	2.81E-09
Q8TCU6	PREX1	3656	7291	0.5013906	2.85E-09
Q12972	PPP1R8	19585	13274	1.4754295	2.85E-09
Q9Y5P4	CERT1	13237	9127	1.4502835	2.85E-09
Q96EY1	DNAJA3	14583	24069	0.6058728	2.92E-09
O43826	SLC37A4	35633	80620	0.4419917	2.96E-09
O75396	SEC22B	78542	133214	0.5895952	2.96E-09
Q9BXP5	SRRT	43847	30793	1.4239103	3.00E-09
P31146	CORO1A	23224	5633	4.1230234	3.02E-09
Q96EY8	MMAB	21856	32865	0.6650445	3.05E-09
A4D1E9	GTPBP10	5093	8299	0.6137084	3.11E-09
Q9HA82	CERS4	30244	15734	1.9222671	3.14E-09
Q96E52	OMA1	1448	3775	0.3835498	3.15E-09
O15069	NACAD	6752	2161	3.1252076	3.16E-09
Q53EP0	FNDC3B	5305	8708	0.6091823	3.24E-09
Q96MV1	TLCD4	6208	3967	1.5648461	3.24E-09
P53367	ARFIP1	21826	36912	0.5912939	3.24E-09
Q9NVN3	RIC8B	2637	4267	0.6179995	3.24E-09
Q68CZ2	TNS3	10681	17177	0.6217869	3.26E-09
Q13469	NFATC2	2253	1422	1.5840627	3.27E-09
O95363	FARS2	3057	5294	0.5774273	3.30E-09
Q7RTV5	PRXL2C	4122	10819	0.3810168	3.33E-09
O96019	ACTL6A	37019	21961	1.6856786	3.34E-09
P00367	GLUD1	112636	170839	0.6593103	3.36E-09
Q9NTJ4	MAN2C1	9014	14470	0.6229525	3.38E-09
P14866	HNRNPL	185564	132215	1.4035078	3.48E-09
Q9NQX4	MYO5C	4531	8668	0.5227766	3.55E-09
P09497	CLTB	23991	41626	0.5763524	3.59E-09
Q9UBP0	SPAST	11337	7180	1.578934	3.66E-09
Q8NEN9	PDZD8	4897	7625	0.6421845	3.69E-09
Q9NPH2	ISYNA1	69517	39879	1.7431763	3.74E-09
Q92600	CNOT9	10277	7741	1.3276915	3.78E-09
Q7Z7H5	TMED4	136880	266098	0.5143956	3.82E-09
Q92922	SMARCC1	19167	7374	2.5992977	3.97E-09
Q96CD0	FBXL8	4296	11683	0.3677015	3.98E-09
Q9Y2Q0	ATP8A1	29859	61837	0.4828628	4.00E-09
Q86U86	PBRM1	13010	7322	1.7767743	4.01E-09
Q9NRR5	UBQLN4	6568	2495	2.6331718	4.03E-09
Q06136	KDSR	2916	6152	0.4739707	4.03E-09
Q14997	PSME4	12516	5259	2.3797679	4.15E-09
Q96BX8	MOB3A	12510	7955	1.5725486	4.15E-09
Q01581	HMGCS1	33095	10781	3.0698264	4.16E-09
Q9P258	RCC2	87134	30321	2.8736773	4.16E-09
O75533	SF3B1	88026	63848	1.3786756	4.16E-09
Q86YV5	PRAG1	2318	947	2.447479	4.17E-09
Q9P2K6	KLHL42	6610	12143	0.5443202	4.23E-09
Q6UXN9	WDR82	35292	24973	1.413223	4.31E-09
Q13435	SF3B2	85622	66900	1.2798596	4.31E-09
Q05639	EEF1A2	92969	194818	0.4772067	4.39E-09
O14776	TCERG1	35589	24743	1.4383417	4.45E-09
Q12888	TP53BP1	34528	24460	1.4115886	4.51E-09
P78356	PIP4K2B	9778	7271	1.344747	4.53E-09
Q86UE4	MTDH	62232	98610	0.6310942	4.53E-09
P27824	CANX	132954	185286	0.7175601	4.53E-09
Q8WVV9	HNRNPLL	31408	21496	1.4611088	4.54E-09
O76038	SCGN	182403	470406	0.3877571	4.54E-09
Q9Y4W2	LAS1L	12111	7529	1.6086767	4.55E-09
P48380	RFX3	7979	5298	1.506031	4.55E-09
Q9H4L7	SMARCAD1	4409	2575	1.7124457	4.57E-09
Q9H2M9	RAB3GAP2	22624	29446	0.7683129	4.65E-09
Q5T6F2	UBAP2	4436	5652	0.7848442	4.65E-09
Q12830	BPTF	8545	5573	1.5332699	4.66E-09
Q9BYC9	MRPL20	5205	6915	0.7526494	4.67E-09
Q15424	SAFB	45053	31138	1.4468571	4.71E-09
Q27J81	INF2	12817	8237	1.5561074	4.76E-09
P62280	RPS11	185769	214623	0.865561	4.76E-09
O95267	RASGRP1	7239	12666	0.571532	4.76E-09
P05161	ISG15	26248	10957	2.3956396	4.81E-09
P16278	GLB1	74914	35552	2.1071392	4.82E-09
Q96N06	SPATA33	2691	1459	1.8446817	4.82E-09
O15321	TM9SF1	9220	15009	0.6143235	4.82E-09
O43488	AKR7A2	90739	129660	0.6998209	4.83E-09
Q86U90	YRDC	1933	3459	0.5588156	4.82E-09
O43399	TPD52L2	54550	87971	0.6200991	4.84E-09
Q6ZPD9	DPY19L3	9206	5444	1.6910369	4.85E-09
O95219	SNX4	20312	14464	1.4043607	4.93E-09
O60826	CCDC22	14199	19174	0.7405305	4.98E-09
Q9P2E3	ZNFX1	925	2020	0.4576897	5.02E-09
Q96JM3	CHAMP1	11265	5852	1.9248817	5.05E-09
Q6PJT7	ZC3H14	17974	13506	1.3308278	5.08E-09
Q9P015	MRPL15	15719	21269	0.7390833	5.14E-09
O75355	ENTPD3	3501	27818	0.1258384	5.23E-09
O43822	CFAP410	3499	6869	0.5093634	5.25E-09
Q9H4G4	GLIPR2	5167	16463	0.3138568	5.28E-09
Q9NVJ2	ARL8B	111976	192793	0.580807	5.31E-09
P53004	BLVRA	83854	65588	1.278497	5.36E-09
Q9UMS4	PRPF19	102005	77969	1.3082869	5.43E-09
Q9H8Y5	ANKZF1	5482	2981	1.8389319	5.58E-09
Q6L8Q7	PDE12	41087	63621	0.6458057	5.59E-09
O15541	RNF113A	5205	3627	1.4351683	5.61E-09
Q96BR5	COA7	6053	3733	1.6213336	5.62E-09
Q5JPH6	EARS2	6886	10380	0.6633772	5.66E-09
Q96F86	EDC3	14789	11148	1.3266148	5.66E-09
Q96PB1	CASD1	2360	6558	0.3597804	5.69E-09
Q9NQ55	PPAN	19565	14658	1.3348106	5.72E-09
O43903	GAS2	1604	9214	0.1741104	5.77E-09
Q7KZN9	COX15	6077	10858	0.5596849	5.79E-09
Q13769	THOC5	9110	6280	1.4506596	5.81E-09
Q5W0U4	BSPRY	4316	10298	0.4191172	5.82E-09
P20020	ATP2B1	82871	52092	1.5908741	5.87E-09
Q96KC2	ARL5B	8732	5570	1.5676537	5.91E-09
Q9UKU9	ANGPTL2	602	2129	0.2828041	5.94E-09
Q8NDX5	PHC3	1976	5552	0.3559122	6.03E-09
Q96QR8	PURB	15906	29450	0.5400997	6.10E-09
O75882	ATRN	5734	3664	1.5651414	6.13E-09
Q5JVF3	PCID2	11430	9369	1.2198834	6.14E-09
Q96RL7	VPS13A	4294	6164	0.6966632	6.14E-09
P18206	VCL	75004	138790	0.5404118	6.14E-09
Q6ZVM7	TOM1L2	21059	31952	0.6590745	6.18E-09
Q5TFE4	NT5DC1	6858	8672	0.7908243	6.18E-09
Q9GZT6	CCDC90B	5077	10746	0.4723994	6.18E-09
Q9P1W3	TMEM63C	10179	30542	0.3332726	6.28E-09
P06132	UROD	43121	30756	1.4020303	6.30E-09
Q15059	BRD3	10901	5982	1.8222881	6.34E-09
Q12965	MYO1E	3909	7821	0.4998314	6.48E-09
P27105	STOM	4553	56227	0.080974	6.50E-09
Q9NRS6	SNX15	9603	6803	1.4115428	6.57E-09
O94915	FRYL	7190	9143	0.7864063	6.61E-09
P50440	GATM	69406	290239	0.2391335	6.66E-09
P20226	TBP	6013	3874	1.552177	6.75E-09
Q9Y653	ADGRG1	5262	19413	0.2710803	6.85E-09
P84095	RHOG	13688	25522	0.5363417	7.05E-09
Q8N5M1	ATPAF2	7051	10515	0.6705762	7.10E-09
Q9BW30	TPPP3	40555	91810	0.441732	7.10E-09
Q13425	SNTB2	12095	20316	0.5953475	7.18E-09
Q9H3Z4	DNAJC5	14569	28981	0.5026984	7.22E-09
P0C7X5	ZNF806	6023	12987	0.4637855	7.28E-09
O43684	BUB3	94783	71513	1.3253961	7.27E-09
O60524	NEMF	9737	11928	0.8162592	7.28E-09
Q13404	UBE2V1	122756	97060	1.2647495	7.44E-09
Q13232	NME3	68726	133697	0.5140435	7.50E-09
Q05397	PTK2	14777	19240	0.7680308	7.60E-09
P98170	XIAP	6394	9392	0.6807533	7.63E-09
Q6NUM9	RETSAT	21956	13537	1.6219649	7.69E-09
P08758	ANXA5	392059	829761	0.4724956	7.71E-09
Q96S66	CLCC1	19478	26936	0.7231262	7.82E-09
O75973	C1QL1	3565	1172	3.0425655	7.83E-09
Q9NS15	LTBP3	1480	5552	0.2666406	7.84E-09
P61970	NUTF2	81930	64007	1.2800105	7.86E-09
Q5EB52	MEST	16532	4699	3.5182897	7.87E-09
Q6ZRP7	QSOX2	4993	8886	0.5619272	8.00E-09
P50402	EMD	48408	73411	0.659417	8.10E-09
Q5VWZ2	LYPLAL1	40345	60544	0.6663879	8.12E-09
P13716	ALAD	13255	24422	0.542752	8.20E-09
P19474	TRIM21	7232	10643	0.679514	8.26E-09
Q7Z3K3	POGZ	12114	6476	1.8704866	8.30E-09
Q8IY26	PLPP6	4619	2374	1.9453516	8.34E-09
Q9NVM9	INTS13	7998	6317	1.2659682	8.37E-09
P51513	NOVA1	23537	14823	1.5878482	8.76E-09
Q15650	TRIP4	9614	11421	0.8417394	8.78E-09
Q9NR31	SAR1A	45935	63064	0.7283865	8.78E-09
P0CK96	SLC35E2B	1869	3932	0.4754187	8.80E-09
Q9ULW5	RAB26	13790	26582	0.5187761	8.91E-09
Q96EB1	ELP4	5378	8416	0.6390212	9.04E-09
Q9Y2L5	TRAPPC8	9628	12564	0.7663497	9.12E-09
O00519	FAAH	3045	10698	0.2846047	9.14E-09
P16870	CPE	278421	600781	0.4634307	9.18E-09
O43490	PROM1	4922	2299	2.1404659	9.22E-09
O96033	MOCS2	6430	10787	0.5961187	9.27E-09
P21399	ACO1	39849	72593	0.5489346	9.40E-09
O60437	PPL	16539	29809	0.5548242	9.42E-09
Q96AC1	FERMT2	16964	31222	0.5433497	9.48E-09
O14562	UBFD1	38128	26768	1.424361	9.48E-09
P37268	FDFT1	7652	4978	1.5371432	9.52E-09
P35613	BSG	100507	33824	2.9714766	9.55E-09
Q9BV57	ADI1	8634	3121	2.766174	9.56E-09
Q9NUU6	OTULINL	22446	54474	0.4120501	9.56E-09
P80303	NUCB2	13593	29292	0.4640409	9.58E-09
Q8NDZ4	DIPK2A	7126	2635	2.7048708	9.59E-09
Q96T66	NMNAT3	3071	9471	0.3242932	9.83E-09
Q7Z3J2	VPS35L	11762	15219	0.7728875	9.89E-09
Q9H944	MED20	12027	7246	1.6598981	9.99E-09
Q96S55	WRNIP1	30043	21464	1.3997128	1.01E-08
P11274	BCR	13996	16474	0.8495964	1.01E-08
Q13608	PEX6	8739	5568	1.5694477	1.03E-08
Q8TBA6	GOLGA5	9642	16034	0.6013391	1.04E-08
P63167	DYNLL1	111358	63702	1.7481152	1.04E-08
Q14C86	GAPVD1	23120	14823	1.5597829	1.04E-08
P08651	NFIC	7499	38860	0.1929824	1.04E-08
P07477	PRSS1	71633	532167	0.1346066	1.05E-08
Q15526	SURF1	9522	16035	0.5937906	1.06E-08
Q8IX12	CCAR1	43750	30674	1.4262708	1.06E-08
P42765	ACAA2	76310	140407	0.5434921	1.08E-08
Q9BUN8	DERL1	18032	29596	0.6092637	1.08E-08
Q15629	TRAM1	14902	28282	0.5268989	1.10E-08
P15529	CD46	2721	7538	0.3610352	1.10E-08
P42566	EPS15	11329	17296	0.655005	1.10E-08
Q9P0P8	MTRES1	10973	17521	0.626292	1.11E-08
Q8NEZ2	VPS37A	3672	5555	0.6609697	1.11E-08
P50895	BCAM	48473	29923	1.6199261	1.12E-08
Q9H089	LSG1	8060	10676	0.7549465	1.12E-08
P40616	ARL1.00	70311	116278	0.6046788	1.15E-08
Q9UKV3	ACIN1	35244	27149	1.2981557	1.16E-08
Q8NBS9	TXNDC5	113239	179602	0.6304956	1.16E-08
Q86SQ0	PHLDB2	12596	8440	1.492386	1.17E-08
Q8TC26	TMEM163	18625	48973	0.3803152	1.18E-08
Q13948	CUX1	8921	14606	0.6107409	1.19E-08
Q0VDG4	SCRN3	3530	5635	0.6265111	1.19E-08
P21291	CSRP1	38853	68539	0.5668749	1.19E-08
P05408	SCG5	32919	93018	0.3538992	1.20E-08
P63279	UBE2I	55072	33521	1.6429205	1.21E-08
Q9P219	CCDC88C	2033	1318	1.5426716	1.21E-08
P15586	GNS	88181	51271	1.7198959	1.22E-08
Q15057	ACAP2	13534	18936	0.7147443	1.23E-08
Q5TAX3	TUT4	3490	2224	1.5692146	1.25E-08
P02765	AHSG	2021	315049	0.0064145	1.26E-08
O95319	CELF2	12913	8502	1.5188915	1.26E-08
Q92786	PROX1	3445	2009	1.7153033	1.27E-08
Q86YV9	HPS6	5133	6698	0.7662912	1.30E-08
P62701	RPS4X	238486	292424	0.815547	1.30E-08
Q7Z3B1	NEGR1	24083	8839	2.7246848	1.30E-08
Q9NR45	NANS	58173	85787	0.678111	1.31E-08
Q96J01	THOC3	12698	9068	1.4003876	1.32E-08
Q86UL3	GPAT4	7429	4961	1.4975169	1.32E-08
Q8WVB3	HEXD	2209	3573	0.6183463	1.34E-08
P00742	F10	90994	50912	1.787292	1.34E-08
Q96EC8	YIPF6	9655	16552	0.5833007	1.36E-08
P07902	GALT	17927	12232	1.4656308	1.39E-08
P78527	PRKDC	139927	94396	1.482341	1.40E-08
Q92759	GTF2H4	3604	2417	1.4910066	1.41E-08
Q8N3J5	PPM1K	1049	4316	0.2431334	1.43E-08
O15258	RER1	41277	55231	0.7473456	1.43E-08
Q9NYK5	MRPL39	11951	16147	0.7401395	1.44E-08
O14773	TPP1	150639	325466	0.4628415	1.45E-08
Q14019	COTL1	220068	84683	2.5987245	1.46E-08
Q16881	TXNRD1	24898	32276	0.771411	1.47E-08
O75663	TIPRL	35975	26355	1.3650127	1.47E-08
Q08211	DHX9	272629	207171	1.3159599	1.48E-08
Q14435	GALNT3	2363	10973	0.2153562	1.49E-08
P48723	HSPA13	20780	30093	0.6905262	1.50E-08
Q96GS6	ABHD17A	5033	7222	0.6969142	1.51E-08
Q9NW64	RBM22	23692	17017	1.3922521	1.52E-08
Q9NTZ6	RBM12	72744	52042	1.3977935	1.53E-08
Q6NXG1	ESRP1	5999	11544	0.5196531	1.54E-08
Q14141	SEPTIN6	12503	8813	1.4186864	1.58E-08
P61020	RAB5B	47859	71524	0.6691341	1.61E-08
O00299	CLIC1	377595	284216	1.3285505	1.61E-08
Q96JJ3	ELMO2	5512	3474	1.5866929	1.62E-08
Q8WUA4	GTF3C2	19802	14250	1.3896111	1.63E-08
Q8WWI1	LMO7	9043	26185	0.3453335	1.65E-08
Q9BWQ6	YIPF2	8046	20587	0.3908306	1.64E-08
Q9NZN5	ARHGEF12	9464	12169	0.777722	1.64E-08
P62266	RPS23	185895	222689	0.834775	1.66E-08
P61457	PCBD1	95836	60025	1.5966155	1.66E-08
P49755	TMED10	177964	307282	0.5791551	1.66E-08
Q9UPR0	PLCL2	3618	5302	0.682432	1.67E-08
P07203	GPX1	25644	34699	0.7390398	1.68E-08
Q8IZ52	CHPF	17427	27396	0.6361344	1.69E-08
P09001	MRPL3	14055	18384	0.7645167	1.70E-08
Q9Y274	ST3GAL6	3595	10939	0.3286829	1.71E-08
Q13496	MTM1	7012	9618	0.7291253	1.71E-08
P49406	MRPL19	22889	32164	0.7116442	1.72E-08
Q96TC7	RMDN3	11347	14756	0.7689681	1.73E-08
Q9NUQ9	CYRIB	51416	39769	1.2928795	1.73E-08
Q93008	USP9X	29145	37487	0.777478	1.73E-08
Q6UWE0	LRSAM1	11320	7818	1.4478077	1.74E-08
Q9H2V7	SPNS1	17758	10548	1.6835376	1.76E-08
P19784	CSNK2A2	26776	19587	1.3670148	1.76E-08
O14653	GOSR2	13268	22328	0.5942237	1.77E-08
Q9UKL0	RCOR1	6554	4165	1.5737198	1.80E-08
P10588	NR2F6	4144	2456	1.6873419	1.81E-08
P11310	ACADM	71756	112254	0.6392328	1.83E-08
Q96E11	MRRF	16034	27543	0.5821516	1.85E-08
P98175	RBM10	24984	18042	1.3847421	1.88E-08
P35637	FUS	171414	87374	1.9618514	1.90E-08
P33908	MAN1A1	45140	84851	0.5319912	1.94E-08
P43307	SSR1	43670	91612	0.4766811	1.94E-08
P09104	ENO2	152221	289799	0.5252636	1.97E-08
Q8NE62	CHDH	16789	34691	0.4839538	1.97E-08
Q6UW68	TMEM205	49593	92405	0.5366988	1.97E-08
Q13330	MTA1	24086	14338	1.6798703	1.98E-08
Q9Y646	CPQ	35894	115740	0.310128	1.99E-08
O43447	PPIH	21006	15574	1.3487918	2.02E-08
P17535	JUND	2297	4059	0.5658692	2.02E-08
Q8IVL6	P3H3	2254	1427	1.5798458	2.02E-08
O95782	AP2A1	54153	64149	0.8441794	2.02E-08
P61106	RAB14	104353	177423	0.5881611	2.02E-08
P05976	MYL1	13145	32091	0.4096199	2.03E-08
Q08AM6	VAC14	39564	24283	1.6292852	2.05E-08
Q02127	DHODH	11034	21601	0.5108373	2.05E-08
P04844	RPN2	150330	221683	0.6781319	2.07E-08
Q9UH99	SUN2	11132	19908	0.5591552	2.07E-08
P53597	SUCLG1	46548	80567	0.5777597	2.07E-08
O43251	RBFOX2	18888	12370	1.5269442	2.08E-08
Q6PGP7	TTC37	21820	27700	0.7877001	2.09E-08
Q9UL18	AGO1	16146	23886	0.6759933	2.09E-08
Q8N370	SLC43A2	9269	14316	0.6474213	2.09E-08
Q8NI27	THOC2	19907	14063	1.4155581	2.10E-08
Q6DN12	MCTP2	988	4053	0.2436991	2.13E-08
Q9P2J5	LARS1	50713	62329	0.8136315	2.14E-08
Q9ULH0	KIDINS220	9007	6931	1.2994792	2.14E-08
Q9NQX7	ITM2C	5913	3477	1.7005331	2.15E-08
Q9NPF4	OSGEP	32502	41318	0.7866152	2.15E-08
Q86SZ2	TRAPPC6B	13578	18038	0.7527211	2.21E-08
Q9UJF2	RASAL2	2446	4224	0.5790426	2.22E-08
P08727	KRT19	839407	507478	1.6540766	2.28E-08
Q7Z4Q2	HEATR3	5885	4392	1.3398938	2.29E-08
Q9Y6Q5	AP1M2	13892	32268	0.4305316	2.29E-08
P98194	ATP2C1	11131	18362	0.6062164	2.29E-08
Q9UNF0	PACSIN2	24827	34086	0.7283632	2.32E-08
Q96I99	SUCLG2	25349	63241	0.4008267	2.38E-08
Q96PY5	FMNL2	25905	17076	1.5170874	2.40E-08
P21397	MAOA	91494	168513	0.5429463	2.40E-08
P54278	PMS2	1764	1186	1.4865407	2.41E-08
P12111	COL6A3	23836	284404	0.083809	2.45E-08
O95881	TXNDC12	68611	38800	1.7682987	2.47E-08
Q9UKN8	GTF3C4	14930	10728	1.3917379	2.49E-08
P52597	HNRNPF	97491	68432	1.4246317	2.52E-08
Q9UIQ6	LNPEP	13623	24200	0.5629433	2.52E-08
Q9P0J1	PDP1	9438	13962	0.6760264	2.53E-08
Q15029	EFTUD2	67262	50778	1.3246448	2.55E-08
Q14684	RRP1B	16812	8950	1.8785043	2.56E-08
Q8N0Z6	TTC5	7824	5679	1.3777493	2.56E-08
Q6P158	DHX57	6888	4117	1.6729256	2.59E-08
Q9NYU1	UGGT2	18936	27082	0.6992212	2.59E-08
Q10469	MGAT2	5348	7470	0.7159152	2.63E-08
Q13308	PTK7	22276	15681	1.4206117	2.64E-08
O76070	SNCG	3934	1251	3.1435658	2.65E-08
Q96AQ8	MCUR1	3033	6600	0.459571	2.65E-08
O43169	CYB5B	21089	13950	1.5117206	2.65E-08
Q9UPU5	USP24	12605	9502	1.3266051	2.67E-08
Q53H82	LACTB2	9662	15761	0.6130477	2.67E-08
