interaction_symbol	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	curation_effort	n_references	n_resources
RLN3-RXFP2	RLN3	RXFP2	1	1	0	1	1	0	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:16411781;CellTalkDB:16411781;Cellinker:16411781;Guide2Pharma:16411781;LRdb:16411781;connectomeDB2020:16411781;scConnect:16411781	7	Baccin2019:16411781;CellTalkDB:16411781;Cellinker:16411781;Guide2Pharma:16411781;LRdb:16411781;connectomeDB2020:16411781;scConnect:16411781	12
RLN3-RXFP3	RLN3	RXFP3	1	1	0	1	1	0	Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_talklr;LMPID;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:14522968;Baccin2019:15367576;CellTalkDB:27245781;Cellinker:14522968;Cellinker:15367576;Cellinker:25761609;Guide2Pharma:14522968;Guide2Pharma:15367576;Guide2Pharma:17351017;Guide2Pharma:18434306;Guide2Pharma:22257012;HPMR:14522968;LMPID:24615237;connectomeDB2020:14522968;connectomeDB2020:15367576;scConnect:14522968;scConnect:15367576;scConnect:17351017;scConnect:18434306;scConnect:20159943;scConnect:22257012;scConnect:24641548	22	Baccin2019:14522968;Baccin2019:15367576;CellTalkDB:27245781;Cellinker:14522968;Cellinker:15367576;Cellinker:25761609;Guide2Pharma:14522968;Guide2Pharma:15367576;Guide2Pharma:17351017;Guide2Pharma:18434306;Guide2Pharma:22257012;HPMR:14522968;LMPID:24615237;connectomeDB2020:14522968;connectomeDB2020:15367576;scConnect:14522968;scConnect:15367576;scConnect:17351017;scConnect:18434306;scConnect:20159943;scConnect:22257012;scConnect:24641548	15
INSL5-RXFP3	INSL5	RXFP3	1	0	1	1	0	1	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:15525639;CellTalkDB:15525639;Cellinker:15525639;Cellinker:25761609;Guide2Pharma:18582868;LRdb:15525639;connectomeDB2020:15525639;scConnect:18582868	8	Baccin2019:15525639;CellTalkDB:15525639;Cellinker:15525639;Cellinker:25761609;Guide2Pharma:18582868;LRdb:15525639;connectomeDB2020:15525639;scConnect:18582868	13
INSL5-RXFP4	INSL5	RXFP4	1	1	0	1	1	0	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:1546592515525630;CellTalkDB:15465925;Cellinker:15465925;Cellinker:15525639;Cellinker:25761609;Cellinker:27888281;Guide2Pharma:15525639;Guide2Pharma:18582868;Guide2Pharma:18682868;Guide2Pharma:22257012;Guide2Pharma:24188028;Guide2Pharma:26824523;LRdb:15465925;LRdb:16;connectomeDB2020:15465925;connectomeDB2020:15525639;scConnect:15525639;scConnect:18582868;scConnect:18682868;scConnect:22257012;scConnect:24188028;scConnect:26824523;scConnect:27243554	23	Baccin2019:1546592515525630;CellTalkDB:15465925;Cellinker:15465925;Cellinker:15525639;Cellinker:25761609;Cellinker:27888281;Guide2Pharma:15525639;Guide2Pharma:18582868;Guide2Pharma:18682868;Guide2Pharma:22257012;Guide2Pharma:24188028;Guide2Pharma:26824523;LRdb:15465925;LRdb:16;connectomeDB2020:15465925;connectomeDB2020:15525639;scConnect:15525639;scConnect:18582868;scConnect:18682868;scConnect:22257012;scConnect:24188028;scConnect:26824523;scConnect:27243554	14
RLN3-RXFP4	RLN3	RXFP4	1	1	0	1	1	0	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LMPID;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr	CellTalkDB:14522967;Cellinker:14522967;Cellinker:25761609;Cellinker:27888281;Guide2Pharma:14522967;Guide2Pharma:17606621;Guide2Pharma:18582868;HPMR:14522967;HPMR:15367576;HPRD:14522967;LMPID:24802387;LRdb:14522967;connectomeDB2020:14522967;scConnect:14522967;scConnect:15525639;scConnect:17606621;scConnect:18582868	17	CellTalkDB:14522967;Cellinker:14522967;Cellinker:25761609;Cellinker:27888281;Guide2Pharma:14522967;Guide2Pharma:17606621;Guide2Pharma:18582868;HPMR:14522967;HPMR:15367576;HPRD:14522967;LMPID:24802387;LRdb:14522967;connectomeDB2020:14522967;scConnect:14522967;scConnect:15525639;scConnect:17606621;scConnect:18582868	16
SCT-SCTR	SCT	SCTR	1	1	0	1	1	0	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:7612008;Baccin2019:7782300;Baccin2019:8579602;Baccin2019:9440501;CellTalkDB:7782300;Cellinker:7612008;Cellinker:7782300;Cellinker:8579602;Cellinker:9440501;Guide2Pharma:7612008;HPMR:7782300;HPRD:7782300;HPRD:8579602;HPRD:9440501;LRdb:7612008;LRdb:7782300;LRdb:8579602;LRdb:9440501;connectomeDB2020:7612008;connectomeDB2020:7782300;connectomeDB2020:8579602;connectomeDB2020:9440501;scConnect:7612008	23	Baccin2019:7612008;Baccin2019:7782300;Baccin2019:8579602;Baccin2019:9440501;CellTalkDB:7782300;Cellinker:7612008;Cellinker:7782300;Cellinker:8579602;Cellinker:9440501;Guide2Pharma:7612008;HPMR:7782300;HPRD:7782300;HPRD:8579602;HPRD:9440501;LRdb:7612008;LRdb:7782300;LRdb:8579602;LRdb:9440501;connectomeDB2020:7612008;connectomeDB2020:7782300;connectomeDB2020:8579602;connectomeDB2020:9440501;scConnect:7612008	15
VIP-SCTR	VIP	SCTR	1	1	0	1	1	0	Baccin2019;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:1646711;CellTalkDB:8390245;Cellinker:1646711;Guide2Pharma:1646711;LRdb:1646711;connectomeDB2020:1646711;scConnect:1646711	7	Baccin2019:1646711;CellTalkDB:8390245;Cellinker:1646711;Guide2Pharma:1646711;LRdb:1646711;connectomeDB2020:1646711;scConnect:1646711	11
CORT-SSTR1	CORT	SSTR1	1	1	0	1	1	0	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10598788;Baccin2019:11011067;Baccin2019:15333679;Baccin2019:9125122;Baccin2019:9205124;Baccin2019:9650799;CellTalkDB:9650799;Cellinker:10598788;Cellinker:11011067;Cellinker:15333679;Cellinker:9125122;Cellinker:9205124;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:15333679;Guide2Pharma:9650799;HPMR:11011067;HPMR:9125122;HPRD:9125122;HPRD:9205124;LRdb:10598788;LRdb:11011067;LRdb:15333679;LRdb:9125122;LRdb:9205124;LRdb:9650799;connectomeDB2020:10598788;connectomeDB2020:11011067;connectomeDB2020:15333679;connectomeDB2020:9125122;connectomeDB2020:9205124;connectomeDB2020:9650799;scConnect:10598788;scConnect:15333679;scConnect:9650799	35	Baccin2019:10598788;Baccin2019:11011067;Baccin2019:15333679;Baccin2019:9125122;Baccin2019:9205124;Baccin2019:9650799;CellTalkDB:9650799;Cellinker:10598788;Cellinker:11011067;Cellinker:15333679;Cellinker:9125122;Cellinker:9205124;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:15333679;Guide2Pharma:9650799;HPMR:11011067;HPMR:9125122;HPRD:9125122;HPRD:9205124;LRdb:10598788;LRdb:11011067;LRdb:15333679;LRdb:9125122;LRdb:9205124;LRdb:9650799;connectomeDB2020:10598788;connectomeDB2020:11011067;connectomeDB2020:15333679;connectomeDB2020:9125122;connectomeDB2020:9205124;connectomeDB2020:9650799;scConnect:10598788;scConnect:15333679;scConnect:9650799	16
SST-SSTR1	SST	SSTR1	1	1	0	1	1	0	Baccin2019;CellCall;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;I2D_CellPhoneDB;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10598788;Baccin2019:11520208;Baccin2019:1346068;Baccin2019:15333679;Baccin2019:7988476;Baccin2019:8769372;Baccin2019:9600011;Baccin2019:9650799;Baccin2019:9724791;Baccin2019:9784130;CellTalkDB:9784130;Cellinker:10598788;Cellinker:11520208;Cellinker:1346068;Cellinker:15333679;Cellinker:7988476;Cellinker:8769372;Cellinker:9600011;Cellinker:9650799;Cellinker:9724791;Cellinker:9784130;Guide2Pharma:10598788;Guide2Pharma:11520208;Guide2Pharma:15333679;Guide2Pharma:7988476;Guide2Pharma:8769372;Guide2Pharma:9600011;Guide2Pharma:9650799;Guide2Pharma:9724791;Guide2Pharma:9784130;HPRD:1346068;LRdb:10598788;LRdb:11520208;LRdb:1346068;LRdb:15333679;LRdb:7988476;LRdb:8769372;LRdb:9600011;LRdb:9650799;LRdb:9724791;LRdb:9784130;connectomeDB2020:10598788;connectomeDB2020:11520208;connectomeDB2020:1346068;connectomeDB2020:15333679;connectomeDB2020:7988476;connectomeDB2020:8769372;connectomeDB2020:9600011;connectomeDB2020:9650799;connectomeDB2020:9724791;connectomeDB2020:9784130;scConnect:10598788;scConnect:11520208;scConnect:15333679;scConnect:7988476;scConnect:8769372;scConnect:9600011;scConnect:9650799;scConnect:9724791;scConnect:9784130	60	Baccin2019:10598788;Baccin2019:11520208;Baccin2019:1346068;Baccin2019:15333679;Baccin2019:7988476;Baccin2019:8769372;Baccin2019:9600011;Baccin2019:9650799;Baccin2019:9724791;Baccin2019:9784130;CellTalkDB:9784130;Cellinker:10598788;Cellinker:11520208;Cellinker:1346068;Cellinker:15333679;Cellinker:7988476;Cellinker:8769372;Cellinker:9600011;Cellinker:9650799;Cellinker:9724791;Cellinker:9784130;Guide2Pharma:10598788;Guide2Pharma:11520208;Guide2Pharma:15333679;Guide2Pharma:7988476;Guide2Pharma:8769372;Guide2Pharma:9600011;Guide2Pharma:9650799;Guide2Pharma:9724791;Guide2Pharma:9784130;HPRD:1346068;LRdb:10598788;LRdb:11520208;LRdb:1346068;LRdb:15333679;LRdb:7988476;LRdb:8769372;LRdb:9600011;LRdb:9650799;LRdb:9724791;LRdb:9784130;connectomeDB2020:10598788;connectomeDB2020:11520208;connectomeDB2020:1346068;connectomeDB2020:15333679;connectomeDB2020:7988476;connectomeDB2020:8769372;connectomeDB2020:9600011;connectomeDB2020:9650799;connectomeDB2020:9724791;connectomeDB2020:9784130;scConnect:10598788;scConnect:11520208;scConnect:15333679;scConnect:7988476;scConnect:8769372;scConnect:9600011;scConnect:9650799;scConnect:9724791;scConnect:9784130	16
CORT-SSTR2	CORT	SSTR2	1	1	0	1	1	0	Baccin2019;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10598788;Baccin2019:15333679;Baccin2019:9125122;Baccin2019:9650799;CellTalkDB:10598788;Cellinker:10598788;Cellinker:15333679;Cellinker:9125122;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:15333679;Guide2Pharma:9650799;HPRD:9125122;LRdb:10598788;LRdb:15333679;LRdb:9125122;LRdb:9650799;connectomeDB2020:10598788;connectomeDB2020:15333679;connectomeDB2020:9125122;connectomeDB2020:9650799;scConnect:10598788;scConnect:15333679;scConnect:9650799	24	Baccin2019:10598788;Baccin2019:15333679;Baccin2019:9125122;Baccin2019:9650799;CellTalkDB:10598788;Cellinker:10598788;Cellinker:15333679;Cellinker:9125122;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:15333679;Guide2Pharma:9650799;HPRD:9125122;LRdb:10598788;LRdb:15333679;LRdb:9125122;LRdb:9650799;connectomeDB2020:10598788;connectomeDB2020:15333679;connectomeDB2020:9125122;connectomeDB2020:9650799;scConnect:10598788;scConnect:15333679;scConnect:9650799	14
SST-SSTR2	SST	SSTR2	1	1	0	1	1	0	Baccin2019;CellCall;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10598788;Baccin2019:11520208;Baccin2019:1346068;Baccin2019:15333679;Baccin2019:7988476;Baccin2019:8702767;Baccin2019:8769372;Baccin2019:9650799;Baccin2019:9652348;Baccin2019:9724791;Baccin2019:9784130;CellTalkDB:10598788;Cellinker:10598788;Cellinker:11520208;Cellinker:1346068;Cellinker:15333679;Cellinker:7988476;Cellinker:8702767;Cellinker:8769372;Cellinker:9650799;Cellinker:9652348;Cellinker:9724791;Cellinker:9784130;Guide2Pharma:10598788;Guide2Pharma:11520208;Guide2Pharma:15333679;Guide2Pharma:7988476;Guide2Pharma:8769372;Guide2Pharma:9650799;Guide2Pharma:9652348;Guide2Pharma:9724791;Guide2Pharma:9784130;HPMR:8702767;HPRD:1346068;LRdb:10598788;LRdb:11520208;LRdb:1346068;LRdb:15333679;LRdb:7988476;LRdb:8702767;LRdb:8769372;LRdb:9650799;LRdb:9652348;LRdb:9724791;LRdb:9784130;connectomeDB2020:10598788;connectomeDB2020:11520208;connectomeDB2020:1346068;connectomeDB2020:15333679;connectomeDB2020:7988476;connectomeDB2020:8702767;connectomeDB2020:8769372;connectomeDB2020:9650799;connectomeDB2020:9652348;connectomeDB2020:9724791;connectomeDB2020:9784130;scConnect:10598788;scConnect:11520208;scConnect:15333679;scConnect:7988476;scConnect:8769372;scConnect:9650799;scConnect:9652348;scConnect:9724791;scConnect:9784130	65	Baccin2019:10598788;Baccin2019:11520208;Baccin2019:1346068;Baccin2019:15333679;Baccin2019:7988476;Baccin2019:8702767;Baccin2019:8769372;Baccin2019:9650799;Baccin2019:9652348;Baccin2019:9724791;Baccin2019:9784130;CellTalkDB:10598788;Cellinker:10598788;Cellinker:11520208;Cellinker:1346068;Cellinker:15333679;Cellinker:7988476;Cellinker:8702767;Cellinker:8769372;Cellinker:9650799;Cellinker:9652348;Cellinker:9724791;Cellinker:9784130;Guide2Pharma:10598788;Guide2Pharma:11520208;Guide2Pharma:15333679;Guide2Pharma:7988476;Guide2Pharma:8769372;Guide2Pharma:9650799;Guide2Pharma:9652348;Guide2Pharma:9724791;Guide2Pharma:9784130;HPMR:8702767;HPRD:1346068;LRdb:10598788;LRdb:11520208;LRdb:1346068;LRdb:15333679;LRdb:7988476;LRdb:8702767;LRdb:8769372;LRdb:9650799;LRdb:9652348;LRdb:9724791;LRdb:9784130;connectomeDB2020:10598788;connectomeDB2020:11520208;connectomeDB2020:1346068;connectomeDB2020:15333679;connectomeDB2020:7988476;connectomeDB2020:8702767;connectomeDB2020:8769372;connectomeDB2020:9650799;connectomeDB2020:9652348;connectomeDB2020:9724791;connectomeDB2020:9784130;scConnect:10598788;scConnect:11520208;scConnect:15333679;scConnect:7988476;scConnect:8769372;scConnect:9650799;scConnect:9652348;scConnect:9724791;scConnect:9784130	16
CORT-SSTR3	CORT	SSTR3	1	1	0	1	1	0	Baccin2019;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10598788;Baccin2019:15333679;Baccin2019:9125122;Baccin2019:9205124;Baccin2019:9650799;CellTalkDB:10598788;Cellinker:10598788;Cellinker:15333679;Cellinker:9125122;Cellinker:9205124;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:15333679;Guide2Pharma:9650799;HPMR:9125122;HPRD:9125122;HPRD:9205124;LRdb:10598788;LRdb:15333679;LRdb:9125122;LRdb:9205124;LRdb:9650799;connectomeDB2020:10598788;connectomeDB2020:15333679;connectomeDB2020:9125122;connectomeDB2020:9205124;connectomeDB2020:9650799;scConnect:10598788;scConnect:15333679;scConnect:9650799	30	Baccin2019:10598788;Baccin2019:15333679;Baccin2019:9125122;Baccin2019:9205124;Baccin2019:9650799;CellTalkDB:10598788;Cellinker:10598788;Cellinker:15333679;Cellinker:9125122;Cellinker:9205124;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:15333679;Guide2Pharma:9650799;HPMR:9125122;HPRD:9125122;HPRD:9205124;LRdb:10598788;LRdb:15333679;LRdb:9125122;LRdb:9205124;LRdb:9650799;connectomeDB2020:10598788;connectomeDB2020:15333679;connectomeDB2020:9125122;connectomeDB2020:9205124;connectomeDB2020:9650799;scConnect:10598788;scConnect:15333679;scConnect:9650799	15
SST-SSTR3	SST	SSTR3	1	1	0	1	1	0	Baccin2019;CellCall;CellChatDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10598788;Baccin2019:11520208;Baccin2019:1337145;Baccin2019:15333679;Baccin2019:7988476;Baccin2019:8097479;Baccin2019:8769372;Baccin2019:9600011;Baccin2019:9650799;Baccin2019:9724791;Baccin2019:9784130;CellTalkDB:9784130;Cellinker:10598788;Cellinker:11520208;Cellinker:1337145;Cellinker:15333679;Cellinker:7988476;Cellinker:8097479;Cellinker:8769372;Cellinker:9600011;Cellinker:9650799;Cellinker:9724791;Cellinker:9784130;Guide2Pharma:10598788;Guide2Pharma:11520208;Guide2Pharma:15333679;Guide2Pharma:7988476;Guide2Pharma:8097479;Guide2Pharma:8769372;Guide2Pharma:9600011;Guide2Pharma:9650799;Guide2Pharma:9724791;Guide2Pharma:9784130;HPRD:1337145;LRdb:10598788;LRdb:11520208;LRdb:1337145;LRdb:15333679;LRdb:7988476;LRdb:8097479;LRdb:8769372;LRdb:9600011;LRdb:9650799;LRdb:9724791;LRdb:9784130;connectomeDB2020:10598788;connectomeDB2020:11520208;connectomeDB2020:1337145;connectomeDB2020:15333679;connectomeDB2020:7988476;connectomeDB2020:8097479;connectomeDB2020:8769372;connectomeDB2020:9600011;connectomeDB2020:9650799;connectomeDB2020:9724791;connectomeDB2020:9784130;scConnect:10598788;scConnect:11520208;scConnect:15333679;scConnect:7988476;scConnect:8097479;scConnect:8769372;scConnect:9600011;scConnect:9650799;scConnect:9724791;scConnect:9784130	66	Baccin2019:10598788;Baccin2019:11520208;Baccin2019:1337145;Baccin2019:15333679;Baccin2019:7988476;Baccin2019:8097479;Baccin2019:8769372;Baccin2019:9600011;Baccin2019:9650799;Baccin2019:9724791;Baccin2019:9784130;CellTalkDB:9784130;Cellinker:10598788;Cellinker:11520208;Cellinker:1337145;Cellinker:15333679;Cellinker:7988476;Cellinker:8097479;Cellinker:8769372;Cellinker:9600011;Cellinker:9650799;Cellinker:9724791;Cellinker:9784130;Guide2Pharma:10598788;Guide2Pharma:11520208;Guide2Pharma:15333679;Guide2Pharma:7988476;Guide2Pharma:8097479;Guide2Pharma:8769372;Guide2Pharma:9600011;Guide2Pharma:9650799;Guide2Pharma:9724791;Guide2Pharma:9784130;HPRD:1337145;LRdb:10598788;LRdb:11520208;LRdb:1337145;LRdb:15333679;LRdb:7988476;LRdb:8097479;LRdb:8769372;LRdb:9600011;LRdb:9650799;LRdb:9724791;LRdb:9784130;connectomeDB2020:10598788;connectomeDB2020:11520208;connectomeDB2020:1337145;connectomeDB2020:15333679;connectomeDB2020:7988476;connectomeDB2020:8097479;connectomeDB2020:8769372;connectomeDB2020:9600011;connectomeDB2020:9650799;connectomeDB2020:9724791;connectomeDB2020:9784130;scConnect:10598788;scConnect:11520208;scConnect:15333679;scConnect:7988476;scConnect:8097479;scConnect:8769372;scConnect:9600011;scConnect:9650799;scConnect:9724791;scConnect:9784130	15
CORT-SSTR4	CORT	SSTR4	1	1	0	1	1	0	Baccin2019;CellChatDB;CellPhoneDB;CellTalkDB;Cellinker;EMBRACE;Fantom5_LRdb;Guide2Pharma;Guide2Pharma_CellPhoneDB;Guide2Pharma_Cellinker;Guide2Pharma_LRdb;Guide2Pharma_talklr;HPMR_Cellinker;HPMR_LRdb;HPMR_talklr;HPRD;HPRD_LRdb;HPRD_talklr;LRdb;Ramilowski2015;Ramilowski2015_Baccin2019;SIGNOR;STRING_talklr;Wang;connectomeDB2020;iTALK;scConnect;talklr	Baccin2019:10598788;Baccin2019:11011067;Baccin2019:9125122;Baccin2019:9205124;Baccin2019:9650799;CellTalkDB:10598788;Cellinker:10598788;Cellinker:11011067;Cellinker:9125122;Cellinker:9205124;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:9650799;HPRD:9125122;HPRD:9205124;LRdb:10598788;LRdb:11011067;LRdb:9125122;LRdb:9205124;LRdb:9650799;SIGNOR:11011067;connectomeDB2020:10598788;connectomeDB2020:11011067;connectomeDB2020:9125122;connectomeDB2020:9205124;connectomeDB2020:9650799;scConnect:10598788;scConnect:9650799	28	Baccin2019:10598788;Baccin2019:11011067;Baccin2019:9125122;Baccin2019:9205124;Baccin2019:9650799;CellTalkDB:10598788;Cellinker:10598788;Cellinker:11011067;Cellinker:9125122;Cellinker:9205124;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:9650799;HPRD:9125122;HPRD:9205124;LRdb:10598788;LRdb:11011067;LRdb:9125122;LRdb:9205124;LRdb:9650799;SIGNOR:11011067;connectomeDB2020:10598788;connectomeDB2020:11011067;connectomeDB2020:9125122;connectomeDB2020:9205124;connectomeDB2020:9650799;scConnect:10598788;scConnect:9650799	16
