uniprot	genesymbol	consensus_score	generic_categories	all_categories	receptor_uniprot	receptor_symbol	receptor_references
P61812	TGFB2	21	ecm, ligand	ecm, extracellular, intracellular, ligand, secreted	P01137, P10600, P17813, P29279, P36897, P37173, Q03167, Q04771	ACVR1, ACVR1_TGFBR1, ACVR1_TGFBR1_TGFBR2, ACVR1_TGFBR2, ACVR1B_TGFBR2, ACVR1C_TGFBR2, CCN2, ENG, TGFB1, TGFB3, TGFBR1, TGFBR1_TGFBR2, TGFBR2, TGFBR3	TGFBR2 [Baccin2019:11157754;Baccin2019:12809600;Baccin2019:8106553;CellTalkDB:11157754;HPMR:12809600;HPRD:11157754;HPRD:8106553;LRdb:11157754;LRdb:12809600;LRdb:8106553;NetPath:12729750;SIGNOR:11157754;SIGNOR:1310899;SignaLink3:11157754;SignaLink3:16446785;SignaLink3:21071413;SignaLink3:23331499;connectomeDB2020:11157754;connectomeDB2020:12809600;connectomeDB2020:8106553], TGFBR1 [Baccin2019:11157750;Baccin2019:12809600;CellTalkDB:12809600;DIP:10187774;HPMR:12809600;HPRD:11157754;LRdb:11;LRdb:12809600;NetPath:7608141;SIGNOR:22326956;connectomeDB2020:11157754;connectomeDB2020:12809600], TGFBR3 [Baccin2019:11157750;Baccin2019:12809600;CellTalkDB:12809600;Cellinker:11157754;Cellinker:12809600;DIP:10519421;DIP:8041735;DIP:9312157;HPMR:12809600;HPRD:11157754;LRdb:11;LRdb:12809600;NetPath:11278442;SIGNOR:10746731;connectomeDB2020:11157754;connectomeDB2020:12809600], ENG [Baccin2019:12015308;CellTalkDB:12015308;Cellinker:12015308;HPRD:12015308;LRdb:12015308;connectomeDB2020:12015308], ACVR1 [Baccin2019:21102460;CellTalkDB:32196115;connectomeDB2020:21102460], TGFB1 [HPRD:11157754], TGFB3 [HPRD:11157754], CCN2 [HPRD:10457363]
Q9Y6Y9	LY96	1	ligand	cell_surface, extracellular, intracellular, ligand, plasma_membrane_transmembrane, secreted	P09429	HMGB1	HMGB1 [SIGNOR:25559892]
P00738	HP	8	ligand	extracellular, intracellular, ligand, secreted	O00206, P02647, P05107, P07306, P07307, P11215, P20273, P68871, P69905, Q86VB7	APOA1, ASGR1, ASGR2, CD163, CD22, HBA1, HBB, ITGAM, ITGB2, TLR4	APOA1 [BioGRID:15533931;Lit-BM-17:19758344;SIGNOR:17824618], HBB [BioGRID:7378053;HPRD:7378053;SIGNOR:9315856], HBA1 [SIGNOR:9315856], ITGAM [CellTalkDB:11967116;Cellinker:11967116;HPRD:11967116;LRdb:11967116;connectomeDB2020:8786317], ITGB2 [CellTalkDB:11967116;Cellinker:11967116;HPRD:11967116;LRdb:11967116;connectomeDB2020:8786317], TLR4 [CellTalkDB:31076532], CD163 [CellTalkDB:25389409;HPRD:11854028;connectomeDB2020:27294203], CD22 [CellTalkDB:9127741;HPRD:11967116], ASGR1 [CellTalkDB:32196115], ASGR2 [CellTalkDB:32196115]
P40189	IL6ST	1	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, ligand, ligand_regulator, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	O60674, P04626, P15498, P19235, P21860, P23458, P29353, P29597, P40763, P42224, P62993, Q06124, Q8N0Z9, Q9UQC2	EPOR, ERBB2, ERBB3, GAB2, GRB2, JAK1, JAK2, PTPN11, SHC1, STAT1, STAT3, TYK2, VAV1, VSIG10	JAK2 [NetPath:7896787;ProtMapper:9716487;SIGNOR:9716487;SignaLink3:23331499;SignaLink3:8174677;iPTMnet:9716487], TYK2 [DIP:9388212;HPRD:9388212;SignaLink3:10929036;SignaLink3:23331499;SignaLink3:9388212], JAK1 [BioGRID:11742534;DIP:21220115;DIP:9388212;HPRD:11468294;HPRD:11742534;NetPath:7896787;SIGNOR:23663276;SIGNOR:24710148;SignaLink3:11468294;SignaLink3:11742534;SignaLink3:12487370;SignaLink3:23331499], GAB2 [SignaLink3:10068651;SignaLink3:23331499], SHC1 [NetPath:7963520;SIGNOR:9126968], ERBB3 [Cellinker:11821958;HPRD:11821958], VSIG10 [Cellinker:32589946], ERBB2 [Cellinker:11821958;HPRD:11821958;NetPath:9590694], EPOR [Cellinker:19002875], PTPN11 [BioGRID:10946280;HPRD:10946280;HPRD:12403768;HPRD:9195977;NetPath:12040451;NetPath:8978300], GRB2 [InnateDB:9013873;NetPath:7963520], STAT3 [HPRD:12361954;NetPath:12040451;NetPath:12361954;NetPath:8272872;ProtMapper:18060032], VAV1 [HPRD:9013873;InnateDB:9013873;NetPath:9013873], STAT1 [NetPath:8662591]
P04083	ANXA1	12	adhesion, cell_surface_ligand, ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, receptor, secreted	O75923, P00533, P08913, P12931, P21462, P25089, P25090, P48039, Q14831	ADRA2A, DYSF, EGFR, FPR1, FPR2, FPR2_FPR3, FPR3, GRM7, MTNR1A, SRC	FPR2 [Baccin2019:10882119;Baccin2019:12368905;Baccin2019:12560218;Baccin2019:16278303;CellChatDB:23230437;CellPhoneDB:22610094;CellTalkDB:22610094;Cellinker:10882119;Cellinker:12368905;Cellinker:12560218;Cellinker:16278303;Cellinker:22610094;Cellinker:23230437;Guide2Pharma:12368905;LRdb:10882119;LRdb:12368905;LRdb:12560218;LRdb:16278303;SIGNOR:15187149;connectomeDB2020:10882119;connectomeDB2020:12368905;connectomeDB2020:12560218;connectomeDB2020:16278303;scConnect:10882119;scConnect:12368905;scConnect:12560218;scConnect:16278303], FPR3 [CellTalkDB:15187149;Cellinker:15187149;Guide2Pharma:15187149;LRdb:15187149;SIGNOR:15187149;connectomeDB2020:15187149;scConnect:15187149], SRC [HPRD:2457390;SIGNOR:24103589], EGFR [CellTalkDB:15581623;Cellinker:15581623;HPRD:15581623;IntAct:15581623;IntAct:20029029;IntAct:31980649;LRdb:15581623;Lit-BM-17:15581623;Lit-BM-17:20029029;Lit-BM-17:24189400;connectomeDB2020:15581623], FPR1 [Baccin2019:10882119;Baccin2019:12560218;CellChatDB:23230437;CellTalkDB:10882119;Cellinker:10882119;Cellinker:12560218;Cellinker:23230437;HPMR:10882119;HPRD:10882119;LRdb:10882119;LRdb:13;SIGNOR:15187149;connectomeDB2020:10882119;connectomeDB2020:12560218;scConnect:10882119;scConnect:12560218], DYSF [Baccin2019:14506282;Cellinker:14506282;HPRD:14506282;LRdb:14506282;connectomeDB2020:14506282], ADRA2A [CellTalkDB:32196115], MTNR1A [CellTalkDB:32196115], GRM7 [CellTalkDB:32196115]
O00230	CORT	14	ligand	extracellular, intracellular, ligand, secreted	P08913, P30872, P30874, P31391, P32745, P35346, P48039, Q14831, Q92847, Q96LB1	ADRA2A, GHSR, GRM7, MRGPRX2, MTNR1A, SSTR1, SSTR2, SSTR3, SSTR4, SSTR5	SSTR1 [Baccin2019:10598788;Baccin2019:11011067;Baccin2019:15333679;Baccin2019:9125122;Baccin2019:9205124;Baccin2019:9650799;CellTalkDB:9650799;Cellinker:10598788;Cellinker:11011067;Cellinker:15333679;Cellinker:9125122;Cellinker:9205124;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:15333679;Guide2Pharma:9650799;HPMR:11011067;HPMR:9125122;HPRD:9125122;HPRD:9205124;LRdb:10598788;LRdb:11011067;LRdb:15333679;LRdb:9125122;LRdb:9205124;LRdb:9650799;connectomeDB2020:10598788;connectomeDB2020:11011067;connectomeDB2020:15333679;connectomeDB2020:9125122;connectomeDB2020:9205124;connectomeDB2020:9650799;scConnect:10598788;scConnect:15333679;scConnect:9650799], SSTR2 [Baccin2019:10598788;Baccin2019:15333679;Baccin2019:9125122;Baccin2019:9650799;CellTalkDB:10598788;Cellinker:10598788;Cellinker:15333679;Cellinker:9125122;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:15333679;Guide2Pharma:9650799;HPRD:9125122;LRdb:10598788;LRdb:15333679;LRdb:9125122;LRdb:9650799;connectomeDB2020:10598788;connectomeDB2020:15333679;connectomeDB2020:9125122;connectomeDB2020:9650799;scConnect:10598788;scConnect:15333679;scConnect:9650799], SSTR3 [Baccin2019:10598788;Baccin2019:15333679;Baccin2019:9125122;Baccin2019:9205124;Baccin2019:9650799;CellTalkDB:10598788;Cellinker:10598788;Cellinker:15333679;Cellinker:9125122;Cellinker:9205124;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:15333679;Guide2Pharma:9650799;HPMR:9125122;HPRD:9125122;HPRD:9205124;LRdb:10598788;LRdb:15333679;LRdb:9125122;LRdb:9205124;LRdb:9650799;connectomeDB2020:10598788;connectomeDB2020:15333679;connectomeDB2020:9125122;connectomeDB2020:9205124;connectomeDB2020:9650799;scConnect:10598788;scConnect:15333679;scConnect:9650799], SSTR4 [Baccin2019:10598788;Baccin2019:11011067;Baccin2019:9125122;Baccin2019:9205124;Baccin2019:9650799;CellTalkDB:10598788;Cellinker:10598788;Cellinker:11011067;Cellinker:9125122;Cellinker:9205124;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:9650799;HPRD:9125122;HPRD:9205124;LRdb:10598788;LRdb:11011067;LRdb:9125122;LRdb:9205124;LRdb:9650799;SIGNOR:11011067;connectomeDB2020:10598788;connectomeDB2020:11011067;connectomeDB2020:9125122;connectomeDB2020:9205124;connectomeDB2020:9650799;scConnect:10598788;scConnect:9650799], SSTR5 [Baccin2019:10598788;Baccin2019:11011067;Baccin2019:15333679;Baccin2019:9125122;Baccin2019:9205124;Baccin2019:9650799;CellTalkDB:9125122;Cellinker:10598788;Cellinker:11011067;Cellinker:15333679;Cellinker:9125122;Cellinker:9205124;Cellinker:9650799;Guide2Pharma:10598788;Guide2Pharma:15333679;Guide2Pharma:9650799;HPRD:9125122;HPRD:9205124;LRdb:10598788;LRdb:11011067;LRdb:15333679;LRdb:9125122;LRdb:9205124;LRdb:9650799;connectomeDB2020:10598788;connectomeDB2020:11011067;connectomeDB2020:15333679;connectomeDB2020:9125122;connectomeDB2020:9205124;connectomeDB2020:9650799;scConnect:10598788;scConnect:15333679;scConnect:9650799], GHSR [Baccin2019:1122773711227730;CellTalkDB:11227737;Cellinker:11227737;HPRD:11227737;LRdb:11227737;SIGNOR:12161511;connectomeDB2020:11227737], MRGPRX2 [Baccin2019:1291540212915400;CellTalkDB:12915402;Cellinker:12915402;HPMR:12915402;HPRD:12915402;LRdb:12915402;SIGNOR:16111673;connectomeDB2020:12915402], ADRA2A [CellTalkDB:32196115], MTNR1A [CellTalkDB:32196115], GRM7 [CellTalkDB:32196115]
Q86YW7	GPHB5	3	ligand	intracellular, ligand, secreted	P16473	TSHR	TSHR [connectomeDB2020:16210345]
Q9BXJ3	C1QTNF4	2	ligand	intracellular, ligand, secreted	NA	NA	NA
Q00888	PSG4	2	ligand	extracellular, ligand, secreted	O60469, P32971	DSCAM, TNFSF8	TNFSF8 [Cellinker:32822567], DSCAM [Cellinker:32822567]
P13497	BMP1	5	ecm, ligand, receptor	ecm, ecm_regulator, extracellular, intracellular, ligand, receptor, secreted	O00238, P02452, P05997, P20908, P36894, Q02388, Q13873	BMPR1A, BMPR1B, BMPR2, COL1A1, COL5A1, COL5A2, COL7A1	COL1A1 [HPRD-phos:11283002;HPRD:11283002;SIGNOR:11283002], COL5A2 [HPRD-phos:11741999;HPRD:11741999;SIGNOR:11741999], COL5A1 [HPRD-phos:11741999;HPRD:11741999;MatrixDB:20979576;SIGNOR:11741999], COL7A1 [HPRD:11986329;SIGNOR:11986329], BMPR2 [CellTalkDB:15621726], BMPR1A [CellTalkDB:15621726], BMPR1B [CellTalkDB:15621726]
Q9UBC7	GALP	14	ligand	ligand, secreted	O43603, O60755, P47211	GALR1, GALR2, GALR3	GALR2 [Baccin2019:15944009;Baccin2019:20880399;Baccin2019:9832121;CellChatDB:23233848;CellTalkDB:15944009;Cellinker:15944009;Cellinker:20880399;Cellinker:23233848;Cellinker:9832121;LRdb:15944009;LRdb:20880399;LRdb:9832121;SIGNOR:10601261;connectomeDB2020:15944009;connectomeDB2020:20880399;connectomeDB2020:9832121;scConnect:15944009;scConnect:20880399], GALR3 [Baccin2019:983212115944009;CellTalkDB:9832121;Cellinker:15944009;Cellinker:9832121;LRdb:159;LRdb:9832121;connectomeDB2020:15944009;connectomeDB2020:9832121;scConnect:15944009], GALR1 [Baccin2019:1068936515944000;CellChatDB:23233848;CellTalkDB:10689365;Cellinker:10689365;Cellinker:15944009;Cellinker:23233848;LRdb:10689365;LRdb:16;connectomeDB2020:10689365;connectomeDB2020:15944009;scConnect:15944009]
Q9BXJ1	C1QTNF1	9	adhesion, ligand	adhesion, cell_adhesion, intracellular, ligand, plasma_membrane, secreted, transmembrane	P30518	AVPR2	AVPR2 [Baccin2019:12409230;CellTalkDB:12409230;Cellinker:12409230;HPRD:12409230;LRdb:12409230;Lit-BM-17:12409230;connectomeDB2020:12409230]
P56703	WNT3	16	ecm, ligand	ecm, extracellular, intracellular, ligand, secreted	O75084, O75581, P34925, Q01974, Q13467, Q9H461, Q9NPG1, Q9UP38	FZD1, FZD1_LRP5, FZD1_LRP6, FZD10_LRP5, FZD10_LRP6, FZD2_LRP5, FZD2_LRP6, FZD3, FZD3_LRP5, FZD3_LRP6, FZD4_LRP5, FZD4_LRP6, FZD5, FZD5_LRP5, FZD5_LRP6, FZD6_LRP5, FZD6_LRP6, FZD7, FZD7_LRP5, FZD7_LRP6, FZD8, FZD8_LRP5, FZD8_LRP6, FZD9_LRP5, FZD9_LRP6, LRP6, ROR2, RYK	LRP6 [Baccin2019:18528331;CellTalkDB:18528331;LRdb:18528331;SIGNOR:15578921;connectomeDB2020:18528331], FZD3 [SIGNOR:15578921], RYK [Baccin2019:15454084;CellTalkDB:15454084;Cellinker:15454084;LRdb:15454084;connectomeDB2020:15454084], ROR2 [CellTalkDB:15388793;NetPath:15388793], FZD1 [Baccin2019:10557084;CancerCellMap:10557084;CellTalkDB:10557084;HPRD:10557084;LRdb:10557084;NetPath:10557084;connectomeDB2020:10557084], FZD7 [Baccin2019:24032637;CellPhoneDB:24032637;CellTalkDB:18313787;LRdb:18313787;NetPath:18313787;Ramilowski2015:18313787;connectomeDB2020:18313787;connectomeDB2020:25892522;talklr:18313787], FZD8 [Baccin2019:15454084;Baccin2019:18528331;CellTalkDB:18528331;LRdb:15;LRdb:18528331;connectomeDB2020:15454084;connectomeDB2020:18528331], FZD5 [CellTalkDB:32196115]
Q9BXJ0	C1QTNF5	7	adhesion, ligand	adhesion, cell_adhesion, extracellular, intracellular, ligand, plasma_membrane, secreted, tight_junction	Q9BY79	MFRP	MFRP [Baccin2019:12944416;CellTalkDB:21810984;Cellinker:12944416;HPRD:12944416;LRdb:12944416]
Q6UX46	ALKAL2	2	ligand	extracellular, intracellular, ligand, secreted	P29376, Q9UM73	ALK, LTK	ALK [CellTalkDB:26418745;connectomeDB2020:26630010], LTK [connectomeDB2020:26630010]
P01222	TSHB	15	ligand	extracellular, intracellular, ligand, secreted	O60895, O60896, P07550, P10321, P13945, P16473, P32241, P41586, Q03431, Q99678, Q9NQS5	ADCYAP1R1, ADRB2, ADRB3, GPR20, GPR84, HLA-C, PTH1R, RAMP2, RAMP3, TSHR, VIPR1	TSHR [Baccin2019:15571461;Baccin2019:2558651;CellTalkDB:15571461;Cellinker:15571461;Cellinker:2558651;HPMR:15571461;HPRD:2558651;LRdb:15571461;LRdb:26;NetPath:20181794;SIGNOR:12045258;connectomeDB2020:15571461;connectomeDB2020:2558651], PTH1R [CellTalkDB:32196115], ADCYAP1R1 [CellTalkDB:32196115], VIPR1 [CellTalkDB:32196115], GPR20 [CellTalkDB:32196115], ADRB2 [CellTalkDB:32196115], ADRB3 [CellTalkDB:32196115], GPR84 [CellTalkDB:32196115], RAMP3 [CellTalkDB:32196115], RAMP2 [CellTalkDB:32196115], HLA-C [NA]
Q9NSA1	FGF21	14	ligand	intracellular, ligand, secreted	P11362, P21802, P22455, P22607, Q86Z14	FGFR1, FGFR2, FGFR3, FGFR4, KLB	KLB [CellTalkDB:22442730;HPRD:19059246], FGFR4 [CellTalkDB:22442730;Cellinker:22442730;LRdb:16597617;LRdb:22;Ramilowski2015:22442730;connectomeDB2020:22442730;talklr:22442730], FGFR3 [CellTalkDB:16597617;Cellinker:25772309;LRdb:16597617], FGFR1 [CellTalkDB:16597617;Cellinker:22442730;Cellinker:25772309;LRdb:16597617], FGFR2 [CellTalkDB:16597617;LRdb:16597617]
O75888	TNFSF13	17	adhesion, cell_surface_ligand, ligand	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, plasma_membrane, secreted, transmembrane, transmembrane_predicted	O00300, O14836, P19438, P25445, P34741, Q02223, Q92956	FAS, SDC2, TNFRSF11B, TNFRSF13B, TNFRSF14, TNFRSF17, TNFRSF1A	TNFRSF17 [Baccin2019:10973284;Baccin2019:14764606;CellTalkDB:14764606;Cellinker:10973284;Cellinker:14764606;HPMR:14764606;HPRD:10973284;ICELLNET:11239407;LRdb:11;LRdb:14764606;SIGNOR:10973284;connectomeDB2020:10973284;connectomeDB2020:14764606], TNFRSF13B [Baccin2019:1095664610956640;CellTalkDB:10956646;Cellinker:10956646;HPMR:10956646;HPRD:10956646;ICELLNET:11239407;LRdb:10956646;SIGNOR:10956646;connectomeDB2020:10956646], TNFRSF14 [Baccin2019:10706119;CellTalkDB:10706119;Cellinker:10706119;HPRD:10706119;LRdb:10706119;connectomeDB2020:10706119], FAS [Baccin2019:10706119;CellTalkDB:10706119;Cellinker:10706119;HPRD:10706119;LRdb:10706119;connectomeDB2020:10706119], TNFRSF1A [Baccin2019:10706119;CellTalkDB:10706119;Cellinker:10706119;HPRD:10706119;LRdb:10706119;connectomeDB2020:10706119], TNFRSF11B [Baccin2019:10706119;CellTalkDB:10706119;Cellinker:10706119;HPRD:10706119;LRdb:10706119;connectomeDB2020:10706119], SDC2 [Baccin2019:15846369;CellTalkDB:15846369;Cellinker:15846369;HPRD:15846369;LRdb:15846369;connectomeDB2020:15846369]
P27930	IL1R2	1	adhesion, ligand, receptor	adhesion, cell_adhesion, cell_surface, extracellular, intracellular, ligand, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	Q9Y275	TNFSF13B	TNFSF13B [Cellinker:32822567]
Q6KF10	GDF6	17	ligand	extracellular, intracellular, ligand, secreted	O00238, P36894, Q13873	ACVR2A_BMPR1A, ACVR2A_BMPR1B, ACVR2B_BMPR1A, ACVR2B_BMPR1B, BMPR1A, BMPR1A_BMPR1B_BMPR2, BMPR1A_BMPR2, BMPR1B, BMPR1B_BMPR2, BMPR2	BMPR2 [Baccin2019:160490149525338;CellTalkDB:16049014;HPRD:9525338;LRdb:16049014;LRdb:95;SIGNOR:16049014;SignaLink3:16446785;SignaLink3:18988627;SignaLink3:23331499;SignaLink3:9525338;connectomeDB2020:16049014;connectomeDB2020:9525338], BMPR1A [Baccin2019:160490149525338;CellTalkDB:16049014;HPRD:9525338;LRdb:16049014;LRdb:95;SIGNOR:16049014;connectomeDB2020:16049014;connectomeDB2020:9525338], BMPR1B [Baccin2019:9525338;CellTalkDB:9525338;HPRD:9525338;LRdb:9525338;connectomeDB2020:9525338]
P0CG04	IGLC1	1	ligand, receptor	cell_surface, extracellular, ligand, plasma_membrane, receptor, secreted	NA	NA	NA
P08519	LPA	7	ligand	ecm_regulator, extracellular, intracellular, ligand, secreted	P05107, P11215, P98164, Q92633, Q99677, Q9HBW0, Q9NZC2, Q9UBY5	ITGAM, ITGB2, LPAR1, LPAR2, LPAR3, LPAR4, LRP2, TREM2	ITGAM [CellTalkDB:16403785], LPAR3 [CellTalkDB:25849892], ITGB2 [CellTalkDB:16403785], LPAR1 [CellTalkDB:25849892], LPAR4 [CellTalkDB:25849892], LPAR2 [CellTalkDB:25849892], LRP2 [CellTalkDB:32196115;Cellinker:10073957;HPRD:10073957;LRdb:10073957;connectomeDB2020:10073957], TREM2 [Cellinker:28432014]
P35968	KDR	1	adhesion, cell_surface_ligand, ligand, receptor	adhesion, cell_adhesion, cell_surface, cell_surface_ligand, extracellular, intracellular, ligand, matrix_adhesion, plasma_membrane, plasma_membrane_transmembrane, receptor, secreted, transmembrane, transmembrane_predicted	O14786, O43915, P05106, P07550, P07737, P07900, P08758, P12931, P15692, P16070, P16333, P16885, P17813, P17948, P19174, P19235, P20936, P22681, P24666, P27986, P29350, P29353, P29992, P32927, P33151, P35222, P35625, P35916, P39060, P41231, P42224, P46108, P46940, P49767, P50148, P50570, P51813, P52799, P62993, P98077, Q03135, Q05397, Q06124, Q12913, Q13322, Q15464, Q8NFY4, Q8WU20, Q96PV0, Q9NP31	ACP1, ADRB2, ANXA5, BMX, CAV1, CBL, CD44, CDH5, COL18A1, CRK, CSF2RB, CTNNB1, DNM2, EFNB2, ENG, EPOR, FLT1, FLT4, FRS2, GNA11, GNAQ, GRB10, GRB2, HSP90AA1, IQGAP1, ITGB3, NCK1, NRP1, P2RY2, PFN1, PIK3CA_PIK3R1, PIK3R1, PLCG1, PLCG2, PTK2, PTPN11, PTPN6, PTPRJ, RASA1, SEMA6D, SH2D2A, SHB, SHC1, SHC2, SRC, STAT1, SYNGAP1, TIMP3, VEGFA, VEGFC, VEGFD	SHC2 [HPRD:10749680;HPRD:9790910;Lit-BM-17:10749680;Lit-BM-17:12214271;Lit-BM-17:9790910;SignaLink3:10749680;SignaLink3:23331499;SignaLink3:9790910], ANXA5 [HPRD:10329451;Lit-BM-17:10329451;SignaLink3:10329451;SignaLink3:23331499], SHC1 [DOMINO:11950700;HPRD:10749680;SIGNOR:9405464;SignaLink3:11950700;SignaLink3:23331499], VEGFA [BioGRID:16901919;DIP:11333271;DIP:20145116;DIP:8621427;DIP:8631822;DIP:9556609;HPMR:8356051;HPRD:17318185;HPRD:8621427;IntAct:1417831;IntAct:16763549;IntAct:20145116;IntAct:20660291;IntAct:21596751;IntAct:22897854;IntAct:23374253;IntAct:23583373;IntAct:31932617;Lit-BM-17:11333271;Lit-BM-17:12716911;Lit-BM-17:16423422;Lit-BM-17:16763549;Lit-BM-17:18325345;Lit-BM-17:19818105;Lit-BM-17:20145116;Lit-BM-17:22897854;Lit-BM-17:23374253;Lit-BM-17:23583373;Lit-BM-17:8621427;Lit-BM-17:8631822;Lit-BM-17:9556609], VEGFC [DIP:20145116;HPRD:11332691;IntAct:20145116;Lit-BM-17:20145116], PTPN6 [HPRD:16453023;HPRD:9405464;SIGNOR:18840653], PLCG1 [HPRD:12598525;MPPI:10672011;ProtMapper:15212693;SIGNOR:16835467], VEGFD [HPRD:9435229], PIK3R1 [SIGNOR:11278468], GRB2 [HPRD:10319320;HPRD:16966330;SIGNOR:9405464], PTK2 [ProtMapper:24043698;ProtMapper:29435030;SIGNOR:22264731], PTPRJ [IntAct:18936167], TIMP3 [HPRD:12652295], SEMA6D [NA], COL18A1 [HPRD:12029087], ADRB2 [Cellinker:30956148], ENG [Cellinker:29401587], CD44 [Cellinker:26181364], EPOR [Cellinker:24630601], EFNB2 [Cellinker:20445540], SRC [BioGRID:18194650;HPRD:10455194;HPRD:16966330;IntAct:12509223;IntAct:18377662;IntAct:18662404], PFN1 [PhosphoSite:24747440;ProtMapper:23000962;ProtMapper:27669692], ACP1 [HPRD:10608891], PTPN11 [HPRD:9405464], FLT4 [HPRD:15474514;IntAct:16530705;IntAct:20224550;IntAct:21130043;iPTMnet:12881528], FLT1 [BioGRID:12796773;BioGRID:25387128;HPRD:10865839], CBL [BioGRID:20011623;HPRD:12649282;ProtMapper:21242968], NRP1 [BioGRID:11948691;BioGRID:19857463;BioGRID:26037503;HPRD:11333271;HPRD:16763549;HPRD:17222790], CDH5 [BioGRID:25657827;HPRD:10428027;HPRD:11950700], STAT1 [HPRD:10961983;InnateDB:15703780], IQGAP1 [HPRD:15217908;InnateDB:15217908], PLCG2 [HPRD:9398617], SHB [HPRD:15026417], GRB10 [HPRD:11494124], P2RY2 [HPRD:15175347], HSP90AA1 [HPRD:15247219], RASA1 [HPRD:10319320], ITGB3 [HPRD:10022831], NCK1 [HPRD:16966330;HPRD:9405464], GNA11 [HPRD:12670961], SH2D2A [HPRD:10692392;HPRD:15962004], GNAQ [HPRD:12670961], CAV1 [HPRD:12529448], BMX [HPRD:14532277], DNM2 [HPRD:16049137], FRS2 [HPRD:12154000], CSF2RB [HPRD:16007196], CTNNB1 [HPRD:12920240], CRK [HPRD:15051508], SYNGAP1 [HPRD:9405464]
P24821	TNC	9	adhesion, ecm, ligand	adhesion, ecm, extracellular, intracellular, ligand, matrix_adhesion, secreted	P00533, P02751, P05106, P05556, P06756, P08648, P17301, P18564, P18827, P21589, P23467, P23471, P31431, P53708, Q12860, Q13683, Q13797	CNTN1, EGFR, FN1, ITGA2, ITGA2B_ITGB3, ITGA5, ITGA7, ITGA8, ITGA8_ITGB1, ITGA9, ITGA9_ITGB1, ITGAV, ITGAV_ITGB3, ITGAV_ITGB6, ITGB1, ITGB3, ITGB6, NT5E, PTPRB, PTPRZ1, SDC1, SDC4	ITGA5 [CellTalkDB:9314546;Cellinker:9314546;HPRD:9314546;LRdb:9314546], SDC1 [CellTalkDB:32196115], EGFR [Baccin2019:11470832;CellTalkDB:11470832;Cellinker:11470832;HPRD:11470832;LRdb:11470832;connectomeDB2020:11470832], ITGB3 [connectomeDB2020:9314546], ITGB6 [NA], PTPRB [CellTalkDB:11313993;Cellinker:11313993;HPRD:11313993;LRdb:11313993;connectomeDB2020:11313993], ITGA8 [NA], ITGA7 [CellTalkDB:14715956;Cellinker:14715956;LRdb:14715956;Ramilowski2015:14715956;connectomeDB2020:14715956;talklr:14715956], ITGB1 [CellTalkDB:14715956;LRdb:14715956;Ramilowski2015:14715956;connectomeDB2020:14715956;talklr:14715956], SDC4 [CellTalkDB:19723805], CNTN1 [Baccin2019:10103110;Cellinker:10103110;HPRD:10103110;LRdb:10103110;connectomeDB2020:10103110], ITGA2 [NA], ITGAV [CellTalkDB:32196115;connectomeDB2020:9314546], ITGA9 [CellTalkDB:32196115], PTPRZ1 [Baccin2019:20689858;connectomeDB2020:20689858], NT5E [NA], FN1 [HPRD:7499434;Lit-BM-17:20708078;Lit-BM-17:21349332;Lit-BM-17:7499434;MatrixDB:20708078;MatrixDB:21349332]
