Gene	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
NEIL2	6.06E-72	0.235076276	0.258	0.231	1.25E-67
COX11	7.12E-205	0.234740601	0.486	0.743	1.47E-200
NLRP1	7.04E-79	0.234573544	0.267	0.086	1.45E-74
NGDN	7.19E-81	0.234034152	0.287	0.318	1.48E-76
TUSC2	7.84E-154	0.233786612	0.413	0.568	1.62E-149
CHCHD5	6.89E-183	0.233722929	0.531	0.751	1.42E-178
CD55	5.19E-73	0.233708228	0.274	0.29	1.07E-68
TXNDC15	9.93E-159	0.233541211	0.4	0.592	2.05E-154
AL360181.3	1.08E-127	0.233513684	0.28	0.384	2.22E-123
CTSF	8.55E-98	0.233214856	0.172	0	1.76E-93
UNC119	1.54E-104	0.233165911	0.293	0.355	3.19E-100
SLC25A17	1.61E-88	0.232845889	0.27	0.293	3.31E-84
TCTN1	3.73E-106	0.232440009	0.303	0.374	7.70E-102
MPG	1.05E-135	0.232405357	0.416	0.556	2.17E-131
RPS19BP1	7.53E-144	0.232219855	0.682	0.893	1.55E-139
EIF2B3	2.68E-67	0.231880152	0.238	0.195	5.54E-63
ENO2	5.42E-131	0.231694392	0.544	0.71	1.12E-126
FAM47E	9.27E-68	0.231502344	0.239	0.213	1.91E-63
HSBP1	9.24E-70	0.23140969	0.864	0.973	1.91E-65
NDUFS7	8.99E-116	0.231134959	0.767	0.937	1.85E-111
RAB18	8.37E-167	0.230807119	0.633	0.848	1.73E-162
RAD51C	1.42E-78	0.230457503	0.259	0.26	2.93E-74
FIS1	1.40E-91	0.230358287	0.83	0.958	2.88E-87
RALYL	1.57E-54	0.230317818	0.159	0.028	3.23E-50
CDC123	3.05E-134	0.230271978	0.39	0.53	6.29E-130
CISD3	1.30E-168	0.229811452	0.554	0.78	2.69E-164
C11orf1	4.18E-168	0.229501782	0.402	0.598	8.62E-164
UQCC3	5.67E-168	0.229185999	0.383	0.569	1.17E-163
MYL6	5.63E-12	0.229162943	0.987	1	1.16E-07
LACTB2	1.58E-117	0.228754145	0.312	0.41	3.25E-113
ZNF22	3.04E-153	0.22866032	0.411	0.59	6.27E-149
MORF4L2	5.97E-84	0.228615368	0.819	0.947	1.23E-79
HDHD2	1.02E-126	0.22858206	0.344	0.437	2.11E-122
TMEM243	1.66E-47	0.228369788	0.19	0.089	3.43E-43
ALDOC	4.95E-53	0.228335961	0.219	0.159	1.02E-48
NAT16	2.57E-87	0.228206492	0.187	0.009	5.31E-83
IFT57	2.47E-133	0.227961083	0.34	0.455	5.09E-129
WDYHV1	1.55E-95	0.22791607	0.28	0.333	3.19E-91
ZSWIM7	2.87E-185	0.227277481	0.407	0.622	5.93E-181
FAM118A	9.28E-69	0.22704556	0.205	0.173	1.91E-64
IP6K2	5.50E-165	0.22661027	0.478	0.696	1.13E-160
ST14	3.56E-52	0.226573925	0.239	0.155	7.35E-48
NME3	1.42E-147	0.22498976	0.68	0.889	2.93E-143
ING2	4.77E-154	0.224695528	0.385	0.563	9.84E-150
NCBP2AS2	3.06E-153	0.224624223	0.377	0.536	6.31E-149
EEF1E1	1.23E-182	0.224573861	0.432	0.653	2.54E-178
MRPS18A	1.13E-129	0.224472714	0.358	0.48	2.33E-125
LAPTM4B	2.16E-162	0.224426695	0.413	0.624	4.45E-158
MRPL39	1.84E-60	0.223987566	0.222	0.158	3.79E-56
NUCB2	4.05E-101	0.223442979	0.701	0.885	8.34E-97
ELOF1	6.95E-179	0.223279768	0.464	0.668	1.43E-174
AL117339.5	2.96E-51	0.223007735	0.182	0.107	6.11E-47
KXD1	5.61E-147	0.222620831	0.383	0.536	1.16E-142
CUEDC2	1.45E-166	0.222328687	0.505	0.725	2.99E-162
CDIP1	1.69E-173	0.222305628	0.47	0.658	3.48E-169
TSPAN12	1.00E-43	0.22217357	0.222	0.151	2.07E-39
TRAPPC2L	2.65E-172	0.222087047	0.646	0.879	5.46E-168
NOL3	6.41E-142	0.222020277	0.431	0.588	1.32E-137
WASHC1	1.55E-87	0.221659886	0.352	0.333	3.20E-83
ISCA2	1.14E-178	0.221521167	0.441	0.668	2.35E-174
CHST8	5.87E-53	0.221473084	0.184	0.054	1.21E-48
SNRPC	2.03E-176	0.221382423	0.586	0.825	4.18E-172
MEA1	3.26E-170	0.221367993	0.47	0.675	6.73E-166
RPAIN	1.47E-160	0.221092487	0.623	0.853	3.04E-156
MTRES1	5.01E-112	0.220969941	0.288	0.371	1.03E-107
YEATS4	4.02E-128	0.220882401	0.319	0.442	8.28E-124
PRELID1	1.91E-166	0.220556127	0.662	0.9	3.94E-162
MAPRE3	6.14E-140	0.22054973	0.552	0.718	1.27E-135
PHB	5.74E-181	0.220424211	0.56	0.802	1.18E-176
FAM228B	2.76E-47	0.220342821	0.194	0.097	5.69E-43
TBPL1	4.12E-139	0.220294808	0.352	0.503	8.49E-135
TM2D2	5.81E-151	0.219773343	0.334	0.489	1.20E-146
IRF9	1.56E-70	0.219545576	0.325	0.289	3.23E-66
GAMT	6.39E-183	0.219542384	0.576	0.823	1.32E-178
FLOT1	8.59E-158	0.219428945	0.63	0.824	1.77E-153
TRIAP1	8.93E-116	0.219239855	0.326	0.417	1.84E-111
SLC25A26	1.63E-78	0.219112373	0.25	0.267	3.36E-74
NQO2	5.26E-73	0.218941636	0.253	0.245	1.08E-68
UCN3	5.66E-47	0.218938972	0.228	0.068	1.17E-42
MRPL9	3.18E-144	0.218906711	0.363	0.502	6.55E-140
TSG101	5.56E-159	0.218520776	0.547	0.761	1.15E-154
RAB28	1.41E-79	0.218314375	0.246	0.249	2.92E-75
PTGES2	3.07E-180	0.218040542	0.492	0.702	6.33E-176
MRPS16	1.89E-194	0.21749118	0.537	0.787	3.90E-190
SLC43A2	7.02E-90	0.217259314	0.28	0.33	1.45E-85
CRYZ	2.28E-88	0.217177952	0.282	0.331	4.71E-84
NELFE	8.04E-158	0.217175159	0.407	0.592	1.66E-153
ZNF90	3.72E-106	0.216720523	0.24	0.022	7.68E-102
EFHC1	2.89E-119	0.216303565	0.286	0.391	5.96E-115
APOO	3.43E-133	0.215908647	0.299	0.41	7.07E-129
JAKMIP1	4.52E-55	0.215848601	0.193	0.069	9.32E-51
NDUFAF4	1.55E-73	0.2154926	0.236	0.265	3.20E-69
RNF146	2.09E-144	0.21541312	0.344	0.488	4.31E-140
STMN3	6.26E-130	0.215154524	0.371	0.483	1.29E-125
PSMA6	2.16E-59	0.215016213	0.31	0.195	4.46E-55
MRPL2	2.02E-120	0.214905856	0.386	0.493	4.16E-116
SNRNP25	2.51E-89	0.21473773	0.275	0.323	5.18E-85
C15orf40	4.91E-144	0.214611205	0.394	0.556	1.01E-139
NDUFB10	2.93E-108	0.214207968	0.798	0.965	6.04E-104
BOLA1	5.09E-68	0.214039226	0.237	0.231	1.05E-63
TSC22D1	2.39E-81	0.214004019	0.768	0.933	4.93E-77
VDAC1	1.52E-123	0.213361349	0.731	0.914	3.13E-119
TMEM134	3.42E-117	0.213161851	0.359	0.466	7.05E-113
HHLA3	3.16E-54	0.212807644	0.219	0.114	6.52E-50
SMIM7	4.49E-167	0.21279399	0.613	0.842	9.26E-163
LMO1	7.69E-118	0.212742495	0.469	0.633	1.59E-113
COPS7A	5.48E-163	0.211920787	0.415	0.605	1.13E-158
SYNE2	2.89E-45	0.211760733	0.277	0.245	5.97E-41
COTL1	8.23E-39	0.21175688	0.196	0.14	1.70E-34
PSMC5	1.79E-142	0.21164598	0.746	0.941	3.69E-138
ENPP2	7.17E-127	0.21149629	0.456	0.645	1.48E-122
SMIM5	4.70E-43	0.211234743	0.152	0.073	9.69E-39
ABT1	4.89E-130	0.210900448	0.313	0.431	1.01E-125
NUBP2	4.02E-130	0.210627195	0.402	0.553	8.28E-126
LURAP1L	1.52E-108	0.210286823	0.301	0.427	3.14E-104
POP5	3.30E-173	0.210266685	0.398	0.604	6.80E-169
DECR1	1.87E-162	0.210025307	0.514	0.724	3.85E-158
KCNMB2	2.81E-88	0.209595585	0.271	0.309	5.79E-84
PRDX6	1.34E-161	0.209310877	0.669	0.898	2.77E-157
PTPMT1	2.63E-111	0.209257691	0.44	0.525	5.42E-107
AKIRIN2	1.13E-111	0.208887034	0.308	0.405	2.33E-107
ETHE1	1.28E-87	0.208635054	0.231	0.282	2.65E-83
NDUFAF8	6.48E-217	0.208344799	0.584	0.862	1.34E-212
CRYBB2	3.26E-90	0.208328219	0.171	0.002	6.72E-86
NOC2L	1.82E-126	0.208231597	0.338	0.477	3.74E-122
SNX10	4.92E-66	0.208151555	0.238	0.238	1.01E-61
ENY2	1.19E-156	0.208006272	0.636	0.857	2.46E-152
LXN	3.01E-50	0.20782564	0.188	0.188	6.20E-46
TDRD9	7.81E-67	0.207268174	0.129	0.002	1.61E-62
RNF7	1.69E-105	0.207181008	0.787	0.951	3.49E-101
PSMB2	1.08E-146	0.207139482	0.709	0.923	2.23E-142
RAB5C	3.38E-152	0.207057466	0.615	0.819	6.96E-148
CENPS	2.42E-73	0.206971603	0.233	0.242	4.99E-69
NIT2	2.02E-117	0.206888241	0.334	0.44	4.16E-113
C1D	5.40E-184	0.206762065	0.572	0.829	1.11E-179
EMC3	9.95E-184	0.206459027	0.458	0.686	2.05E-179
CAPN13	1.62E-45	0.206185101	0.188	0.124	3.34E-41
SLC39A4	1.04E-45	0.206007866	0.18	0.067	2.14E-41
VAMP4	3.78E-100	0.205856329	0.257	0.333	7.80E-96
SNRPF	3.06E-147	0.205854312	0.612	0.817	6.31E-143
PFDN1	7.50E-156	0.205795663	0.392	0.587	1.55E-151
DDT	4.80E-62	0.205445376	0.322	0.229	9.91E-58
HMGCL	1.06E-138	0.205396279	0.39	0.555	2.19E-134
ATP6V0E1	1.55E-29	0.205242591	0.946	0.992	3.19E-25
MTCH1	1.29E-148	0.205067755	0.729	0.943	2.66E-144
KRT10	3.75E-129	0.204814173	0.772	0.966	7.73E-125
C18orf32	8.66E-99	0.204709898	0.44	0.449	1.79E-94
NXT1	1.21E-98	0.204657857	0.303	0.382	2.49E-94
KLHDC9	2.54E-55	0.204527979	0.207	0.162	5.24E-51
TXNDC9	7.69E-164	0.204509628	0.363	0.542	1.59E-159
SLC25A39	7.89E-155	0.204144593	0.647	0.852	1.63E-150
GPAA1	1.81E-157	0.203949331	0.534	0.753	3.72E-153
PLPBP	6.46E-116	0.203746971	0.339	0.435	1.33E-111
CENPX	1.02E-128	0.203088679	0.321	0.461	2.10E-124
PIGT	1.32E-158	0.20298996	0.561	0.802	2.71E-154
TOM1L1	4.28E-177	0.202974372	0.459	0.684	8.82E-173
PARL	3.22E-137	0.202924195	0.367	0.504	6.64E-133
CATSPER2	1.15E-72	0.202890761	0.31	0.262	2.37E-68
MANBAL	4.59E-166	0.202834565	0.407	0.602	9.46E-162
BPGM	4.22E-65	0.202781193	0.223	0.218	8.69E-61
PFDN6	3.48E-137	0.202592962	0.4	0.549	7.18E-133
TMEM70	7.96E-154	0.202406509	0.37	0.548	1.64E-149
ZMAT5	6.34E-93	0.202249057	0.256	0.321	1.31E-88
DUSP11	1.55E-98	0.201903363	0.263	0.327	3.19E-94
TTC1	1.96E-173	0.201765449	0.429	0.631	4.05E-169
NSL1	2.91E-145	0.201376782	0.358	0.527	6.01E-141
MRPS22	1.62E-81	0.201024298	0.248	0.285	3.34E-77
STAG3	6.25E-71	0.200680358	0.211	0.042	1.29E-66
KRT222	1.65E-45	0.199964947	0.21	0.12	3.40E-41
CHCHD6	4.27E-70	0.199944215	0.216	0.223	8.80E-66
DNAJC4	2.60E-160	0.199826107	0.459	0.652	5.36E-156
NAP1L5	2.74E-85	0.199755819	0.274	0.3	5.65E-81
PEF1	3.47E-160	0.199694225	0.355	0.534	7.15E-156
ANAPC10	3.08E-69	0.199675021	0.238	0.253	6.36E-65
CD320	6.93E-144	0.199572067	0.611	0.829	1.43E-139
CBWD1	1.04E-93	0.198680745	0.393	0.434	2.15E-89
ABHD3	3.37E-141	0.198214032	0.382	0.594	6.95E-137
PFN2	1.34E-48	0.197776122	0.878	0.97	2.76E-44
DNASE2	4.41E-141	0.197533364	0.388	0.542	9.09E-137
C9orf78	3.57E-172	0.196830522	0.454	0.671	7.37E-168
MAGOH	5.18E-153	0.196826772	0.418	0.616	1.07E-148
MALSU1	1.28E-157	0.196580152	0.325	0.489	2.63E-153
PIH1D1	1.47E-145	0.196551297	0.394	0.558	3.03E-141
NAE1	3.96E-151	0.196058803	0.358	0.538	8.17E-147
GFER	4.77E-111	0.196051385	0.293	0.383	9.84E-107
HAGH	7.95E-181	0.195823087	0.598	0.838	1.64E-176
POP4	1.21E-130	0.195600725	0.288	0.42	2.49E-126
GALNT8	7.01E-39	0.195491917	0.188	0.143	1.45E-34
ECHDC3	2.31E-59	0.195167435	0.232	0.201	4.76E-55
CCDC32	1.59E-105	0.194966997	0.264	0.346	3.28E-101
NDFIP1	4.05E-113	0.19482191	0.794	0.962	8.36E-109
CCDC59	2.10E-117	0.194781124	0.28	0.409	4.32E-113
TPRKB	1.31E-111	0.194778455	0.267	0.376	2.70E-107
COQ7	1.77E-63	0.19403392	0.206	0.228	3.64E-59
ATG3	1.06E-206	0.193863754	0.448	0.711	2.19E-202
TATDN3	1.61E-82	0.19374572	0.243	0.28	3.32E-78
APMAP	2.80E-166	0.19332231	0.432	0.642	5.78E-162
SPATS2	2.37E-110	0.19328411	0.26	0.366	4.89E-106
SP100	1.34E-62	0.193175392	0.126	0.003	2.76E-58
RGS17	4.17E-119	0.192946933	0.285	0.405	8.59E-115
RIN2	6.50E-54	0.192918899	0.216	0.189	1.34E-49
ANAPC15	7.18E-163	0.192893672	0.358	0.535	1.48E-158
MRPL45	5.34E-138	0.192696477	0.35	0.498	1.10E-133
TMEM45A	2.06E-76	0.192664592	0.205	0.253	4.25E-72
CMC2	2.64E-165	0.192331102	0.479	0.696	5.44E-161
TOMM20	9.80E-91	0.192319902	0.836	0.98	2.02E-86
CLDND1	8.13E-128	0.192303268	0.354	0.493	1.68E-123
TNFRSF14	1.23E-70	0.192125138	0.138	0.002	2.54E-66
MRPS33	3.84E-180	0.191888029	0.635	0.897	7.92E-176
IMP4	9.00E-133	0.191595053	0.346	0.493	1.85E-128
CMTM7	3.52E-38	0.19158409	0.145	0.049	7.25E-34
EIPR1	1.95E-95	0.190985118	0.284	0.36	4.02E-91
AURKAIP1	6.38E-120	0.190982936	0.756	0.943	1.32E-115
UBE2E2	4.72E-69	0.190722334	0.234	0.245	9.74E-65
DYNC2LI1	1.63E-87	0.190690193	0.242	0.307	3.36E-83
RTRAF	1.32E-117	0.190680697	0.765	0.946	2.73E-113
OARD1	1.52E-161	0.190310206	0.405	0.607	3.13E-157
KCTD13	5.75E-75	0.190092012	0.25	0.244	1.19E-70
NDUFA9	4.62E-177	0.190016749	0.512	0.745	9.53E-173
MRPL14	2.76E-186	0.189950073	0.555	0.819	5.70E-182
RBFOX3	7.81E-42	0.189922672	0.158	0.056	1.61E-37
ISG15	8.83E-15	0.189637268	0.108	0.069	1.82E-10
EMC2	6.78E-128	0.18912838	0.389	0.555	1.40E-123
GET3	2.38E-198	0.188910783	0.513	0.765	4.90E-194
CHN1	4.93E-125	0.188625415	0.283	0.392	1.02E-120
STOML2	7.96E-187	0.188397606	0.519	0.772	1.64E-182
PIGF	9.78E-113	0.188329967	0.327	0.442	2.02E-108
H3F3A	1.25E-18	0.188220106	0.972	0.996	2.58E-14
ATF1	3.82E-115	0.188159488	0.274	0.365	7.88E-111
MYT1L	2.17E-37	0.187509681	0.175	0.09	4.48E-33
SERP2	1.47E-107	0.187225628	0.295	0.408	3.03E-103
PRPF18	7.36E-80	0.186986884	0.236	0.27	1.52E-75
TRIR	5.39E-108	0.186861036	0.789	0.96	1.11E-103
ANKRD65	2.18E-138	0.186415346	0.405	0.577	4.50E-134
MAD2L2	6.79E-76	0.185793685	0.256	0.293	1.40E-71
GCSH	2.77E-179	0.185692287	0.509	0.753	5.71E-175
COMT	9.98E-137	0.185578684	0.542	0.737	2.06E-132
CBWD2	1.51E-53	0.185484239	0.214	0.145	3.11E-49
C16orf91	2.26E-79	0.185462146	0.217	0.266	4.66E-75
NFKBIA	5.59E-79	0.185311099	0.3	0.428	1.15E-74
MRPL49	2.65E-101	0.185274191	0.283	0.362	5.47E-97
TMX1	9.94E-162	0.184870715	0.42	0.627	2.05E-157
TRAPPC1	4.61E-85	0.184556501	0.789	0.925	9.50E-81
CYSTM1	3.76E-46	0.18448562	0.937	0.986	7.75E-42
RABAC1	6.01E-24	0.184123407	0.935	0.986	1.24E-19
MRPL13	8.59E-145	0.184023192	0.395	0.588	1.77E-140
RNH1	8.82E-153	0.183869499	0.63	0.854	1.82E-148
AIG1	5.78E-162	0.183769863	0.604	0.849	1.19E-157
PEX16	3.58E-125	0.183671226	0.311	0.436	7.38E-121
PON2	2.97E-108	0.183472195	0.267	0.372	6.13E-104
ANAPC13	1.80E-157	0.183468931	0.658	0.892	3.71E-153
EEF1G	4.74E-74	0.183194972	0.213	0.044	9.77E-70
RPP21	3.26E-56	0.182744592	0.262	0.14	6.72E-52
ELMO1	2.49E-97	0.182175703	0.456	0.624	5.14E-93
KYAT3	2.27E-101	0.182023209	0.252	0.335	4.68E-97
AIP	3.48E-168	0.181802303	0.459	0.686	7.19E-164
LUC7L2	9.22E-120	0.181574612	0.347	0.464	1.90E-115
CGRRF1	1.55E-110	0.181546772	0.284	0.384	3.19E-106
APRT	4.04E-170	0.1813046	0.665	0.915	8.34E-166
CBFB	5.60E-113	0.181215052	0.317	0.424	1.15E-108
ALDH9A1	9.14E-175	0.181163366	0.526	0.762	1.89E-170
TSPAN31	7.31E-120	0.180865123	0.328	0.456	1.51E-115
BSG	3.21E-29	0.180851428	0.916	0.977	6.62E-25
BCAS4	5.28E-93	0.180763731	0.266	0.313	1.09E-88
PROCR	2.84E-53	0.180627374	0.13	0.012	5.86E-49
RAB13	1.24E-162	0.180624993	0.638	0.884	2.56E-158
NUDT7	1.75E-79	0.180335142	0.206	0.246	3.60E-75
CRELD1	2.82E-126	0.180286078	0.37	0.532	5.81E-122
CD5	1.62E-63	0.180282882	0.114	0	3.35E-59
PSMD6	8.27E-184	0.17983717	0.437	0.686	1.70E-179
ANTKMT	4.25E-187	0.179713552	0.504	0.763	8.76E-183
RSPH1	6.76E-42	0.179197337	0.149	0.101	1.39E-37
ADRM1	3.40E-168	0.179181411	0.555	0.806	7.00E-164
PPP1R16A	3.28E-124	0.179102058	0.338	0.499	6.76E-120
TAF7	4.78E-126	0.178803747	0.609	0.814	9.86E-122
ZNF331	3.69E-69	0.178195738	0.214	0.258	7.61E-65
SDHAF2	2.03E-183	0.178085472	0.404	0.645	4.18E-179
UFSP2	6.73E-87	0.177966871	0.257	0.304	1.39E-82
EIF1B	6.93E-101	0.177843619	0.793	0.964	1.43E-96
SPR	4.37E-67	0.177693055	0.255	0.271	9.02E-63
ERLEC1	9.91E-146	0.177680074	0.633	0.868	2.04E-141
UCP2	4.22E-38	0.17765236	0.144	0.045	8.70E-34
PIGH	1.19E-123	0.177012782	0.28	0.407	2.45E-119
SMARCD3	4.98E-37	0.176905718	0.154	0.071	1.03E-32
ST3GAL6	2.57E-33	0.176728941	0.154	0.064	5.31E-29
TXN2	1.16E-179	0.176169469	0.5	0.756	2.39E-175
MAPRE1	1.55E-144	0.175772526	0.677	0.905	3.20E-140
DNAJC30	3.30E-109	0.175466194	0.308	0.411	6.81E-105
IFT27	1.09E-131	0.175361971	0.347	0.499	2.25E-127
SCRN2	9.21E-91	0.175349055	0.212	0.276	1.90E-86
EMC6	6.35E-182	0.17518095	0.444	0.687	1.31E-177
CFC1B	2.73E-88	0.175118005	0.171	0.003	5.63E-84
ATP5ME	8.19E-61	0.175024209	0.891	0.973	1.69E-56
HNRNPH2	2.12E-139	0.174909926	0.548	0.726	4.36E-135
RWDD4	5.65E-128	0.174897458	0.34	0.485	1.17E-123
CYB5R4	1.23E-81	0.174813873	0.221	0.267	2.54E-77
MICOS10	1.55E-101	0.174813767	0.779	0.934	3.19E-97
GAP43	5.24E-28	0.174730666	0.141	0.049	1.08E-23
BCL7B	5.07E-157	0.174690742	0.368	0.562	1.05E-152
CYBA	3.66E-26	0.174399926	0.115	0.033	7.54E-22
EIF2S1	1.68E-142	0.174395672	0.31	0.486	3.47E-138
SERPINB6	3.07E-143	0.174385432	0.55	0.754	6.33E-139
EIF3F	6.56E-83	0.174188704	0.843	0.979	1.35E-78
PPHLN1	2.88E-168	0.174167628	0.358	0.563	5.94E-164
FAM92A	1.89E-153	0.174053351	0.372	0.573	3.90E-149
DCTN3	8.09E-142	0.173902219	0.713	0.935	1.67E-137
RANGRF	6.38E-145	0.173450324	0.34	0.506	1.32E-140
KIF22	1.62E-57	0.173288055	0.222	0.235	3.35E-53
LYRM4	1.12E-140	0.173178561	0.303	0.463	2.31E-136
PLSCR1	1.00E-97	0.172395214	0.245	0.329	2.07E-93
ARV1	7.53E-120	0.172239194	0.282	0.412	1.55E-115
MED7	5.85E-85	0.172221331	0.228	0.3	1.21E-80
BABAM2	5.26E-111	0.172156796	0.283	0.39	1.09E-106
BAG2	2.47E-90	0.171959732	0.234	0.314	5.09E-86
UBE2L6	2.30E-80	0.171943082	0.237	0.311	4.74E-76
TSN	1.06E-149	0.171938235	0.402	0.583	2.18E-145
IGSF22	8.99E-62	0.171904316	0.125	0.003	1.85E-57
HMCES	7.10E-99	0.171690571	0.253	0.34	1.46E-94
HSD17B10	7.88E-194	0.171462416	0.528	0.809	1.63E-189
TMEM107	3.17E-75	0.171189387	0.219	0.267	6.53E-71
DTD1	1.37E-144	0.17087969	0.411	0.591	2.82E-140
METTL21A	1.07E-89	0.170815239	0.239	0.314	2.20E-85
COPS3	3.51E-174	0.170708692	0.402	0.629	7.24E-170
SHFL	4.18E-58	0.170520311	0.205	0.204	8.61E-54
MPV17	1.64E-178	0.170336072	0.44	0.686	3.38E-174
ASF1A	7.76E-85	0.170318566	0.233	0.293	1.60E-80
VTI1B	2.18E-168	0.170270089	0.551	0.784	4.49E-164
CHRNB1	7.73E-45	0.170210462	0.167	0.133	1.59E-40
SNRNP35	4.86E-145	0.170195957	0.318	0.482	1.00E-140
MRPS12	3.42E-138	0.169962322	0.316	0.482	7.06E-134
KLHDC8A	3.55E-42	0.169924652	0.174	0.102	7.33E-38
PHLDA3	4.61E-34	0.169866729	0.117	0.026	9.50E-30
UNK	1.15E-112	0.169810057	0.234	0.351	2.37E-108
MAGEF1	1.79E-165	0.169740879	0.561	0.809	3.70E-161
C8orf76	4.75E-108	0.169273127	0.251	0.354	9.79E-104
CEBPZOS	1.04E-145	0.169148637	0.43	0.632	2.14E-141
REEP4	8.62E-68	0.168978786	0.231	0.239	1.78E-63
SS18L2	3.29E-136	0.16835014	0.354	0.526	6.79E-132
MRPS9	4.00E-136	0.168210598	0.308	0.467	8.24E-132
GLOD4	6.19E-169	0.167836093	0.467	0.705	1.28E-164
PTPN20	3.83E-68	0.167502549	0.122	0	7.90E-64
TMEM69	9.36E-77	0.167459835	0.195	0.226	1.93E-72
TMEM242	1.69E-151	0.166786091	0.343	0.536	3.49E-147
PSMG3	2.04E-145	0.166779921	0.33	0.502	4.20E-141
JKAMP	2.53E-208	0.166776372	0.442	0.716	5.21E-204
COPS5	1.62E-168	0.166687837	0.376	0.608	3.33E-164
B4GALT7	1.33E-86	0.166634883	0.255	0.326	2.73E-82
C12orf76	4.38E-169	0.166377291	0.342	0.562	9.03E-165
THAP4	3.27E-128	0.165990387	0.289	0.426	6.73E-124
TUBG1	1.35E-70	0.165728383	0.222	0.26	2.78E-66
LRRC23	2.11E-89	0.165628468	0.253	0.327	4.34E-85
PDHA1	1.83E-108	0.165513166	0.308	0.43	3.77E-104
TMEM18	3.82E-156	0.165085878	0.322	0.518	7.87E-152
ZCCHC17	6.88E-141	0.164984231	0.275	0.442	1.42E-136
BABAM1	7.75E-175	0.16493541	0.439	0.673	1.60E-170
PIGC	3.14E-131	0.164819597	0.319	0.474	6.48E-127
MBD4	4.71E-99	0.164715215	0.249	0.34	9.71E-95
RSRC2	4.07E-150	0.164486432	0.519	0.746	8.39E-146
ROGDI	1.56E-137	0.164063334	0.342	0.501	3.21E-133
BLVRA	2.24E-113	0.164028774	0.266	0.388	4.62E-109
STMP1	6.02E-121	0.163923525	0.75	0.947	1.24E-116
AAMP	1.43E-151	0.163772017	0.428	0.627	2.95E-147
MORN2	5.05E-128	0.163630515	0.281	0.439	1.04E-123
SIL1	1.72E-170	0.163612598	0.518	0.78	3.55E-166
GCA	1.70E-134	0.163582787	0.309	0.476	3.51E-130
GDF15	1.11E-46	0.16356576	0.118	0.239	2.29E-42
EEF1AKMT2	8.78E-83	0.163349525	0.225	0.29	1.81E-78
DTWD1	3.71E-72	0.16333203	0.236	0.289	7.64E-68
CABP7	3.66E-34	0.163179801	0.147	0.069	7.55E-30
AL592183.1	1.10E-74	0.16316106	0.134	0	2.27E-70
FAM50B	2.81E-43	0.163103136	0.171	0.129	5.79E-39
HLA-E	1.39E-109	0.162694615	0.39	0.589	2.86E-105
NSA2	4.41E-155	0.162390995	0.658	0.891	9.09E-151
SLC25A45	3.83E-36	0.161979303	0.107	0.018	7.89E-32
DAD1	8.64E-47	0.161280372	0.876	0.972	1.78E-42
FBXO8	2.18E-114	0.161221583	0.246	0.358	4.49E-110
CUTC	1.74E-87	0.161122374	0.209	0.282	3.58E-83
ELAC1	1.15E-83	0.160965351	0.235	0.289	2.37E-79
EXOSC4	1.44E-124	0.160957137	0.306	0.454	2.97E-120
DCTPP1	1.37E-117	0.16086811	0.269	0.392	2.83E-113
CLTRN	2.69E-32	0.160504098	0.147	0.125	5.55E-28
GTF3C6	1.37E-168	0.160433983	0.616	0.878	2.82E-164
BLOC1S2	1.72E-202	0.159799066	0.495	0.766	3.54E-198
RBM23	1.56E-114	0.159629028	0.353	0.471	3.22E-110
HSD17B11	1.51E-91	0.159508639	0.277	0.369	3.11E-87
MDP1	1.31E-54	0.159407165	0.254	0.199	2.71E-50
DAP3	1.55E-194	0.158737669	0.475	0.737	3.20E-190
RBM8A	5.11E-174	0.158482644	0.517	0.776	1.05E-169
ADSSL1	1.75E-35	0.158307951	0.148	0.083	3.60E-31
CCT7	5.55E-169	0.158109193	0.586	0.842	1.14E-164
UFD1	2.48E-181	0.157786809	0.437	0.693	5.11E-177
TMED1	9.89E-157	0.157667297	0.375	0.59	2.04E-152
TMEM17	1.77E-95	0.157424533	0.262	0.357	3.65E-91
TIPIN	5.83E-43	0.157344938	0.162	0.049	1.20E-38
FDX2	4.35E-93	0.157233308	0.316	0.358	8.96E-89
COA1	8.17E-123	0.157147024	0.282	0.423	1.68E-118
AUH	3.20E-68	0.157060092	0.197	0.242	6.61E-64
CIART	9.32E-35	0.156925228	0.137	0.099	1.92E-30
CYP27A1	1.33E-66	0.156272768	0.21	0.238	2.74E-62
PIR	6.19E-100	0.156149248	0.253	0.357	1.28E-95
ZDHHC4	2.76E-175	0.155863503	0.49	0.732	5.68E-171
OCEL1	2.56E-94	0.155837329	0.285	0.376	5.29E-90
RNF181	1.05E-149	0.155808966	0.427	0.656	2.17E-145
MTERF3	7.09E-41	0.155571482	0.154	0.111	1.46E-36
LTA4H	3.38E-165	0.155556245	0.33	0.535	6.96E-161
SVBP	1.53E-188	0.155509844	0.446	0.714	3.15E-184
MRPL36	3.94E-161	0.155202198	0.487	0.733	8.13E-157
LTBP3	1.72E-61	0.155157601	0.291	0.304	3.54E-57
REXO2	1.59E-143	0.155050214	0.422	0.645	3.27E-139
TSEN34	3.44E-182	0.155024151	0.478	0.735	7.09E-178
SDHAF1	1.75E-131	0.154693702	0.32	0.462	3.60E-127
FAM104A	2.03E-142	0.154516344	0.298	0.472	4.19E-138
