hgnc_symbol	sc_beta_scRNA_Melton2019	h_beta_scRNA_Melton2019	SCbeta_Hbeta_scRNA_Melton2019
C9orf24	3.400215043	2.072213319	-0.714453466
C9orf3	31.22582806	195.2024946	2.644159755
C9orf40	7.517906655	11.81161592	0.651803442
C9orf43	1	1.381475546	0.466210024
C9orf47	1	1	0
C9orf50	1	1	0
C9orf64	50.84725248	26.38618292	-0.946387158
C9orf66	1.403758504	6.423861288	2.194145978
C9orf69	42.61186926	15.05808345	-1.50071718
C9orf72	21.7426595	18.44269854	-0.237478651
C9orf78	84.84940292	90.6247958	0.095001332
C9orf84	1	1	0
C9orf85	13.78802797	16.37048522	0.247680953
CA10	7.049987154	1	-2.817620629
CA11	21.99221656	37.29983974	0.762176413
CA12	1	37.29983974	5.221097527
CA13	3.618577477	5.59497596	0.628709271
CA14	1	1.036106659	0.051172525
CA2	1	1	0
CA3	1	1.243327991	0.314206931
CA4	1	1	0
CA5A	1	22.58712517	4.497428755
CA5B	3.587382844	12.01883725	1.744293708
CA6	1	1	0
CA7	1	1	0
CA8	27.10813645	23.69230561	-0.194307337
CA9	1	1	0
CAAP1	24.11345164	19.34065764	-0.318201324
CAB39	72.96424758	41.72056148	-0.806431144
CAB39L	4.710389647	9.048664825	0.941858525
CABIN1	52.18862172	21.62009229	-1.27136262
CABLES1	10.63737	7.874410611	-0.433897652
CABLES2	9.732725629	2.832024869	-1.781009951
CABP1	1.466147771	5.664049738	1.949803416
CABP4	1	6.838303951	2.77363855
CABP7	1	63.5478751	5.98977198
CABYR	2.401986774	3.246467532	0.434642574
CACFD1	200.9558285	44.82888146	-2.164378014
CACHD1	12.25949094	1	-3.615827169
CACNA1A	210.1582454	156.4521056	-0.425754986
CACNA1B	26.95216328	2.832024869	-3.250495234
CACNA1C	92.3049203	24.9356336	-1.888198691
CACNA1D	42.45589609	115.4913556	1.443748044
CACNA1E	16.12762548	1	-4.011462137
CACNA1F	1	2.55572976	1.353735295
CACNA1G	1.809288739	1.726844432	-0.067284542
CACNA1H	17.96810885	37.02354463	1.043004452
CACNA1I	1	1	0
CACNA2D1	403.6273619	51.73625919	-2.96377633
CACNA2D2	185.8888206	51.59811163	-1.849049836
CACNA2D3	5.583839383	1	-2.481257444
CACNA2D4	1	1	0
CACNB1	26.82738475	3.246467532	-3.046763735
CACNB2	41.64483562	13.6766079	-1.606427143
CACNB3	51.37756125	7.667189279	-2.74436871
CACNB4	4.398443313	28.38932246	2.690283495
CACNG1	1	1	0
CACNG2	1	1	0
CACNG3	1	1	0
CACNG4	32.7543651	2.072213319	-3.982442754
CACNG5	1	1	0
CACNG6	1.216590704	1.174254214	-0.051099114
CACNG7	3.930523812	1	-1.97472159
CACNG8	1	10.56828792	3.401669772
CACTIN	9.420779294	8.15070572	-0.208921427
CACUL1	151.8866701	66.37989997	-1.194176901
CACYBP	142.8402265	79.22762255	-0.85032691
CAD	51.34636662	24.0376745	-1.094964861
CADM1	236.0185965	276.2260354	0.226948768
CADM2	9.545557828	1.105180437	-3.110547579
CADM3	71.74765688	1	-6.164859812
CADM4	81.63635567	6.976451506	-3.548646463
CADPS	660.4215842	120.4646676	-2.454777207
CADPS2	1.934067272	2.762951091	0.514572048
CAGE1	1	1.243327991	0.314206931
CAHM	1.622120938	4.83516441	1.575683562
CALB1	2.620349208	1.5196231	-0.786045541
CALB2	1541.669978	1	-10.59027825
CALCA	1	1.243327991	0.314206931
CALCB	1	9.808476375	3.294029049
CALCOCO1	60.45519958	22.65619895	-1.415960588
CALCOCO2	123.1876074	105.1993628	-0.227731163
CALCR	3.961718445	1	-1.986126353
CALCRL	1	4.006279083	2.002262925
CALD1	50.50411152	35.50392153	-0.508422458
CALHM1	1	1	0
CALHM2	1	1	0
CALHM3	2.27720824	1	-1.187266225
CALM1	1044.833052	754.7000906	-0.469297088
CALM2	1016.47713	559.2213009	-0.862086537
CALM3	182.7381626	229.0486455	0.325876077
CALML4	5.178309149	2.072213319	-1.321308573
CALML6	1	1	0
CALN1	1	4.144426637	2.051172525
CALR	598.1259013	632.3013573	0.080163123
CALU	81.13724154	62.92621111	-0.366703177
CALY	324.4241876	56.01883338	-2.53389754
CAMK1	35.1875465	12.29513236	-1.516977658
CAMK1D	178.8076388	28.94191268	-2.627176197
CAMK1G	13.53847091	4.144426637	-1.707820374
CAMK2A	2.557959941	1	-1.354993671
CAMK2B	214.5878833	156.5211793	-0.455210731
CAMK2D	74.49278462	44.4144388	-0.746071931
CAMK2G	64.94722679	57.33123515	-0.179946564
CAMK2N1	589.5785717	278.4363962	-1.082336283
CAMK2N2	55.30808506	62.09732578	0.167040748
CAMK4	3.057074076	1.105180437	-1.467869581
CAMKK1	5.583839383	21.68916607	1.957645235
CAMKK2	8.703302726	7.805336833	-0.157102086
CAMKMT	9.327195394	3.453688864	-1.433305221
CAMKV	6.800430087	1.174254214	-2.53388122
CAMLG	180.3673705	121.9842907	-0.564243003
CAMSAP1	61.64059565	12.36420613	-2.317711191
CAMSAP2	37.37117084	10.98273059	-1.766688974
CAMSAP3	73.33858318	6.976451506	-3.394007078
CAMTA1	136.8508568	79.3657701	-0.786015645
CAMTA1-IT1	1	1	0
CAMTA2	26.82738475	51.80533297	0.949394199
CAND1	142.621864	93.87126333	-0.603439684
CAND2	22.6784985	15.88696878	-0.51348124
CANT1	46.44880917	20.58398563	-1.174119255
CANX	790.0040915	397.5886621	-0.990583509
CAP1	275.3862239	170.6122299	-0.690735325
CAP2	14.13116894	4.144426637	-1.769636381
CAPG	11.69798753	5.249607074	-1.155979009
CAPN1	202.2348085	74.87597458	-1.433456553
CAPN10	20.96279366	10.15384526	-1.045804815
CAPN12	2.37079214	2.072213319	-0.194196655
CAPN13	6.862819353	33.91522465	2.305059764
CAPN14	1	1	0
CAPN15	41.42647319	14.09105057	-1.555773826
CAPN2	177.2167125	63.68602266	-1.476465984
CAPN3	1	1	0
CAPN5	1.934067272	3.246467532	0.747232805
CAPN6	1	1	0
CAPN7	46.04327894	23.4160105	-0.97549528
CAPN8	1	1.450549323	0.536599352
CAPN9	1	1	0
CAPNS1	575.1354565	308.4144156	-0.899031581
CAPRIN1	198.1795061	118.7378232	-0.739028211
CAPRIN2	19.18469956	14.71271456	-0.382892717
CAPS	3.961718445	35.5729953	3.166584199
CAPS2	8.360161758	5.871271069	-0.509857991
CAPSL	13.75683334	1.174254214	-3.550331741
CAPZA1	175.3762291	61.75195689	-1.505896454
CAPZA2	261.9725315	111.8995192	-1.227211712
CAPZB	279.035996	211.0203896	-0.403068839
CARD10	81.63635567	2.141287096	-5.252661635
CARD11	1	5.525902183	2.466210024
CARD14	1	9.394033711	3.231744771
CARD16	1	1	0
CARD19	58.67710547	25.00470738	-1.230597983
CARD6	1	1.588696878	0.667843886
CARD8	19.96456539	11.46624703	-0.8000484
CARD9	1	1.864991987	0.899169432
CARF	34.50126457	19.68602653	-0.809477298
CARHSP1	83.53922831	57.33123515	-0.543132456
CARM1	82.29144298	22.93249406	-1.843349155
CARMIL1	22.36655217	9.117738602	-1.294594926
CARMIL2	14.31833674	28.38932246	0.987484503
CARMIL3	16.96988058	2.210360873	-2.940622578
CARMN	1	16.23233766	4.020798876
CARNMT1	12.47785337	11.67346836	-0.09613649
CARNS1	1	1	0
CARS	47.69659451	39.37205305	-0.276714319
CARS2	15.90926305	30.32338823	0.930563956
CARTPT	5.989369618	2.417582205	-1.308839221
CASC1	1.902872639	1.864991987	-0.029009572
CASC10	31.47538513	1.105180437	-4.831870196
CASC15	1	16.09419011	4.008468074
CASC16	1	1	0
CASC2	1.684510205	5.940344847	1.818217516
CASC21	1	1	0
CASC3	96.92172605	51.04552142	-0.925035709
CASC4	256.1703297	161.1491224	-0.668707057
CASC6	1	18.16640343	4.183200919
CASC9	1	1	0
CASD1	58.98905181	39.30297928	-0.585808542
CASK	93.64628954	21.8963874	-2.096528968
CASKIN1	13.07055141	2.27943465	-2.519572051
CASKIN2	14.41192064	6.423861288	-1.165749967
CASP1	1	1	0
CASP10	1	5.042385742	2.334106488
CASP14	1	3.108319978	1.636135026
CASP2	30.44596222	16.09419011	-0.91971093
CASP3	45.85611113	13.40031279	-1.774847334
CASP4	1	10.08477148	3.334106488
CASP6	43.73487606	16.99214921	-1.363915865
CASP7	2.308402873	10.29199282	2.156555418
CASP8	1	5.387754628	2.429684148
CASP8AP2	14.00639041	8.91051727	-0.652504116
CASP9	7.798658356	9.601255043	0.299997051
CASQ1	1	1	0
CASQ2	1	1	0
CASR	71.12376421	116.4583885	0.711410975
CASS4	1	1.036106659	0.051172525
CAST	86.40913459	103.886961	0.265758854
CASZ1	47.57181597	21.41287096	-1.151628859
CAT	1	21.13657585	4.401669772
CATIP	1	1.726844432	0.788138119
CATSPER1	1	1	0
CATSPER2	20.52606879	28.25117491	0.460853522
CATSPER3	1	1	0
CATSPERB	1	1	0
CATSPERD	1	1	0
CATSPERG	1	3.177393755	1.667843886
CAV1	1	1	0
CAV2	1.559731671	5.042385742	1.692808632
CBARP	49.94260811	18.92621498	-1.399885246
CBFA2T2	97.14008849	50.42385742	-0.945960312
CBFA2T3	14.31833674	11.94976347	-0.260881853
CBFB	177.0607393	51.87440674	-1.771149513
CBL	35.31232504	7.252746615	-2.283572462
CBLB	38.83731861	11.81161592	-1.717237249
CBLC	1	3.522762642	1.816707272
CBLL1	12.00993387	11.39717325	-0.075552158
CBLN1	51.50233978	1	-5.686566071
CBLN2	1.746899472	1	-0.804796588
CBLN3	3.213047243	1.5196231	-1.080228645
CBLN4	1	1	0
CBR1	31.00746562	34.74410998	0.164152811
CBR3	1	1	0
CBR4	75.70937532	25.00470738	-1.598272243
CBS	1	1	0
CBSL	1	1	0
CBWD1	2.246013607	14.2982719	2.670402219
CBWD2	5.83339645	14.78178834	1.34141279
CBWD3	1.341369237	7.39089417	2.462042495
CBWD5	10.66856463	38.40502017	1.847928821
CBWD7	1	1	0
CBX1	111.645593	53.80847251	-1.053021047
CBX2	12.85218897	1	-3.683942194
CBX3	169.2308863	67.69230174	-1.32192922
CBX4	80.10781864	40.61538104	-0.979916879
CBX5	339.9279204	117.4944952	-1.532635699
CBX6	480.0854084	142.5682763	-1.751638093
CBX7	15.47253818	55.74253827	1.849068816
CBX8	18.74797469	5.249607074	-1.836453404
CBY1	80.5445435	39.30297928	-1.03514818
CC2D1A	38.96209715	25.14285493	-0.631922858
CC2D1B	23.02163947	21.34379718	-0.109173715
CC2D2A	23.73911604	14.02197679	-0.759576463
CC2D2B	1	1	0
CCAR1	140.7813806	38.75038906	-1.861173839
CCAR2	37.40236548	7.943484388	-2.235285629
CCAT1	1	2.210360873	1.14428193
CCBE1	1.497342404	18.16640343	3.600796752
CCDC102A	1.216590704	1	-0.282843885
CCDC102B	2.557959941	2.55572976	-0.001258376
CCDC103	1	1	0
CCDC106	61.85895808	31.15227356	-0.989645076
CCDC107	36.74727817	56.64049738	0.624196539
CCDC110	1.902872639	6.423861288	1.755261737
CCDC112	45.10743993	6.63108262	-2.766049073
CCDC113	4.897557448	9.67032882	0.981502531
CCDC114	1	1	0
CCDC115	31.56896903	40.47723349	0.358603543
CCDC117	41.08333222	17.06122299	-1.267832135
CCDC12	42.86142633	61.95917823	0.531638149
CCDC120	20.71323659	9.946623929	-1.058274167
CCDC121	7.393128122	3.868131528	-0.934548064
CCDC122	17.43780008	12.70957502	-0.456302254
CCDC124	23.30239117	55.39716938	1.249334257
CCDC125	1.247785337	14.02197679	3.490248086
CCDC126	52.43817879	9.186812379	-2.512981311
CCDC127	27.76322375	44.75980768	0.68902874
CCDC129	1	1	0
CCDC13	1.590926305	1.105180437	-0.525585079
CCDC130	12.57143727	16.7158541	0.411067472
CCDC134	1	1.450549323	0.536599352
CCDC136	18.40483372	1	-4.202012811
CCDC137	11.41723583	15.40345234	0.432040325
CCDC138	2.776322375	1.174254214	-1.241430326
CCDC14	35.40590894	7.045525283	-2.329210977
CCDC141	1	1	0
CCDC142	1	80.54002432	6.331634003
CCDC144A	1	17.47566565	4.127275504
CCDC146	1.622120938	1	-0.697881384
CCDC148	2.433181407	1	-1.282843885
CCDC149	11.6667929	17.3375181	0.571489357
CCDC15	1	1.381475546	0.466210024
CCDC150	9.01524906	9.739402597	0.111465933
CCDC151	9.607947095	11.60439458	0.272371145
CCDC152	5.521450116	3.453688864	-0.676909097
CCDC153	11.573209	1.726844432	-2.744578924
CCDC154	1	1	0
CCDC155	1	1	0
CCDC157	2.589154574	21.55101851	3.057203051
CCDC158	1	1.312401768	0.392209443
CCDC159	6.83162472	20.58398563	1.591221724
CCDC160	2.807517008	1	-1.489294763
CCDC163	1.559731671	7.459967947	2.257871576
CCDC167	22.55371997	27.49136336	0.285613047
CCDC168	1	1	0
CCDC169	1	2.348508428	1.231744771
CCDC17	1	1	0
CCDC170	1.715704838	4.904238187	1.515227669
CCDC171	3.057074076	1.657770655	-0.88290708
CCDC173	1	5.180533297	2.37310062
CCDC174	19.34067272	17.19937054	-0.16928221
CCDC175	1	1	0
CCDC177	1	1	0
CCDC178	1.060617536	1	-0.084904508
CCDC18	2.37079214	1	-1.24536918
CCDC180	1.247785337	5.042385742	2.014736727
CCDC181	27.45127741	26.93877314	-0.027189137
CCDC183	1	1.864991987	0.899169432
CCDC184	27.70083448	22.5180514	-0.298847449
CCDC186	57.3981255	41.16797126	-0.479481267
CCDC187	3.587382844	5.318680851	0.568136753
CCDC188	1.996456539	1.450549323	-0.460842314
CCDC189	4.741584281	2.210360873	-1.10108725
CCDC190	1	1	0
CCDC191	9.888698796	10.77550926	0.123903452
CCDC192	1	1	0
CCDC22	14.97342404	10.43014037	-0.521645593
CCDC24	17.34421618	13.60753413	-0.35004899
CCDC25	51.25278272	51.45996408	0.005820114
CCDC27	1	1.588696878	0.667843886
CCDC28A	9.919893429	39.92464327	2.00888299
CCDC28B	108.4013512	21.13657585	-2.358569157
CCDC3	2.027651173	1	-1.019809479
CCDC30	14.63028308	34.74410998	1.247810741
CCDC33	1.653315572	1	-0.725362121
CCDC34	25.14287454	16.85400166	-0.577058428
CCDC36	1	1	0
CCDC38	1	1	0
CCDC39	1	1	0
CCDC40	11.72918217	8.496074606	-0.465234083
CCDC42	1	1	0
CCDC43	16.47076645	15.196231	-0.116194143
CCDC47	99.91641086	108.860273	0.123684
CCDC50	86.56510775	21.41287096	-2.015307388
CCDC51	12.1347124	10.22291904	-0.247332716
CCDC57	3.618577477	25.97174026	2.84344812
CCDC58	4.772778914	4.420721746	-0.110547579
CCDC59	24.3630087	23.89952694	-0.027710247
CCDC6	62.95077025	32.11930644	-0.97078329
CCDC60	1.060617536	1.105180437	0.059377422
CCDC61	1	3.039246201	1.603713548
CCDC62	1	1	0
CCDC65	1	1	0
CCDC66	35.78024454	15.67974744	-1.190260926
CCDC68	13.56966554	1	-3.762313257
CCDC69	1	7.874410611	2.977171944
CCDC7	3.680966744	4.489795524	0.286565027
CCDC71	5.771007184	13.46938657	1.222789116
CCDC71L	9.919893429	3.039246201	-1.706611073
CCDC73	1	1	0
CCDC74A	1.590926305	3.591836419	1.174854639
CCDC74B	1.590926305	8.703295938	2.451694845
CCDC77	6.800430087	4.282574192	-0.667147751
CCDC78	1	1	0
CCDC8	59.23860887	21.75823985	-1.444975909
CCDC80	1	1.726844432	0.788138119
CCDC81	1	1	0
CCDC82	18.21766592	8.081631943	-1.172619576
CCDC83	1	1	0
CCDC84	18.12408202	11.74254214	-0.626163154
CCDC85A	1.559731671	1	-0.641297856
CCDC85B	12.8833836	41.09889749	1.67358815
CCDC85C	30.07162662	15.95604255	-0.914300032
CCDC86	7.642685189	28.32024869	1.889682424
CCDC87	1	1	0
CCDC88A	98.76220942	23.20878917	-2.089287854
CCDC88B	1.466147771	21.13657585	3.849639254
CCDC88C	65.41514629	10.84458303	-2.592650134
CCDC89	1	1	0
CCDC9	1.341369237	6.216639956	2.212428605
CCDC90B	97.14008849	60.02511246	-0.694500599
CCDC91	67.91071697	32.87911799	-1.046467666
CCDC92	67.97310623	46.48665211	-0.548147523
CCDC93	13.75683334	14.43641945	0.06956455
CCDC94	14.25594748	13.19309146	-0.111781264
CCDC96	8.172993957	2.348508428	-1.799119897
CCDC97	24.86212284	16.92307544	-0.554957712
CCER2	1	1	0
CCHCR1	1	2.762951091	1.466210024
CCK	1	1	0
CCKAR	1	1	0
CCKBR	9.171222227	7.183672838	-0.352392363
CCL14	1	1	0
CCL15	1	1	0
CCL16	1	1	0
CCL18	1	1	0
CCL19	1	1	0
CCL2	1	1.657770655	0.72924443
CCL20	1	1.450549323	0.536599352
CCL22	1	1.105180437	0.14428193
CCL23	1	1	0
CCL25	1	1	0
CCL26	1	1	0
CCL27	1	1	0
CCL28	1	7.183672838	2.844721648
CCL3	1	1	0
CCL3L3	1	1	0
CCL4	1	1	0
CCL4L2	1	1	0
CCL5	1	11.12087814	3.475198808
CCL7	1	1	0
CCL8	1	1	0
CCM2	38.24462058	44.6907339	0.224718902
CCM2L	1	1	0
CCNA1	3.587382844	1	-1.842931717
CCNA2	1.590926305	1	-0.669867008
CCNB1	3.337825776	1.726844432	-0.950770533
CCNB1IP1	19.09111566	55.74253827	1.545877284
CCNB2	1	1	0
CCNB3	2.651543841	1	-1.406832602
CCNC	97.73278652	83.37204919	-0.22927883
CCND1	21.21235073	46.07220945	1.118992278
CCND2	82.91533564	87.72369715	0.081327656
CCND3	11.1988734	45.51961923	2.023134884
CCNDBP1	60.73595128	59.47252224	-0.030327478
CCNE1	1.590926305	1	-0.669867008
CCNE2	1	1	0
CCNF	2.18362434	4.83516441	1.146840263
CCNG1	62.51404538	26.4552567	-1.240625948
CCNG2	71.31093201	26.10988781	-1.449527001
CCNH	28.82384128	22.10360873	-0.382980683
CCNI	692.6456406	693.7079453	0.002210954
CCNI2	1	1	0
CCNJ	23.30239117	4.213500415	-2.467386832
CCNJL	7.736269089	1	-2.951637977
CCNK	52.06384319	29.35635535	-0.826608945
CCNL1	73.30738855	36.54002818	-1.004480866
CCNL2	93.27195394	40.27001216	-1.211737433
CCNO	1	1	0
CCNT1	46.32403064	19.82417408	-1.224500026
CCNT2	45.48177553	12.22605858	-1.895329191
CCNY	305.1147095	77.50077812	-1.977069033
CCNYL1	9.639141728	7.114599061	-0.438122238
CCP110	23.20880727	16.37048522	-0.503575299
CCPG1	55.058528	69.97173639	0.345806254
CCR1	1	1	0
CCR10	2.433181407	9.186812379	1.91672048
CCR4	1	5.387754628	2.429684148
CCR5	1	1	0
CCR6	1	4.489795524	2.166649743
CCR7	1	1	0
CCRL2	1	1	0
CCS	29.72848565	32.87911799	0.145325623
CCSAP	16.25240401	6.907377729	-1.234443109
CCSER1	56.52467577	3.177393755	-4.152965021
CCSER2	66.78771016	38.26687262	-0.803486651
CCT2	345.4181759	77.36263056	-2.158635243
CCT3	600.8086398	186.084756	-1.690945684
CCT4	192.8140292	156.4521056	-0.301488952
CCT5	209.3159903	60.64677646	-1.787179658
CCT6A	228.2199381	90.41757447	-1.335749715
CCT6B	2.495570674	3.729983974	0.57979967
CCT7	294.1965878	227.7362437	-0.369416602
CCT8	180.7729007	145.8147439	-0.310041819
CCZ1	12.9769675	22.58712517	0.799547371
CCZ1B	10.48139683	12.22605858	0.222128391
CD101	1	1	0
CD109	1	2.624803537	1.392209443
CD14	1	61.54473556	5.943563551
CD151	21.27474	143.1899403	2.750716735
CD160	1	3.453688864	1.788138119
CD163	1	1	0
CD163L1	1	1	0
CD164	532.1804462	162.0470815	-1.715502465
CD164L2	1	1	0
CD180	1	1	0
CD19	1	1	0
CD1D	1	1	0
CD1E	1	1	0
CD2	1	1	0
CD200	286.179567	84.40815584	-1.761466359
CD200R1	1	1	0
CD209	1	1.450549323	0.536599352
CD22	1	4.904238187	2.294029049
CD226	1	17.75196076	4.149906479
CD24	439.6883581	138.9073661	-1.662358228
CD247	1	1	0
CD248	1	1	0
CD27	1	1	0
CD274	2.495570674	6.562008842	1.394767777
CD276	99.44849136	42.54944681	-1.22480911
CD28	1	1	0
CD2AP	47.25986964	29.90894557	-0.6600386
CD2BP2	22.92805557	47.10831611	1.038867753
CD300A	3.493798944	1	-1.804796588
CD300C	1	1	0
CD300E	1	1	0
CD300LB	1	1	0
CD300LD	1	1	0
CD300LF	1	1	0
CD300LG	1	1	0
CD302	20.43248489	12.50235369	-0.708664946
CD320	49.84902421	61.75195689	0.308919591
CD33	1	7.943484388	2.98977198
CD34	1	1.450549323	0.536599352
CD36	42.17514439	3.729983974	-3.499151671
CD37	1	1.036106659	0.051172525
CD38	1	1.036106659	0.051172525
CD3D	1	1	0
CD3E	1	1	0
CD3EAP	1	5.733123515	2.519321361
CD3G	1	1.864991987	0.899169432
CD4	1	1	0
CD40	1	13.26216524	3.72924443
CD40LG	1	1	0
CD44	1	50.70015253	5.663918182
CD46	89.18545696	99.88068196	0.163397196
CD47	37.80789571	38.33594639	0.020010241
CD48	1	1	0
CD5	1	19.13343631	4.258024096
CD52	1	1	0
CD53	1	1	0
CD55	7.985826157	39.71742194	2.314258409
CD58	1	1.243327991	0.314206931
CD59	332.0044835	296.1192832	-0.165024283
CD6	5.178309149	10.77550926	1.057203051
CD63	510.3130082	1374.844463	1.429814093
CD68	13.28891384	90.90109091	2.774074417
CD69	1	1	0
CD7	1	1	0
CD70	1	1	0
CD72	4.46083258	22.86342028	2.357656333
CD74	122.4077416	12.7786488	-3.259887602
CD79A	1	1	0
CD79B	1	1	0
CD80	1	1	0
CD81	636.7136628	637.6891119	0.002208526
CD82	21.05637756	81.02354076	1.944083869
CD83	14.34953138	5.664049738	-1.341097783
CD84	1	16.23233766	4.020798876
CD86	1	1	0
CD8A	1	2.417582205	1.273564946
CD8B	1	5.042385742	2.334106488
CD9	1.809288739	53.67032495	4.890630057
CD93	1	1	0
CD96	1	2.141287096	1.09847824
CD99	1351.445104	1208.031291	-0.161845086
CD99L2	27.51366668	42.96388947	0.642976188
CDA	1	1	0
CDADC1	9.670336362	12.64050124	0.386415696
CDAN1	2.682738475	4.904238187	0.870322628
CDC123	78.04897283	50.70015253	-0.622389558
CDC14A	5.053530615	2.832024869	-0.835457735
CDC14B	22.3041629	23.20878917	0.057358254
CDC16	74.52397925	30.32338823	-1.297273746
CDC20	1	1	0
CDC20B	1	2.762951091	1.466210024
CDC23	53.34282316	19.7551003	-1.43306901
CDC25A	3.649772111	1	-1.867806386
CDC25B	13.41369237	11.12087814	-0.270435708
CDC25C	1	1	0
CDC26	40.77138589	48.62793921	0.254228456
CDC27	58.73949474	31.70486377	-0.889626678
CDC34	66.75651553	66.37989997	-0.008162197
CDC37	130.1440106	114.7315441	-0.181846821
CDC37L1	38.83731861	27.21506825	-0.513037944
CDC40	30.44596222	17.89010832	-0.767088787
CDC42	651.7806708	207.9811434	-1.647933836
CDC42-IT1	1	1	0
CDC42BPA	84.91179218	64.7912031	-0.390166976
CDC42BPB	90.30846377	45.38147168	-0.992757809
CDC42BPG	5.771007184	10.56828792	0.872846645
CDC42EP1	2.994684809	1.934065764	-0.630767315
CDC42EP2	4.64800038	1	-2.216610187
CDC42EP3	162.3368723	100.1569771	-0.696727799
CDC42EP4	40.89616442	34.88225753	-0.229472129
CDC42EP5	1	1.726844432	0.788138119
CDC42SE1	137.599528	38.81946284	-1.825623462
CDC42SE2	86.68988629	60.5086289	-0.518722796
CDC45	1	1	0
CDC5L	55.49525286	34.53688864	-0.684226247
CDC6	1	1.5196231	0.603713548
CDC7	2.246013607	6.078492401	1.43634688
CDC73	40.08510395	27.21506825	-0.558660561
CDCA2	1	1	0
CDCA3	2.121235073	3.039246201	0.518809041
CDCA4	4.024107712	4.904238187	0.285360127
CDCA5	1	1	0
CDCA7	1	1	0
CDCA7L	6.92520862	1	-2.791857533
CDCA8	3.649772111	1	-1.867806386
CDCP1	53.34282316	83.51019674	0.646658183
CDH1	279.035996	116.9419049	-1.254659246
CDH10	26.76499548	7.598115502	-1.816633861
CDH11	1	1	0
CDH12	11.13648413	1.243327991	-3.163014999
CDH13	4.273664779	11.94976347	1.483436408
CDH15	1	3.591836419	1.844721648
CDH16	1	1	0
CDH17	6.082953518	1	-2.60477198
CDH18	8.734497359	4.83516441	-0.853159737
CDH19	1	1	0
CDH2	119.1011104	20.86028074	-2.513356385
CDH20	1	1	0
CDH22	1.965261906	44.27629124	4.493740886
CDH23	1	1	0
CDH24	1.559731671	4.558869301	1.547378193
CDH26	1	1	0
CDH3	47.25986964	6.009418624	-2.975318319
CDH4	29.63490175	5.871271069	-2.335552504
CDH5	1	1	0
CDH6	41.55125172	6.078492401	-2.773106485
CDH7	2.901100909	1	-1.536600477
CDH8	164.2085503	1	-7.35938544
CDH9	1	1	0
CDHR1	3.337825776	1	-1.738908653
CDHR2	4.242470146	1	-2.084904508
CDHR3	2.027651173	5.733123515	1.499511882
CDHR4	1	1	0
CDHR5	1	1	0
CDIP1	125.3712317	124.8163156	-0.006399808
CDIPT	186.7310757	112.3830356	-0.732537765
CDK1	1.27897997	1	-0.354993671
CDK10	13.97519577	17.19937054	0.299487273
CDK11A	2.37079214	1.312401768	-0.853159737
CDK11B	6.238926685	10.36106659	0.731802764
CDK12	61.35984395	31.84301133	-0.946318039
CDK13	55.08972263	22.58712517	-1.286282539
CDK14	18.24886055	16.16326389	-0.175087832
CDK16	106.5296731	94.42385355	-0.174032072
CDK17	18.56080689	5.111459519	-1.860452229
CDK18	1.216590704	1.864991987	0.616325547
CDK19	47.66539987	12.1569848	-1.971156946
CDK2	1.590926305	6.078492401	1.93384654
CDK20	6.519678386	8.565148384	0.393677442
CDK2AP1	244.7530939	178.6247881	-0.454394797
CDK2AP2	64.44811266	93.24959934	0.532959416
CDK3	6.238926685	2.27943465	-1.452621807
CDK4	164.8012484	78.19151589	-1.075643188
CDK5	54.30985679	20.86028074	-1.380455485
CDK5R1	65.47753556	31.63579	-1.0494424
CDK5R2	164.9260269	102.3673379	-0.688063616
CDK5RAP1	31.56896903	14.16012434	-1.156673212
CDK5RAP2	9.795114895	14.78178834	0.593686501
CDK5RAP3	44.5147419	41.58241393	-0.098309679
CDK6	6.769235453	42.82574192	2.661413436
CDK7	4.616805747	11.81161592	1.355239412
CDK8	38.71254008	12.91679635	-1.583552677
CDK9	25.82915648	13.33123902	-0.954189657
CDKAL1	29.54131785	13.12401768	-1.170524744
CDKL1	1	1	0
CDKL2	5.677423283	1.381475546	-2.039026282
CDKL3	1.965261906	4.627943078	1.23564953
CDKL4	1	1	0
CDKL5	19.34067272	19.68602653	0.025533967
CDKN1A	21.27474	600.8037148	4.819680328
CDKN1B	52.68773585	45.10517657	-0.224174168
CDKN1C	748.5776183	2602.216412	1.797517129
CDKN2A	1	38.40502017	5.263223002
CDKN2AIP	24.48778724	15.74882122	-0.636818566
CDKN2AIPNL	9.389584661	40.96074993	2.125108881
CDKN2B	13.75683334	4.420721746	-1.637794582
CDKN2C	1	24.45211716	4.61188748
CDKN2D	37.65192254	25.83359271	-0.543475238
CDKN3	4.273664779	1.450549323	-1.558874397
CDNF	1	1.864991987	0.899169432
CDO1	28.48070032	1	-4.831912716
CDON	16.90749132	14.50549323	-0.22106326
CDPF1	9.514363195	10.43014037	0.13257957
CDR2	16.06523621	35.29670019	1.135591122
CDR2L	8.453745658	1.795918209	-2.23486906
CDRT4	18.93514249	13.12401768	-0.528856835
CDS1	56.4622865	6.285713733	-3.167139079
CDS2	125.2776478	84.89167229	-0.56143409
CDT1	1	4.351647969	2.121561853
CDV3	169.262081	86.9638856	-0.960770501
CDX1	1	1	0
CDX2	1	1	0
CDYL	54.15388363	26.59340426	-1.025996334
CDYL2	18.93514249	5.249607074	-1.85078493
CEACAM1	44.82668823	21.41287096	-1.065879678
CEACAM16	1	1	0
CEACAM19	2.776322375	2.27943465	-0.284499048
