ensembl_gene_id	Gene.name	UniProt.accession	Annotated.category	mean_tpm	hgnc_symbol	gene_biotype	description
ENSG00000068383	INPP5A	Q14642	Intracellular or membrane-bound	14.146690997184809	INPP5A	protein_coding	inositol polyphosphate-5-phosphatase A [Source:HGNC Symbol;Acc:HGNC:6076]
ENSG00000068912	ERLEC1	Q96DZ1	Intracellular or membrane-bound	94.64164469662921	ERLEC1	protein_coding	endoplasmic reticulum lectin 1 [Source:HGNC Symbol;Acc:HGNC:25222]
ENSG00000069206	ADAM7	Q9H2U9	Intracellular or membrane-bound	0.009241856696813483	ADAM7	protein_coding	ADAM metallopeptidase domain 7 [Source:HGNC Symbol;Acc:HGNC:214]
ENSG00000069482	GAL	P22466	Secreted to blood	2.805200662921348	GAL	protein_coding	galanin and GMAP prepropeptide [Source:HGNC Symbol;Acc:HGNC:4114]
ENSG00000069702	TGFBR3	Q03167	Secreted to blood	32.28265367771906	TGFBR3	protein_coding	transforming growth factor beta receptor 3 [Source:HGNC Symbol;Acc:HGNC:11774]
ENSG00000069764	PLA2G10	O15496	Locally secreted	0.6094319701434685	PLA2G10	protein_coding	phospholipase A2 group X [Source:HGNC Symbol;Acc:HGNC:9029]
ENSG00000069998	HDHD5	Q9BXW7	Intracellular or membrane-bound	14.083889061929236	HDHD5	protein_coding	haloacid dehalogenase like hydrolase domain containing 5 [Source:HGNC Symbol;Acc:HGNC:1843]
ENSG00000070031	SCT	P09683	Secreted to blood	0.018409449438202247	SCT	protein_coding	secretin [Source:HGNC Symbol;Acc:HGNC:10607]
ENSG00000070081	NUCB2	NA	Secreted to blood	241.346506364809	NUCB2	protein_coding	nucleobindin 2 [Source:HGNC Symbol;Acc:HGNC:8044]
ENSG00000070193	FGF10	O15520	Locally secreted	0.475650982743854	FGF10	protein_coding	fibroblast growth factor 10 [Source:HGNC Symbol;Acc:HGNC:3666]
ENSG00000070388	FGF22	Q9HCT0	Locally secreted	0.0568597595505618	FGF22	protein_coding	fibroblast growth factor 22 [Source:HGNC Symbol;Acc:HGNC:3679]
ENSG00000070404	FSTL3	O95633	Locally secreted	27.95758737078652	FSTL3	protein_coding	follistatin like 3 [Source:HGNC Symbol;Acc:HGNC:3973]
ENSG00000070731	ST6GALNAC2	Q9UJ37	Intracellular or membrane-bound	3.773409337764854	ST6GALNAC2	protein_coding	ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:10867]
ENSG00000070886	EPHA8	P29322	Intracellular or membrane-bound	0.2338762988764045	EPHA8	protein_coding	EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]
ENSG00000071073	MGAT4A	Q9UM21	Locally secreted	52.4849195047755	MGAT4A	protein_coding	alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A [Source:HGNC Symbol;Acc:HGNC:7047]
ENSG00000071246	VASH1	Q7L8A9	Secreted to blood	8.528824123595506	VASH1	protein_coding	vasohibin 1 [Source:HGNC Symbol;Acc:HGNC:19964]
ENSG00000071537	SEL1L	Q9UBV2	Intracellular or membrane-bound	61.35756241797753	SEL1L	protein_coding	SEL1L adaptor subunit of ERAD E3 ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:10717]
ENSG00000071677	PRLH	P81277	Secreted - unknown location	0	PRLH	protein_coding	prolactin releasing hormone [Source:HGNC Symbol;Acc:HGNC:17945]
ENSG00000071889	FAM3A	P98173	Secreted - unknown location	9.373719862110601	FAM3A	protein_coding	FAM3 metabolism regulating signaling molecule A [Source:HGNC Symbol;Acc:HGNC:13749]
ENSG00000072042	RDH11	Q8TC12	Intracellular or membrane-bound	156.86286552859977	RDH11	protein_coding	retinol dehydrogenase 11 [Source:HGNC Symbol;Acc:HGNC:17964]
ENSG00000072080	SPP2	Q13103	Secreted to blood	0.7194228058911866	SPP2	protein_coding	secreted phosphoprotein 2 [Source:HGNC Symbol;Acc:HGNC:11256]
ENSG00000072201	LNX1	Q8TBB1	Intracellular or membrane-bound	10.137962604889914	LNX1	protein_coding	ligand of numb-protein X 1 [Source:HGNC Symbol;Acc:HGNC:6657]
ENSG00000072274	TFRC	P02786	Secreted to blood	102.99117061797752	TFRC	protein_coding	transferrin receptor [Source:HGNC Symbol;Acc:HGNC:11763]
ENSG00000072682	P4HA2	O15460	Intracellular or membrane-bound	67.73535002546134	P4HA2	protein_coding	prolyl 4-hydroxylase subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:8547]
ENSG00000073008	PVR	P15151	Secreted - unknown location	39.45297520224719	PVR	protein_coding	PVR cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:9705]
ENSG00000073067	CYP2W1	Q8TAV3	Intracellular or membrane-bound	0.02513401011235955	CYP2W1	protein_coding	cytochrome P450 family 2 subfamily W member 1 [Source:HGNC Symbol;Acc:HGNC:20243]
ENSG00000073169	SELENOO	Q9BVL4	Intracellular or membrane-bound	2.190765860772487	SELENOO	protein_coding	selenoprotein O [Source:HGNC Symbol;Acc:HGNC:30395]
ENSG00000073737	DHRS9	Q9BPW9	Intracellular or membrane-bound	9.025163350129253	DHRS9	protein_coding	dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]
ENSG00000073754	CD5L	O43866	Secreted to blood	0.04527226516853933	CD5L	protein_coding	CD5 molecule like [Source:HGNC Symbol;Acc:HGNC:1690]
ENSG00000073849	ST6GAL1	P15907	Secreted to blood	19.435630670321913	ST6GAL1	protein_coding	ST6 beta-galactoside alpha-2,6-sialyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:10860]
ENSG00000074527	NTN4	Q9HB63	Locally secreted to extracellular matrix	30.303959706491447	NTN4	protein_coding	netrin 4 [Source:HGNC Symbol;Acc:HGNC:13658]
ENSG00000074660	SCARF1	Q14162	Intracellular or membrane-bound	0.5415787996579083	SCARF1	protein_coding	scavenger receptor class F member 1 [Source:HGNC Symbol;Acc:HGNC:16820]
ENSG00000074842	MYDGF	Q969H8	Secreted to blood	139.197214739809	MYDGF	protein_coding	myeloid derived growth factor [Source:HGNC Symbol;Acc:HGNC:16948]
ENSG00000075035	WSCD2	Q2TBF2	Intracellular or membrane-bound	26.64838826117372	WSCD2	protein_coding	WSC domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29117]
ENSG00000075213	SEMA3A	Q14563	Locally secreted	1.2271503956357304	SEMA3A	protein_coding	semaphorin 3A [Source:HGNC Symbol;Acc:HGNC:10723]
ENSG00000075223	SEMA3C	Q99985	Locally secreted	4.4063563784025845	SEMA3C	protein_coding	semaphorin 3C [Source:HGNC Symbol;Acc:HGNC:10725]
ENSG00000075290	WNT8B	Q93098	Locally secreted to extracellular matrix	0.023056739325842696	WNT8B	protein_coding	Wnt family member 8B [Source:HGNC Symbol;Acc:HGNC:12789]
ENSG00000075388	FGF4	P08620	Locally secreted	9.318775280898877e-4	FGF4	protein_coding	fibroblast growth factor 4 [Source:HGNC Symbol;Acc:HGNC:3682]
ENSG00000075891	PAX2	Q02962	Intracellular or membrane-bound	0.043480082220224724	PAX2	protein_coding	paired box 2 [Source:HGNC Symbol;Acc:HGNC:8616]
ENSG00000076555	ACACB	O00763	Intracellular or membrane-bound	9.862276381186215	ACACB	protein_coding	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]
ENSG00000076716	GPC4	O75487	Intracellular or membrane-bound	4.378932528089887	GPC4	protein_coding	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]
ENSG00000077942	FBLN1	P23142	Locally secreted to extracellular matrix	7.186213991570813	FBLN1	protein_coding	fibulin 1 [Source:HGNC Symbol;Acc:HGNC:3600]
ENSG00000077984	CST7	O76096	Secreted to blood	0.21505784943820225	CST7	protein_coding	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]
ENSG00000078070	MCCC1	Q96RQ3	Intracellular or membrane-bound	22.446760593198075	MCCC1	protein_coding	methylcrotonoyl-CoA carboxylase 1 [Source:HGNC Symbol;Acc:HGNC:6936]
ENSG00000078098	FAP	Q12884	Secreted to blood	75.17253239813367	FAP	protein_coding	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]
ENSG00000078246	TULP3	O75386	Secreted - unknown location	14.551006115737193	TULP3	protein_coding	TUB like protein 3 [Source:HGNC Symbol;Acc:HGNC:12425]
ENSG00000078401	EDN1	P05305	Secreted to blood	19.709554943820226	EDN1	protein_coding	endothelin 1 [Source:HGNC Symbol;Acc:HGNC:3176]
ENSG00000078579	FGF20	Q9NP95	Locally secreted	0.12455361011235955	FGF20	protein_coding	fibroblast growth factor 20 [Source:HGNC Symbol;Acc:HGNC:3677]
ENSG00000078725	BRINP1	O60477	Intracellular or membrane-bound	0.6308503419606866	BRINP1	protein_coding	BMP/retinoic acid inducible neural specific 1 [Source:HGNC Symbol;Acc:HGNC:2687]
ENSG00000078808	SDF4	Q9BRK5	Intracellular or membrane-bound	38.43575454497286	SDF4	protein_coding	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]
ENSG00000078898	BPIFB2	Q8N4F0	Intracellular or membrane-bound	0.0013355191011235955	BPIFB2	protein_coding	BPI fold containing family B member 2 [Source:HGNC Symbol;Acc:HGNC:16177]
ENSG00000079101	CLUL1	Q15846	Locally secreted	3.4474669747401356	CLUL1	protein_coding	clusterin like 1 [Source:HGNC Symbol;Acc:HGNC:2096]
ENSG00000079150	FKBP7	Q9Y680	Intracellular or membrane-bound	15.366082873955056	FKBP7	protein_coding	FKBP prolyl isomerase 7 [Source:HGNC Symbol;Acc:HGNC:3723]
ENSG00000079385	CEACAM1	P13688	Intracellular or membrane-bound	12.162916316317496	CEACAM1	protein_coding	CEA cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:1814]
ENSG00000079557	AFM	P43652	Secreted to blood	0.1044331584269663	AFM	protein_coding	afamin [Source:HGNC Symbol;Acc:HGNC:316]
ENSG00000079689	SCGN	O76038	Intracellular or membrane-bound	581.5312419786337	SCGN	protein_coding	secretagogin, EF-hand calcium binding protein [Source:HGNC Symbol;Acc:HGNC:16941]
ENSG00000080573	COL5A3	P25940	Locally secreted to extracellular matrix	14.256861092134832	COL5A3	protein_coding	collagen type V alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:14864]
ENSG00000080910	CFHR2	P36980	Secreted to blood	0.018700467415730337	CFHR2	protein_coding	complement factor H related 2 [Source:HGNC Symbol;Acc:HGNC:4890]
ENSG00000081041	CXCL2	P19875	Secreted to blood	45.427624303370784	CXCL2	protein_coding	C-X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:4603]
ENSG00000081051	AFP	P02771	Secreted to blood	0.17765524561797752	AFP	protein_coding	alpha fetoprotein [Source:HGNC Symbol;Acc:HGNC:317]
ENSG00000081052	COL4A4	P53420	Locally secreted to extracellular matrix	0.7440900518812226	COL4A4	protein_coding	collagen type IV alpha 4 chain [Source:HGNC Symbol;Acc:HGNC:2206]
ENSG00000081237	PTPRC	NA	Intracellular or membrane-bound	1.4985938614248844	PTPRC	protein_coding	protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]
ENSG00000081842	PCDHA6	Q9UN73	Intracellular or membrane-bound	2.0921411246067416	PCDHA6	protein_coding	protocadherin alpha 6 [Source:HGNC Symbol;Acc:HGNC:8672]
ENSG00000081913	PHLPP1	O60346	Intracellular or membrane-bound	5.11796255975173	PHLPP1	protein_coding	PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610]
ENSG00000081985	IL12RB2	Q99665	Intracellular or membrane-bound	0.29035711654888136	IL12RB2	protein_coding	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]
ENSG00000082196	C1QTNF3	Q9BXJ4	Secreted to blood	2.774386620859981	C1QTNF3	protein_coding	C1q and TNF related 3 [Source:HGNC Symbol;Acc:HGNC:14326]
ENSG00000082293	COL19A1	Q14993	Locally secreted to extracellular matrix	0.15986652786516853	COL19A1	protein_coding	collagen type XIX alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2196]
ENSG00000082641	NFE2L1	Q14494	Intracellular or membrane-bound	162.7361671813225	NFE2L1	protein_coding	nuclear factor, erythroid 2 like 1 [Source:HGNC Symbol;Acc:HGNC:7781]
ENSG00000083123	BCKDHB	P21953	Intracellular or membrane-bound	9.637206382022471	BCKDHB	protein_coding	branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987]
ENSG00000083444	PLOD1	Q02809	Intracellular or membrane-bound	41.24951833039157	PLOD1	protein_coding	procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 [Source:HGNC Symbol;Acc:HGNC:9081]
ENSG00000083535	PIBF1	Q8WXW3	Secreted to blood	13.28939577327464	PIBF1	protein_coding	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]
ENSG00000083720	OXCT1	P55809	Intracellular or membrane-bound	17.748425359328998	OXCT1	protein_coding	3-oxoacid CoA-transferase 1 [Source:HGNC Symbol;Acc:HGNC:8527]
ENSG00000083782	EPYC	Q99645	Locally secreted to extracellular matrix	0.002924361797752809	EPYC	protein_coding	epiphycan [Source:HGNC Symbol;Acc:HGNC:3053]
ENSG00000083857	FAT1	Q14517	Intracellular or membrane-bound	32.97274733753095	FAT1	protein_coding	FAT atypical cadherin 1 [Source:HGNC Symbol;Acc:HGNC:3595]
ENSG00000084090	STARD7	Q9NQZ5	Intracellular or membrane-bound	2.98322361638809	STARD7	protein_coding	StAR related lipid transfer domain containing 7 [Source:HGNC Symbol;Acc:HGNC:18063]
ENSG00000084092	NOA1	Q8NC60	Intracellular or membrane-bound	14.19774415730337	NOA1	protein_coding	nitric oxide associated 1 [Source:HGNC Symbol;Acc:HGNC:28473]
ENSG00000084636	COL16A1	Q07092	Locally secreted to extracellular matrix	4.758965784924528	COL16A1	protein_coding	collagen type XVI alpha 1 chain [Source:HGNC Symbol;Acc:HGNC:2193]
ENSG00000084674	APOB	P04114	Secreted to blood	0.03260359526643854	APOB	protein_coding	apolipoprotein B [Source:HGNC Symbol;Acc:HGNC:603]
ENSG00000085063	CD59	P13987	Intracellular or membrane-bound	1621.2624223406503	CD59	protein_coding	CD59 molecule (CD59 blood group) [Source:HGNC Symbol;Acc:HGNC:1689]
ENSG00000085265	FCN1	O00602	Secreted to blood	0.048488188700494386	FCN1	protein_coding	ficolin 1 [Source:HGNC Symbol;Acc:HGNC:3623]
ENSG00000085465	OVGP1	Q12889	Intracellular or membrane-bound	0.5906719659550562	OVGP1	protein_coding	oviductal glycoprotein 1 [Source:HGNC Symbol;Acc:HGNC:8524]
ENSG00000085514	PILRA	Q9UKJ1	Secreted to blood	0.7415357612359551	PILRA	protein_coding	paired immunoglobin like type 2 receptor alpha [Source:HGNC Symbol;Acc:HGNC:20396]
ENSG00000085552	IGSF9	Q9P2J2	Intracellular or membrane-bound	0.7416275173277337	IGSF9	protein_coding	immunoglobulin superfamily member 9 [Source:HGNC Symbol;Acc:HGNC:18132]
ENSG00000085741	WNT11	O96014	Locally secreted to extracellular matrix	0.2102010202247191	WNT11	protein_coding	Wnt family member 11 [Source:HGNC Symbol;Acc:HGNC:12776]
ENSG00000085832	EPS15	P42566	Intracellular or membrane-bound	39.88901821573034	EPS15	protein_coding	epidermal growth factor receptor pathway substrate 15 [Source:HGNC Symbol;Acc:HGNC:3419]
ENSG00000086062	B4GALT1	P15291	Intracellular or membrane-bound	0.06645945168539326	B4GALT1	protein_coding	beta-1,4-galactosyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:924]
ENSG00000086289	EPDR1	Q9UM22	Intracellular or membrane-bound	12.20662340205281	EPDR1	protein_coding	ependymin related 1 [Source:HGNC Symbol;Acc:HGNC:17572]
ENSG00000086619	ERO1B	Q86YB8	Intracellular or membrane-bound	195.71558462808989	ERO1B	protein_coding	endoplasmic reticulum oxidoreductase 1 beta [Source:HGNC Symbol;Acc:HGNC:14355]
ENSG00000086730	LAT2	Q9GZY6	Intracellular or membrane-bound	3.071573049196554	LAT2	protein_coding	linker for activation of T cells family member 2 [Source:HGNC Symbol;Acc:HGNC:12749]
ENSG00000087116	ADAMTS2	O95450	Locally secreted to extracellular matrix	4.362645628741077	ADAMTS2	protein_coding	ADAM metallopeptidase with thrombospondin type 1 motif 2 [Source:HGNC Symbol;Acc:HGNC:218]
ENSG00000087128	TMPRSS11E	Q9UL52	Intracellular or membrane-bound	0.8738357653932585	TMPRSS11E	protein_coding	transmembrane serine protease 11E [Source:HGNC Symbol;Acc:HGNC:24465]
ENSG00000087237	CETP	P11597	Secreted to blood	0.2887158865168539	CETP	protein_coding	cholesteryl ester transfer protein [Source:HGNC Symbol;Acc:HGNC:1869]
ENSG00000087301	TXNDC16	Q9P2K2	Secreted - unknown location	5.355743876404495	TXNDC16	protein_coding	thioredoxin domain containing 16 [Source:HGNC Symbol;Acc:HGNC:19965]
ENSG00000087303	NID2	Q14112	Locally secreted to extracellular matrix	20.847741616292137	NID2	protein_coding	nidogen 2 [Source:HGNC Symbol;Acc:HGNC:13389]
ENSG00000087460	GNAS	O95467,P63092,P84996,Q5JWF2	Intracellular or membrane-bound	3952.8496786194046	GNAS	protein_coding	GNAS complex locus [Source:HGNC Symbol;Acc:HGNC:4392]
ENSG00000087494	PTHLH	P12272	Locally secreted	2.2495796720090224	PTHLH	protein_coding	parathyroid hormone like hormone [Source:HGNC Symbol;Acc:HGNC:9607]
ENSG00000088053	GP6	Q9HCN6	Intracellular or membrane-bound	0.043229242808988766	GP6	protein_coding	glycoprotein VI platelet [Source:HGNC Symbol;Acc:HGNC:14388]
ENSG00000088298	EDEM2	Q9BV94	Intracellular or membrane-bound	28.150433852611638	EDEM2	protein_coding	ER degradation enhancing alpha-mannosidase like protein 2 [Source:HGNC Symbol;Acc:HGNC:15877]
ENSG00000088782	DEFB127	Q9H1M4	Locally secreted in male tissues	0	DEFB127	protein_coding	defensin beta 127 [Source:HGNC Symbol;Acc:HGNC:16206]
ENSG00000088812	ATRN	O75882	Secreted to blood	36.32320741573034	ATRN	protein_coding	attractin [Source:HGNC Symbol;Acc:HGNC:885]
ENSG00000088827	SIGLEC1	Q9BZZ2	Intracellular or membrane-bound	0.006810140449438202	SIGLEC1	protein_coding	sialic acid binding Ig like lectin 1 [Source:HGNC Symbol;Acc:HGNC:11127]
ENSG00000088882	CPXM1	Q96SM3	Locally secreted	0.8067425842696629	CPXM1	protein_coding	carboxypeptidase X, M14 family member 1 [Source:HGNC Symbol;Acc:HGNC:15771]
ENSG00000089127	OAS1	P00973	Intracellular or membrane-bound	5.765688146067416	OAS1	protein_coding	2'-5'-oligoadenylate synthetase 1 [Source:HGNC Symbol;Acc:HGNC:8086]
ENSG00000089199	CHGB	P05060	Intracellular or membrane-bound	2344.1112202078652	CHGB	protein_coding	chromogranin B [Source:HGNC Symbol;Acc:HGNC:1930]
ENSG00000089248	ERP29	P30040	Intracellular or membrane-bound	138.04926201348314	ERP29	protein_coding	endoplasmic reticulum protein 29 [Source:HGNC Symbol;Acc:HGNC:13799]
ENSG00000089356	FXYD3	Q14802	Intracellular or membrane-bound	68.28477144562919	FXYD3	protein_coding	FXYD domain containing ion transport regulator 3 [Source:HGNC Symbol;Acc:HGNC:4027]
ENSG00000089692	LAG3	P18627	Secreted - unknown location	0.04794151460674157	LAG3	protein_coding	lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]
ENSG00000089902	RCOR1	Q9UKL0	Intracellular or membrane-bound	11.996792000024394	RCOR1	protein_coding	REST corepressor 1 [Source:HGNC Symbol;Acc:HGNC:17441]
ENSG00000090006	LTBP4	Q8N2S1	Locally secreted to extracellular matrix	9.928699283667145	LTBP4	protein_coding	latent transforming growth factor beta binding protein 4 [Source:HGNC Symbol;Acc:HGNC:6717]
ENSG00000090376	IRAK3	Q9Y616	Intracellular or membrane-bound	1.2589430753657191	IRAK3	protein_coding	interleukin 1 receptor associated kinase 3 [Source:HGNC Symbol;Acc:HGNC:17020]
ENSG00000090382	LYZ	P61626	Secreted to blood	294.14166695505617	LYZ	protein_coding	lysozyme [Source:HGNC Symbol;Acc:HGNC:6740]
ENSG00000090512	FETUB	Q9UGM5	Secreted to blood	0.02310579393258427	FETUB	protein_coding	fetuin B [Source:HGNC Symbol;Acc:HGNC:3658]
ENSG00000090520	DNAJB11	Q9UBS4	Intracellular or membrane-bound	0.1257215606741573	DNAJB11	protein_coding	DnaJ heat shock protein family (Hsp40) member B11 [Source:HGNC Symbol;Acc:HGNC:14889]
ENSG00000090530	P3H2	Q8IVL5	Intracellular or membrane-bound	5.360081293370786	P3H2	protein_coding	prolyl 3-hydroxylase 2 [Source:HGNC Symbol;Acc:HGNC:19317]
ENSG00000090534	THPO	P40225	Secreted to blood	0.16771460618426967	THPO	protein_coding	thrombopoietin [Source:HGNC Symbol;Acc:HGNC:11795]
ENSG00000090539	CHRD	Q9H2X0	Locally secreted	0.3286536646476382	CHRD	protein_coding	chordin [Source:HGNC Symbol;Acc:HGNC:1949]
ENSG00000090554	FLT3LG	P49771	Intracellular or membrane-bound	0.7752754531500428	FLT3LG	protein_coding	fms related receptor tyrosine kinase 3 ligand [Source:HGNC Symbol;Acc:HGNC:3766]
ENSG00000090581	GNPTG	Q9UJJ9	Intracellular or membrane-bound	7.519824476013483	GNPTG	protein_coding	N-acetylglucosamine-1-phosphate transferase subunit gamma [Source:HGNC Symbol;Acc:HGNC:23026]
ENSG00000090659	CD209	Q9NNX6	Intracellular or membrane-bound	0.3962603361760127	CD209	protein_coding	CD209 molecule [Source:HGNC Symbol;Acc:HGNC:1641]
ENSG00000091128	LAMB4	A4D0S4	Locally secreted to extracellular matrix	0.4755159852706222	LAMB4	protein_coding	laminin subunit beta 4 [Source:HGNC Symbol;Acc:HGNC:6491]
ENSG00000091129	NRCAM	Q92823	Intracellular or membrane-bound	45.23182080655899	NRCAM	protein_coding	neuronal cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:7994]
ENSG00000091136	LAMB1	P07942	Locally secreted to extracellular matrix	47.37730012247191	LAMB1	protein_coding	laminin subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:6486]
ENSG00000091513	TF	P02787	Secreted to blood	1.9559863549438203	TF	protein_coding	transferrin [Source:HGNC Symbol;Acc:HGNC:11740]
ENSG00000091583	APOH	P02749	Secreted to blood	38.72108949808989	APOH	protein_coding	apolipoprotein H [Source:HGNC Symbol;Acc:HGNC:616]
ENSG00000091704	CPA1	P15085	Locally secreted to GI-tract	2636.272583330558	CPA1	protein_coding	carboxypeptidase A1 [Source:HGNC Symbol;Acc:HGNC:2296]
ENSG00000091879	ANGPT2	O15123	Secreted to blood	13.629110139325842	ANGPT2	protein_coding	angiopoietin 2 [Source:HGNC Symbol;Acc:HGNC:485]
ENSG00000091986	CCDC80	Q76M96	Locally secreted to extracellular matrix	12.161622427207865	CCDC80	protein_coding	coiled-coil domain containing 80 [Source:HGNC Symbol;Acc:HGNC:30649]
ENSG00000092009	CMA1	P23946	Secreted to blood	0.4577311620224719	CMA1	protein_coding	chymase 1 [Source:HGNC Symbol;Acc:HGNC:2097]
ENSG00000092330	TINF2	Q9BSI4	Intracellular or membrane-bound	20.13292020673655	TINF2	protein_coding	TERF1 interacting nuclear factor 2 [Source:HGNC Symbol;Acc:HGNC:11824]
ENSG00000092758	COL9A3	Q14050	Locally secreted to extracellular matrix	0.21970380359550562	COL9A3	protein_coding	collagen type IX alpha 3 chain [Source:HGNC Symbol;Acc:HGNC:2219]
ENSG00000092969	TGFB2	P61812	Secreted to blood	12.385756767592135	TGFB2	protein_coding	transforming growth factor beta 2 [Source:HGNC Symbol;Acc:HGNC:11768]
ENSG00000093072	ADA2	Q9NZK5	Secreted to blood	38.47955101358123	ADA2	protein_coding	adenosine deaminase 2 [Source:HGNC Symbol;Acc:HGNC:1839]
ENSG00000093134	VNN3	Q9NY84	Secreted to blood	0.8372506587223838	VNN3	protein_coding	vanin 3 [Source:HGNC Symbol;Acc:HGNC:16431]
ENSG00000094880	CDC23	Q9UJX2	Intracellular or membrane-bound	21.287074793679597	CDC23	protein_coding	cell division cycle 23 [Source:HGNC Symbol;Acc:HGNC:1724]
ENSG00000095110	NXPE1	Q8N323	Intracellular or membrane-bound	0.011908280834831461	NXPE1	protein_coding	neurexophilin and PC-esterase domain family member 1 [Source:HGNC Symbol;Acc:HGNC:28527]
ENSG00000095539	SEMA4G	Q9NTN9	Intracellular or membrane-bound	7.342300508035749	SEMA4G	protein_coding	semaphorin 4G [Source:HGNC Symbol;Acc:HGNC:10735]
ENSG00000095587	TLL2	Q9Y6L7	Secreted - unknown location	1.0374389276741574	TLL2	protein_coding	tolloid like 2 [Source:HGNC Symbol;Acc:HGNC:11844]
ENSG00000095713	CRTAC1	Q9NQ79	Locally secreted to extracellular matrix	4.29235659387209	CRTAC1	protein_coding	cartilage acidic protein 1 [Source:HGNC Symbol;Acc:HGNC:14882]
ENSG00000095752	IL11	P20809	Secreted to blood	91.42429219101123	IL11	protein_coding	interleukin 11 [Source:HGNC Symbol;Acc:HGNC:5966]
ENSG00000095917	TPSD1	Q9BZJ3	Intracellular or membrane-bound	0.2556850595505618	TPSD1	protein_coding	tryptase delta 1 [Source:HGNC Symbol;Acc:HGNC:14118]
ENSG00000095970	TREM2	Q9NZC2	Intracellular or membrane-bound	1.0373004606741574	TREM2	protein_coding	triggering receptor expressed on myeloid cells 2 [Source:HGNC Symbol;Acc:HGNC:17761]
ENSG00000096006	CRISP3	P54108	Locally secreted	1.6180705600933853	CRISP3	protein_coding	cysteine rich secretory protein 3 [Source:HGNC Symbol;Acc:HGNC:16904]
ENSG00000096088	PGC	P20142	Locally secreted to GI-tract	11.21576453274528	PGC	protein_coding	progastricsin [Source:HGNC Symbol;Acc:HGNC:8890]
ENSG00000096384	HSP90AB1	P08238	Intracellular or membrane-bound	1060.182900955056	HSP90AB1	protein_coding	heat shock protein 90 alpha family class B member 1 [Source:HGNC Symbol;Acc:HGNC:5258]
ENSG00000096395	MLN	P12872	Secreted to blood	0.03720110112359551	MLN	protein_coding	motilin [Source:HGNC Symbol;Acc:HGNC:7141]
ENSG00000096996	IL12RB1	P42701	Intracellular or membrane-bound	0.17919621235955055	IL12RB1	protein_coding	interleukin 12 receptor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:5971]
ENSG00000099139	PCSK5	Q92824	Secreted to blood	4.555940493876637	PCSK5	protein_coding	proprotein convertase subtilisin/kexin type 5 [Source:HGNC Symbol;Acc:HGNC:8747]
ENSG00000099250	NRP1	O14786	Locally secreted	69.38980403365409	NRP1	protein_coding	neuropilin 1 [Source:HGNC Symbol;Acc:HGNC:8004]
ENSG00000099338	CATSPERG	Q6ZRH7	Locally secreted in male tissues	1.569863090403227	CATSPERG	protein_coding	cation channel sperm associated auxiliary subunit gamma [Source:HGNC Symbol;Acc:HGNC:25243]
ENSG00000099617	EFNA2	O43921	Intracellular or membrane-bound	0.07937366292134831	EFNA2	protein_coding	ephrin A2 [Source:HGNC Symbol;Acc:HGNC:3222]
ENSG00000099721	AMELY	Q99218	Locally secreted	0.028543961797752808	AMELY	protein_coding	amelogenin Y-linked [Source:HGNC Symbol;Acc:HGNC:462]
ENSG00000099769	IGFALS	P35858	Secreted to blood	0.05117573820224719	IGFALS	protein_coding	insulin like growth factor binding protein acid labile subunit [Source:HGNC Symbol;Acc:HGNC:5468]
ENSG00000099834	CDHR5	Q9HBB8	Intracellular or membrane-bound	2.1851730507296225	CDHR5	protein_coding	cadherin related family member 5 [Source:HGNC Symbol;Acc:HGNC:7521]
