source	target	ligand	receptor	prob	pval	interaction_name	interaction_name_2	pathway_name	annotation	evidence
Duct	INS/GCG	TGFB2	ACVR1_TGFbR	4.118123863543393e-17	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	INS/GCG	TGFB2	ACVR1_TGFbR	7.919856530555383e-17	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	INS/GCG	TGFB2	ACVR1_TGFbR	8.872165046544421e-16	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	INS/GCG	TGFB2	ACVR1_TGFbR	1.1480507695912962e-17	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	INS/GCG	TGFB2	ACVR1_TGFbR	1.0917234684800954e-18	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	INS/GCG	TGFB2	ACVR1_TGFbR	1.5657948273594367e-18	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Alpha	INS/GCG	TGFB2	ACVR1_TGFbR	1.305566417942097e-17	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	PPY	TGFB2	ACVR1_TGFbR	4.188415810910261e-18	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	PPY	TGFB2	ACVR1_TGFbR	8.055039967686801e-18	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	PPY	TGFB2	ACVR1_TGFbR	9.023603366316135e-17	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	PPY	TGFB2	ACVR1_TGFbR	1.1676467620734524e-18	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Delta	TGFB2	ACVR1_TGFbR	2.2887797169705775e-17	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Delta	TGFB2	ACVR1_TGFbR	4.4017148558662207e-17	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Delta	TGFB2	ACVR1_TGFbR	4.93099092621431e-16	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Delta	TGFB2	ACVR1_TGFbR	6.380661200491651e-18	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	Delta	TGFB2	ACVR1_TGFbR	6.067604117783544e-19	0.03	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Beta	TGFB2	ACVR1_TGFbR	2.561784523602304e-16	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Beta	TGFB2	ACVR1_TGFbR	4.92674979224022e-16	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Beta	TGFB2	ACVR1_TGFbR	5.519157718471505e-15	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Beta	TGFB2	ACVR1_TGFbR	7.14174413228573e-17	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	Beta	TGFB2	ACVR1_TGFbR	6.791345715374196e-18	0.01	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Alpha	TGFB2	ACVR1_TGFbR	2.0891486833221605e-16	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Alpha	TGFB2	ACVR1_TGFbR	4.017790234380493e-16	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Alpha	TGFB2	ACVR1_TGFbR	4.500901997947347e-15	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Alpha	TGFB2	ACVR1_TGFbR	5.824129708461274e-17	0	TGFB2_ACVR1_TGFBR1	TGFB2 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	Immune	TGFB3	ACVR1_TGFbR	5.685658858237059e-19	0.01	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Immune	TGFB3	ACVR1_TGFbR	4.70574688447285e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Immune	TGFB3	ACVR1_TGFbR	8.406429094378684e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Immune	TGFB3	ACVR1_TGFbR	7.115718550305637e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Immune	TGFB3	ACVR1_TGFbR	1.5071055089428874e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	Immune	TGFB3	ACVR1_TGFbR	3.645243596177533e-19	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	Immune	TGFB3	ACVR1_TGFbR	6.529224464881981e-19	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
PPY	Immune	TGFB3	ACVR1_TGFbR	1.1373832624210155e-19	0.04	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Delta	Immune	TGFB3	ACVR1_TGFbR	5.764985534538575e-19	0.04	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Beta	Immune	TGFB3	ACVR1_TGFbR	6.594665158461508e-18	0.04	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Alpha	Immune	TGFB3	ACVR1_TGFbR	5.685342829133068e-18	0.04	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	Duct	TGFB3	ACVR1_TGFbR	2.6576947315768053e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Duct	TGFB3	ACVR1_TGFbR	2.199646340874204e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Duct	TGFB3	ACVR1_TGFbR	3.929486955235237e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Duct	TGFB3	ACVR1_TGFbR	3.326159408052426e-14	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Duct	TGFB3	ACVR1_TGFbR	7.044788424556326e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	Duct	TGFB3	ACVR1_TGFbR	1.7039264828283706e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	Duct	TGFB3	ACVR1_TGFbR	3.0520096077281446e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
PPY	Duct	TGFB3	ACVR1_TGFbR	5.31656502736113e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Delta	Duct	TGFB3	ACVR1_TGFbR	2.6947750585787253e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Beta	Duct	TGFB3	ACVR1_TGFbR	3.082599094521851e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Alpha	Duct	TGFB3	ACVR1_TGFbR	2.6575470074693696e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	Endothelial	TGFB3	ACVR1_TGFbR	4.4248631012668625e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Endothelial	TGFB3	ACVR1_TGFbR	3.662246763661066e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Endothelial	TGFB3	ACVR1_TGFbR	6.542302104184363e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Endothelial	TGFB3	ACVR1_TGFbR	5.5378068286147284e-14	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Endothelial	TGFB3	ACVR1_TGFbR	1.1729046224046458e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	Endothelial	TGFB3	ACVR1_TGFbR	2.8369102484069096e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	Endothelial	TGFB3	ACVR1_TGFbR	5.0813679003500184e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
PPY	Endothelial	TGFB3	ACVR1_TGFbR	8.851683429092926e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Delta	Endothelial	TGFB3	ACVR1_TGFbR	4.4865990744767725e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Beta	Endothelial	TGFB3	ACVR1_TGFbR	5.132297109710912e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Alpha	Endothelial	TGFB3	ACVR1_TGFbR	4.424617151673938e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	Pericytes	TGFB3	ACVR1_TGFbR	2.178513971675244e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Pericytes	TGFB3	ACVR1_TGFbR	1.8030514300136693e-14	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Pericytes	TGFB3	ACVR1_TGFbR	3.221002823063828e-14	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Pericytes	TGFB3	ACVR1_TGFbR	2.7264548693194515e-13	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Pericytes	TGFB3	ACVR1_TGFbR	5.774617313289461e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	Pericytes	TGFB3	ACVR1_TGFbR	1.3967095639126897e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	Pericytes	TGFB3	ACVR1_TGFbR	2.5017341130771785e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
PPY	Pericytes	TGFB3	ACVR1_TGFbR	4.357991554045244e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Delta	Pericytes	TGFB3	ACVR1_TGFbR	2.208908738047878e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Beta	Pericytes	TGFB3	ACVR1_TGFbR	2.5268083338202885e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Alpha	Pericytes	TGFB3	ACVR1_TGFbR	2.178392882138431e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	Acinar	TGFB3	ACVR1_TGFbR	2.0083248407829505e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Acinar	TGFB3	ACVR1_TGFbR	1.6621940566894626e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Acinar	TGFB3	ACVR1_TGFbR	2.9693727311964753e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Acinar	TGFB3	ACVR1_TGFbR	2.5134596853127964e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Acinar	TGFB3	ACVR1_TGFbR	5.323494614710809e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	Acinar	TGFB3	ACVR1_TGFbR	1.2875962922576778e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	Acinar	TGFB3	ACVR1_TGFbR	2.306294487730776e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
PPY	Acinar	TGFB3	ACVR1_TGFbR	4.01753801338524e-19	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Delta	Acinar	TGFB3	ACVR1_TGFbR	2.036345117504589e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Beta	Acinar	TGFB3	ACVR1_TGFbR	2.3294098686902545e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Alpha	Acinar	TGFB3	ACVR1_TGFbR	2.008213210958471e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	INS/SST	TGFB3	ACVR1_TGFbR	1.0030414750173272e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	INS/SST	TGFB3	ACVR1_TGFbR	8.301692756722036e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	INS/SST	TGFB3	ACVR1_TGFbR	1.4830290118893732e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	INS/SST	TGFB3	ACVR1_TGFbR	1.2553269565573479e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	INS/SST	TGFB3	ACVR1_TGFbR	2.6587760018466404e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	INS/SST	TGFB3	ACVR1_TGFbR	6.430794749864338e-19	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	INS/SST	TGFB3	ACVR1_TGFbR	1.1518599869012394e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
PPY	INS/SST	TGFB3	ACVR1_TGFbR	2.006526620122301e-19	0.03	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Delta	INS/SST	TGFB3	ACVR1_TGFbR	1.0170359738764796e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Beta	INS/SST	TGFB3	ACVR1_TGFbR	1.1634047755441617e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Alpha	INS/SST	TGFB3	ACVR1_TGFbR	1.0029857224111516e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	INS/GCG	TGFB3	ACVR1_TGFbR	2.3876482453300508e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	INS/GCG	TGFB3	ACVR1_TGFbR	1.9761418283837854e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	INS/GCG	TGFB3	ACVR1_TGFbR	3.530214558624147e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	INS/GCG	TGFB3	ACVR1_TGFbR	2.9881906977834172e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	INS/GCG	TGFB3	ACVR1_TGFbR	6.328972443961167e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	INS/GCG	TGFB3	ACVR1_TGFbR	1.5307917153003347e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	INS/GCG	TGFB3	ACVR1_TGFbR	2.7418970651668938e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
PPY	INS/GCG	TGFB3	ACVR1_TGFbR	4.77635260661616e-19	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Delta	INS/GCG	TGFB3	ACVR1_TGFbR	2.4209608664704597e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Beta	INS/GCG	TGFB3	ACVR1_TGFbR	2.7693783757931635e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Alpha	INS/GCG	TGFB3	ACVR1_TGFbR	2.3875155313639944e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	PPY	TGFB3	ACVR1_TGFbR	2.428402834155572e-19	0.03	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	PPY	TGFB3	ACVR1_TGFbR	2.0098724450420604e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	PPY	TGFB3	ACVR1_TGFbR	3.590471526163278e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	PPY	TGFB3	ACVR1_TGFbR	3.039195900696483e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	PPY	TGFB3	ACVR1_TGFbR	6.437001199932962e-19	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	Delta	TGFB3	ACVR1_TGFbR	1.3270122648689965e-18	0.02	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Delta	TGFB3	ACVR1_TGFbR	1.0983043455063549e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Delta	TGFB3	ACVR1_TGFbR	1.9620302220319376e-16	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Delta	TGFB3	ACVR1_TGFbR	1.660783037656804e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Delta	TGFB3	ACVR1_TGFbR	3.5175298847226905e-18	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	Delta	TGFB3	ACVR1_TGFbR	8.507867040869254e-19	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	Delta	TGFB3	ACVR1_TGFbR	1.5238974340550797e-18	0.04	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	Beta	TGFB3	ACVR1_TGFbR	1.485297801953362e-17	0.02	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Beta	TGFB3	ACVR1_TGFbR	1.2293096857077334e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Beta	TGFB3	ACVR1_TGFbR	2.196060468542681e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Beta	TGFB3	ACVR1_TGFbR	1.8588806303132267e-14	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Beta	TGFB3	ACVR1_TGFbR	3.937099561472139e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	Beta	TGFB3	ACVR1_TGFbR	9.522682306453335e-18	0.01	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	Beta	TGFB3	ACVR1_TGFbR	1.70566736203288e-17	0.03	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Immune	Alpha	TGFB3	ACVR1_TGFbR	1.2112681291901976e-17	0.03	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Alpha	TGFB3	ACVR1_TGFbR	1.0025084809553617e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Endothelial	Alpha	TGFB3	ACVR1_TGFbR	1.79089880280037e-15	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Pericytes	Alpha	TGFB3	ACVR1_TGFbR	1.515926880458807e-14	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Acinar	Alpha	TGFB3	ACVR1_TGFbR	3.2107252929265725e-17	0	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/SST	Alpha	TGFB3	ACVR1_TGFbR	7.765797247555943e-18	0.02	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
INS/GCG	Alpha	TGFB3	ACVR1_TGFbR	1.39098065850044e-17	0.04	TGFB3_ACVR1_TGFBR1	TGFB3 - (ACVR1+TGFBR1)	TGFb	Secreted Signaling	PMID: 29376829
Duct	Immune	BMP2	BMPR1B_ACVR2A	4.940193611290803e-16	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Endothelial	Immune	BMP2	BMPR1B_ACVR2A	1.4600378795286194e-16	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
Pericytes	Immune	BMP2	BMPR1B_ACVR2A	5.3759603955083165e-15	0	BMP2_BMPR1B_ACVR2A	BMP2 - (BMPR1B+ACVR2A)	BMP	Secreted Signaling	KEGG: hsa04350; PMID:26893264
