yourlist:M20211026A084FC58F6BBA219896F365D15F2EB442507C2G	isomap:M20211026A084FC58F6BBA219896F365D15F2EB442507C2G	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
ENSG00000276191,ENSG00000120088		A0A0A0MQZ1	A0A0A0MQZ1_HUMAN	unreviewed	Corticotropin-releasing factor receptor 1	CRHR1	Homo sapiens (Human)	430
ENSG00000276191,ENSG00000120088		B3TIK8	B3TIK8_HUMAN	unreviewed	CRF1 receptor isoform I variant B (Corticotropin-releasing factor receptor 1)	CRHR1	Homo sapiens (Human)	314
ENSG00000276191,ENSG00000120088		H0YFR5	H0YFR5_HUMAN	unreviewed	Corticotropin-releasing factor receptor 1 (Fragment)	CRHR1	Homo sapiens (Human)	52
ENSG00000276191,ENSG00000120088		J3KSM0	J3KSM0_HUMAN	unreviewed	Corticotropin-releasing factor receptor 1 (Fragment)	CRHR1	Homo sapiens (Human)	152
ENSG00000276191,ENSG00000120088		J3QKP8	J3QKP8_HUMAN	unreviewed	Corticotropin-releasing factor receptor 1 (Fragment)	CRHR1	Homo sapiens (Human)	75
ENSG00000276191,ENSG00000120088		J3QQR1	J3QQR1_HUMAN	unreviewed	Corticotropin-releasing factor receptor 1 (Fragment)	CRHR1	Homo sapiens (Human)	93
ENSG00000276191,ENSG00000120088		J9JIC6	J9JIC6_HUMAN	unreviewed	Corticotropin-releasing factor receptor 1	CRHR1	Homo sapiens (Human)	145
ENSG00000276191,ENSG00000120088		K9J956	K9J956_HUMAN	unreviewed	CRH receptor 1 variant B (Corticotropin-releasing factor receptor 1)	CRHR1	Homo sapiens (Human)	154
ENSG00000106113	ENSG00000106113 -> Q13324-1;Q13324-2;Q13324-3;Q13324-4	Q13324	CRFR2_HUMAN	reviewed	Corticotropin-releasing factor receptor 2 (CRF-R-2) (CRF-R2) (CRFR-2) (Corticotropin-releasing hormone receptor 2) (CRH-R-2) (CRH-R2)	CRHR2 CRF2R CRH2R	Homo sapiens (Human)	411
ENSG00000106113		C9JZM9	C9JZM9_HUMAN	unreviewed	Corticotropin-releasing factor receptor 2 (Fragment)	CRHR2	Homo sapiens (Human)	99
ENSG00000106113		F2Z2M6	F2Z2M6_HUMAN	unreviewed	Corticotropin-releasing factor receptor 2	CRHR2	Homo sapiens (Human)	64
ENSG00000006016		O75462	CRLF1_HUMAN	reviewed	Cytokine receptor-like factor 1 (Cytokine-like factor 1) (CLF-1) (ZcytoR5)	CRLF1 UNQ288/PRO327	Homo sapiens (Human)	422
ENSG00000006016		M0QZL6	M0QZL6_HUMAN	unreviewed	Cytokine receptor-like factor 1 (Fragment)	CRLF1	Homo sapiens (Human)	173
ENSG00000182578	ENSG00000182578 -> P07333-1;P07333-2	P07333	CSF1R_HUMAN	reviewed	Macrophage colony-stimulating factor 1 receptor (CSF-1 receptor) (CSF-1-R) (CSF-1R) (M-CSF-R) (EC 2.7.10.1) (Proto-oncogene c-Fms) (CD antigen CD115)	CSF1R FMS	Homo sapiens (Human)	972
ENSG00000182578		D6RGW1	D6RGW1_HUMAN	unreviewed	Macrophage colony-stimulating factor 1 receptor (Fragment)	CSF1R	Homo sapiens (Human)	49
ENSG00000182578		E9PEK4	E9PEK4_HUMAN	unreviewed	Macrophage colony-stimulating factor 1 receptor	CSF1R	Homo sapiens (Human)	671
ENSG00000182578		H0YAL5	H0YAL5_HUMAN	unreviewed	Macrophage colony-stimulating factor 1 receptor (Fragment)	CSF1R	Homo sapiens (Human)	64
ENSG00000198223	ENSG00000198223 -> P15509-1;P15509-2;P15509-3;P15509-5;P15509-6;P15509-7;P15509-8	P15509	CSF2R_HUMAN	reviewed	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (GM-CSF-R-alpha) (GMCSFR-alpha) (GMR-alpha) (CDw116) (CD antigen CD116)	CSF2RA CSF2R CSF2RY	Homo sapiens (Human)	400
ENSG00000198223		F2Z3C9	F2Z3C9_HUMAN	unreviewed	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2RA	Homo sapiens (Human)	285
ENSG00000198223		J3JS74	J3JS74_HUMAN	unreviewed	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha (Fragment)	CSF2RA	Homo sapiens (Human)	238
ENSG00000198223		V9GYE9	V9GYE9_HUMAN	unreviewed	Granulocyte-macrophage colony-stimulating factor receptor subunit alpha	CSF2RA	Homo sapiens (Human)	90
ENSG00000100368	ENSG00000100368 -> P32927-1;P32927-2	P32927	IL3RB_HUMAN	reviewed	Cytokine receptor common subunit beta (CDw131) (GM-CSF/IL-3/IL-5 receptor common beta subunit) (CD antigen CD131)	CSF2RB IL3RB IL5RB	Homo sapiens (Human)	897
ENSG00000100368		B0QY07	B0QY07_HUMAN	unreviewed	Cytokine receptor common subunit beta (Fragment)	CSF2RB	Homo sapiens (Human)	228
ENSG00000100368		Q6NSJ8	Q6NSJ8_HUMAN	unreviewed	CSF2RB protein (Cytokine receptor common subunit beta)	CSF2RB	Homo sapiens (Human)	889
ENSG00000119535	ENSG00000119535 -> Q99062-1;Q99062-3;Q99062-4	Q99062	CSF3R_HUMAN	reviewed	Granulocyte colony-stimulating factor receptor (G-CSF receptor) (G-CSF-R) (CD antigen CD114)	CSF3R GCSFR	Homo sapiens (Human)	836
ENSG00000119535		E9PK56	E9PK56_HUMAN	unreviewed	Granulocyte colony-stimulating factor receptor (Fragment)	CSF3R	Homo sapiens (Human)	21
ENSG00000119535		H0YE86	H0YE86_HUMAN	unreviewed	Granulocyte colony-stimulating factor receptor (Fragment)	CSF3R	Homo sapiens (Human)	388
ENSG00000173546		Q6UVK1	CSPG4_HUMAN	reviewed	Chondroitin sulfate proteoglycan 4 (Chondroitin sulfate proteoglycan NG2) (Melanoma chondroitin sulfate proteoglycan) (Melanoma-associated chondroitin sulfate proteoglycan)	CSPG4 MCSP	Homo sapiens (Human)	2322
ENSG00000168329	ENSG00000168329 -> P49238-1;P49238-4	P49238	CX3C1_HUMAN	reviewed	CX3C chemokine receptor 1 (C-X3-C CKR-1) (CX3CR1) (Beta chemokine receptor-like 1) (CMK-BRL-1) (CMK-BRL1) (Fractalkine receptor) (G-protein coupled receptor 13) (V28)	CX3CR1 CMKBRL1 GPR13	Homo sapiens (Human)	355
ENSG00000168329		C9JLM2	C9JLM2_HUMAN	unreviewed	CX3C chemokine receptor 1 (Fractalkine receptor) (Fragment)	CX3CR1	Homo sapiens (Human)	106
ENSG00000168329		C9JN40	C9JN40_HUMAN	unreviewed	CX3C chemokine receptor 1 (Fractalkine receptor) (Fragment)	CX3CR1	Homo sapiens (Human)	166
ENSG00000163464		P25024	CXCR1_HUMAN	reviewed	C-X-C chemokine receptor type 1 (CXC-R1) (CXCR-1) (CDw128a) (High affinity interleukin-8 receptor A) (IL-8R A) (IL-8 receptor type 1) (CD antigen CD181)	CXCR1 CMKAR1 IL8RA	Homo sapiens (Human)	350
ENSG00000180871		P25025	CXCR2_HUMAN	reviewed	C-X-C chemokine receptor type 2 (CXC-R2) (CXCR-2) (CDw128b) (GRO/MGSA receptor) (High affinity interleukin-8 receptor B) (IL-8R B) (IL-8 receptor type 2) (CD antigen CD182)	CXCR2 IL8RB	Homo sapiens (Human)	360
ENSG00000180871		C9J1J7	C9J1J7_HUMAN	unreviewed	C-X-C chemokine receptor type 2 (High affinity interleukin-8 receptor B) (Fragment)	CXCR2	Homo sapiens (Human)	172
ENSG00000180871		C9J2F9	C9J2F9_HUMAN	unreviewed	C-X-C chemokine receptor type 2 (High affinity interleukin-8 receptor B) (Fragment)	CXCR2	Homo sapiens (Human)	138
ENSG00000180871		C9JG19	C9JG19_HUMAN	unreviewed	C-X-C chemokine receptor type 2 (High affinity interleukin-8 receptor B) (Fragment)	CXCR2	Homo sapiens (Human)	135
ENSG00000180871		C9JW47	C9JW47_HUMAN	unreviewed	C-X-C chemokine receptor type 2 (High affinity interleukin-8 receptor B) (Fragment)	CXCR2	Homo sapiens (Human)	200
ENSG00000180871		Q6LCZ7	Q6LCZ7_HUMAN	unreviewed	C-X-C chemokine receptor type 2 (Interleukin-8 receptor type B) (Fragment)	CXCR2 IL8RB	Homo sapiens (Human)	15
ENSG00000186810	ENSG00000186810 -> P49682-1;P49682-2	P49682	CXCR3_HUMAN	reviewed	C-X-C chemokine receptor type 3 (CXC-R3) (CXCR-3) (CKR-L2) (G protein-coupled receptor 9) (Interferon-inducible protein 10 receptor) (IP-10 receptor) (CD antigen CD183)	CXCR3 GPR9	Homo sapiens (Human)	368
ENSG00000121966	ENSG00000121966 -> P61073-1;P61073-2	P61073	CXCR4_HUMAN	reviewed	C-X-C chemokine receptor type 4 (CXC-R4) (CXCR-4) (FB22) (Fusin) (HM89) (LCR1) (Leukocyte-derived seven transmembrane domain receptor) (LESTR) (Lipopolysaccharide-associated protein 3) (LAP-3) (LPS-associated protein 3) (NPYRL) (Stromal cell-derived factor 1 receptor) (SDF-1 receptor) (CD antigen CD184)	CXCR4	Homo sapiens (Human)	352
ENSG00000160683	ENSG00000160683 -> P32302-1	P32302	CXCR5_HUMAN	reviewed	C-X-C chemokine receptor type 5 (CXC-R5) (CXCR-5) (Burkitt lymphoma receptor 1) (Monocyte-derived receptor 15) (MDR-15) (CD antigen CD185)	CXCR5 BLR1 MDR15	Homo sapiens (Human)	372
ENSG00000172215		O00574	CXCR6_HUMAN	reviewed	C-X-C chemokine receptor type 6 (CXC-R6) (CXCR-6) (CDw186) (G-protein coupled receptor STRL33) (G-protein coupled receptor bonzo) (CD antigen CD186)	CXCR6 BONZO STRL33 TYMSTR	Homo sapiens (Human)	342
ENSG00000057019	ENSG00000057019 -> Q96PD2-1;Q96PD2-2	Q96PD2	DCBD2_HUMAN	reviewed	Discoidin, CUB and LCCL domain-containing protein 2 (CUB, LCCL and coagulation factor V/VIII-homology domains protein 1) (Endothelial and smooth muscle cell-derived neuropilin-like protein)	DCBLD2 CLCP1 ESDN	Homo sapiens (Human)	775
ENSG00000057019		C9JIW6	C9JIW6_HUMAN	unreviewed	Discoidin, CUB and LCCL domain-containing protein 2 (Fragment)	DCBLD2	Homo sapiens (Human)	108
ENSG00000187323		P43146	DCC_HUMAN	reviewed	Netrin receptor DCC (Colorectal cancer suppressor) (Immunoglobulin superfamily DCC subclass member 1) (Tumor suppressor protein DCC)	DCC IGDCC1	Homo sapiens (Human)	1447
ENSG00000187323		E7EQM8	E7EQM8_HUMAN	unreviewed	Netrin receptor DCC	DCC	Homo sapiens (Human)	1424
ENSG00000187323		H0Y2Q5	H0Y2Q5_HUMAN	unreviewed	Netrin receptor DCC (Fragment)	DCC	Homo sapiens (Human)	772
ENSG00000187323		J3QKL2	J3QKL2_HUMAN	unreviewed	Netrin receptor DCC (Fragment)	DCC	Homo sapiens (Human)	88
ENSG00000187323		J3QLB0	J3QLB0_HUMAN	unreviewed	Netrin receptor DCC (Fragment)	DCC	Homo sapiens (Human)	70
ENSG00000187323		J3QLT8	J3QLT8_HUMAN	unreviewed	Netrin receptor DCC (Fragment)	DCC	Homo sapiens (Human)	181
ENSG00000187323		J3QQJ6	J3QQJ6_HUMAN	unreviewed	Netrin receptor DCC (Fragment)	DCC	Homo sapiens (Human)	102
ENSG00000187323		J3QRL3	J3QRL3_HUMAN	unreviewed	Netrin receptor DCC (Fragment)	DCC	Homo sapiens (Human)	74
ENSG00000187323		J3QRM6	J3QRM6_HUMAN	unreviewed	Netrin receptor DCC (Fragment)	DCC	Homo sapiens (Human)	208
ENSG00000187323		J3QS93	J3QS93_HUMAN	unreviewed	Netrin receptor DCC	DCC	Homo sapiens (Human)	1076
ENSG00000166341		Q96JQ0	PCD16_HUMAN	reviewed	Protocadherin-16 (Cadherin-19) (Cadherin-25) (Fibroblast cadherin-1) (Protein dachsous homolog 1)	DCHS1 CDH19 CDH25 FIB1 KIAA1773 PCDH16	Homo sapiens (Human)	3298
ENSG00000223680		A0A0G2JIZ7	A0A0G2JIZ7_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1) (Fragment)	DDR1	Homo sapiens (Human)	250
ENSG00000223680		A0A140T9T5	A0A140T9T5_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	46
ENSG00000223680,ENSG00000234078,ENSG00000215522,ENSG00000137332		A0A0G2JIA2	A0A0G2JIA2_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	166
ENSG00000137332		A0A0G2JNZ7	A0A0G2JNZ7_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	DDR1	Homo sapiens (Human)	767
ENSG00000137332		A0A140T972	A0A140T972_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	493
ENSG00000223680,ENSG00000229767,ENSG00000234078,ENSG00000215522,ENSG00000137332,ENSG00000230456		A0A0G2JHK4	A0A0G2JHK4_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	139
ENSG00000234078,ENSG00000215522,ENSG00000137332,ENSG00000230456		A0A0G2JI85	A0A0G2JI85_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	378
ENSG00000223680,ENSG00000229767,ENSG00000234078,ENSG00000215522,ENSG00000137332,ENSG00000230456		A0A0G2JJA0	A0A0G2JJA0_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	63
ENSG00000234078,ENSG00000215522,ENSG00000137332,ENSG00000230456,ENSG00000204580	ENSG00000215522 -> Q08345-1;Q08345-2;Q08345-4;Q08345-6,ENSG00000230456 -> Q08345-1;Q08345-2;Q08345-4;Q08345-6,ENSG00000137332 -> Q08345-1;Q08345-2;Q08345-4;Q08345-6,ENSG00000234078 -> Q08345-1;Q08345-2;Q08345-4;Q08345-6,ENSG00000204580 -> Q08345-1;Q08345-2;Q08345-4;Q08345-5;Q08345-6	Q08345	DDR1_HUMAN	reviewed	Epithelial discoidin domain-containing receptor 1 (Epithelial discoidin domain receptor 1) (EC 2.7.10.1) (CD167 antigen-like family member A) (Cell adhesion kinase) (Discoidin receptor tyrosine kinase) (HGK2) (Mammary carcinoma kinase 10) (MCK-10) (Protein-tyrosine kinase 3A) (Protein-tyrosine kinase RTK-6) (TRK E) (Tyrosine kinase DDR) (Tyrosine-protein kinase CAK) (CD antigen CD167a)	DDR1 CAK EDDR1 NEP NTRK4 PTK3A RTK6 TRKE	Homo sapiens (Human)	913
ENSG00000234078,ENSG00000215522,ENSG00000230456,ENSG00000204580		A0A0A0MSX3	A0A0A0MSX3_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	DDR1	Homo sapiens (Human)	767
ENSG00000223680,ENSG00000234078,ENSG00000215522,ENSG00000137332,ENSG00000230456,ENSG00000204580		A2ABL0	A2ABL0_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	147
ENSG00000223680,ENSG00000234078,ENSG00000215522,ENSG00000137332,ENSG00000230456,ENSG00000204580		A2ABL2	A2ABL2_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	209
ENSG00000234078,ENSG00000215522,ENSG00000230456,ENSG00000204580		A2ABM8	A2ABM8_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	493
ENSG00000204580		D6R9C4	D6R9C4_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	41
ENSG00000204580		D6RAJ3	D6RAJ3_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1	DDR1	Homo sapiens (Human)	35
ENSG00000204580		D6RB35	D6RB35_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	51
ENSG00000204580		D6RB82	D6RB82_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	55
ENSG00000204580		D6RBU7	D6RBU7_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	58
ENSG00000204580		D6RGW5	D6RGW5_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1) (Fragment)	DDR1	Homo sapiens (Human)	69
ENSG00000204580		E7EN94	E7EN94_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	100
ENSG00000204580		E7ENJ2	E7ENJ2_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	85
ENSG00000204580		E7EPH4	E7EPH4_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1) (Fragment)	DDR1	Homo sapiens (Human)	286
ENSG00000204580		E7EPN2	E7EPN2_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	170
ENSG00000204580		E7EQ23	E7EQ23_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	70
ENSG00000204580		E7EQ30	E7EQ30_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1) (Fragment)	DDR1	Homo sapiens (Human)	267
ENSG00000204580		E7ERI6	E7ERI6_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	153
ENSG00000204580		E7ERN0	E7ERN0_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	138
ENSG00000204580		E7ES06	E7ES06_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	114
ENSG00000204580		E7ESR9	E7ESR9_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	142
ENSG00000204580		E7ETI3	E7ETI3_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	160
ENSG00000204580		E7ETX3	E7ETX3_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	122
ENSG00000204580		E7EUD5	E7EUD5_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	126
ENSG00000204580		E7EUP7	E7EUP7_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	196
ENSG00000204580		E7EVT1	E7EVT1_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	112
ENSG00000204580		E7EVW6	E7EVW6_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	132
ENSG00000204580		E7EX99	E7EX99_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	73
ENSG00000204580		E7EXB0	E7EXB0_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	78
ENSG00000204580		H0Y717	H0Y717_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	196
ENSG00000204580		H0Y9F4	H0Y9F4_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	277
ENSG00000204580		H0YAH6	H0YAH6_HUMAN	unreviewed	Epithelial discoidin domain-containing receptor 1 (Fragment)	DDR1	Homo sapiens (Human)	172
ENSG00000162733		Q16832	DDR2_HUMAN	reviewed	Discoidin domain-containing receptor 2 (Discoidin domain receptor 2) (EC 2.7.10.1) (CD167 antigen-like family member B) (Discoidin domain-containing receptor tyrosine kinase 2) (Neurotrophic tyrosine kinase, receptor-related 3) (Receptor protein-tyrosine kinase TKT) (Tyrosine-protein kinase TYRO10) (CD antigen CD167b)	DDR2 NTRKR3 TKT TYRO10	Homo sapiens (Human)	855
ENSG00000162733		A0A5F9ZI27	A0A5F9ZI27_HUMAN	unreviewed	Discoidin domain-containing receptor 2 (Fragment)	DDR2	Homo sapiens (Human)	51
ENSG00000162733		Q5T244	Q5T244_HUMAN	unreviewed	Discoidin domain-containing receptor 2 (Fragment)	DDR2	Homo sapiens (Human)	148
ENSG00000197635		P27487	DPP4_HUMAN	reviewed	Dipeptidyl peptidase 4 (EC 3.4.14.5) (ADABP) (Adenosine deaminase complexing protein 2) (ADCP-2) (Dipeptidyl peptidase IV) (DPP IV) (T-cell activation antigen CD26) (TP103) (CD antigen CD26) [Cleaved into: Dipeptidyl peptidase 4 membrane form (Dipeptidyl peptidase IV membrane form); Dipeptidyl peptidase 4 soluble form (Dipeptidyl peptidase IV soluble form)]	DPP4 ADCP2 CD26	Homo sapiens (Human)	766
ENSG00000197635		A0A7I2V2I2	A0A7I2V2I2_HUMAN	unreviewed	Dipeptidyl-peptidase IV (EC 3.4.14.5)	DPP4	Homo sapiens (Human)	296
ENSG00000197635		A0A7I2V2R5	A0A7I2V2R5_HUMAN	unreviewed	Dipeptidyl peptidase 4	DPP4	Homo sapiens (Human)	734
ENSG00000197635		A0A7I2V2X8	A0A7I2V2X8_HUMAN	unreviewed	Dipeptidyl peptidase 4	DPP4	Homo sapiens (Human)	765
ENSG00000197635		A0A7I2V3F5	A0A7I2V3F5_HUMAN	unreviewed	Dipeptidyl-peptidase IV (EC 3.4.14.5)	DPP4	Homo sapiens (Human)	117
ENSG00000197635		A0A7I2V501	A0A7I2V501_HUMAN	unreviewed	Dipeptidyl peptidase 4	DPP4	Homo sapiens (Human)	78
ENSG00000197635		A0A7I2V5R8	A0A7I2V5R8_HUMAN	unreviewed	Dipeptidyl peptidase 4 (Dipeptidyl-peptidase 4 (CD26, adenosine deaminase complexing protein 2), isoform CRA_b)	DPP4 hCG_39008	Homo sapiens (Human)	474
ENSG00000197635		F8WBB6	F8WBB6_HUMAN	unreviewed	Dipeptidyl-peptidase IV (EC 3.4.14.5)	DPP4	Homo sapiens (Human)	118
ENSG00000197635		F8WE17	F8WE17_HUMAN	unreviewed	Dipeptidyl-peptidase IV (EC 3.4.14.5)	DPP4	Homo sapiens (Human)	170
ENSG00000149295	ENSG00000149295 -> P14416-1;P14416-2;P14416-3	P14416	DRD2_HUMAN	reviewed	D(2) dopamine receptor (Dopamine D2 receptor)	DRD2	Homo sapiens (Human)	443
ENSG00000149295		A0A1Y8EK52	A0A1Y8EK52_HUMAN	unreviewed	D(2) dopamine receptor (Fragment)	DRD2	Homo sapiens (Human)	7
ENSG00000149295		F8VUV1	F8VUV1_HUMAN	unreviewed	D(2) dopamine receptor (Dopamine D2 receptor)	DRD2	Homo sapiens (Human)	442
ENSG00000149295		Q6LDH7	Q6LDH7_HUMAN	unreviewed	D(2) dopamine receptor (Dopamine D2 receptor) (Fragment)	DRD2	Homo sapiens (Human)	177
ENSG00000276825,ENSG00000069696		P21917	DRD4_HUMAN	reviewed	D(4) dopamine receptor (D(2C) dopamine receptor) (Dopamine D4 receptor)	DRD4	Homo sapiens (Human)	419
ENSG00000135636	ENSG00000135636 -> O75923-1;O75923-10;O75923-11;O75923-12;O75923-13;O75923-14;O75923-2;O75923-4;O75923-5;O75923-7;O75923-8	O75923	DYSF_HUMAN	reviewed	Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1)	DYSF FER1L1	Homo sapiens (Human)	2080
ENSG00000131080	ENSG00000131080 -> Q9HAV5-1;Q9HAV5-2	Q9HAV5	TNR27_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member 27 (X-linked ectodysplasin-A2 receptor) (EDA-A2 receptor)	EDA2R TNFRSF27 XEDAR UNQ2448/PRO5727/PRO34080	Homo sapiens (Human)	297
ENSG00000135960	ENSG00000135960 -> Q9UNE0-1;Q9UNE0-2	Q9UNE0	EDAR_HUMAN	reviewed	Tumor necrosis factor receptor superfamily member EDAR (Anhidrotic ectodysplasin receptor 1) (Downless homolog) (EDA-A1 receptor) (Ectodermal dysplasia receptor) (Ectodysplasin-A receptor)	EDAR DL	Homo sapiens (Human)	448
ENSG00000151617	ENSG00000151617 -> P25101-1;P25101-3;P25101-4;P25101-5	P25101	EDNRA_HUMAN	reviewed	Endothelin-1 receptor (Endothelin receptor type A) (ET-A) (ETA-R) (hET-AR)	EDNRA ETA ETRA	Homo sapiens (Human)	427
ENSG00000136160	ENSG00000136160 -> P24530-1;P24530-2;P24530-3	P24530	EDNRB_HUMAN	reviewed	Endothelin receptor type B (ET-B) (ET-BR) (Endothelin receptor non-selective type)	EDNRB ETRB	Homo sapiens (Human)	442
ENSG00000136160		A0A2R8Y748	A0A2R8Y748_HUMAN	unreviewed	Endothelin receptor non-selective type (Endothelin receptor type B)	EDNRB	Homo sapiens (Human)	409
ENSG00000136160		A0A2R8YGF7	A0A2R8YGF7_HUMAN	unreviewed	Endothelin receptor type B (Fragment)	EDNRB	Homo sapiens (Human)	162
ENSG00000146648	ENSG00000146648 -> P00533-1;P00533-2;P00533-3;P00533-4	P00533	EGFR_HUMAN	reviewed	Epidermal growth factor receptor (EC 2.7.10.1) (Proto-oncogene c-ErbB-1) (Receptor tyrosine-protein kinase erbB-1)	EGFR ERBB ERBB1 HER1	Homo sapiens (Human)	1210
ENSG00000146648		C9JYS6	C9JYS6_HUMAN	unreviewed	Epidermal growth factor receptor (Fragment)	EGFR	Homo sapiens (Human)	128
ENSG00000146648		E9PFD7	E9PFD7_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EGFR	Homo sapiens (Human)	1165
ENSG00000146648		Q504U8	Q504U8_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EGFR	Homo sapiens (Human)	1091
ENSG00000106991	ENSG00000106991 -> P17813-1;P17813-2	P17813	EGLN_HUMAN	reviewed	Endoglin (CD antigen CD105)	ENG END	Homo sapiens (Human)	658
ENSG00000106991		F5GX88	F5GX88_HUMAN	unreviewed	Endoglin	ENG	Homo sapiens (Human)	476
ENSG00000284816,ENSG00000146904	ENSG00000146904 -> P21709-1,ENSG00000284816 -> P21709-1	P21709	EPHA1_HUMAN	reviewed	Ephrin type-A receptor 1 (hEpha1) (EC 2.7.10.1) (EPH tyrosine kinase) (EPH tyrosine kinase 1) (Erythropoietin-producing hepatoma receptor) (Tyrosine-protein kinase receptor EPH)	EPHA1 EPH EPHT EPHT1	Homo sapiens (Human)	976
ENSG00000142627	ENSG00000142627 -> P29317-1	P29317	EPHA2_HUMAN	reviewed	Ephrin type-A receptor 2 (EC 2.7.10.1) (Epithelial cell kinase) (Tyrosine-protein kinase receptor ECK)	EPHA2 ECK	Homo sapiens (Human)	976
ENSG00000044524	ENSG00000044524 -> P29320-1;P29320-2	P29320	EPHA3_HUMAN	reviewed	Ephrin type-A receptor 3 (EC 2.7.10.1) (EPH-like kinase 4) (EK4) (hEK4) (HEK) (Human embryo kinase) (Tyrosine-protein kinase TYRO4) (Tyrosine-protein kinase receptor ETK1) (Eph-like tyrosine kinase 1)	EPHA3 ETK ETK1 HEK TYRO4	Homo sapiens (Human)	983
ENSG00000044524		C9JXA2	C9JXA2_HUMAN	unreviewed	Receptor protein-tyrosine kinase (EC 2.7.10.1)	EPHA3	Homo sapiens (Human)	918
