ApprovedSymbol	Type	uniprot_gn_id	ensembl_gene_id	hgnc_symbol	gene_biotype	description	mean_tpm
EDNRA	receptor	P25101	ENSG00000151617	EDNRA	protein_coding	endothelin receptor type A [Source:HGNC Symbol;Acc:HGNC:3179]	15.27649208686717
EDNRB	receptor	P24530	ENSG00000136160	EDNRB	protein_coding	endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]	33.19116101454606
EGFR	receptor	P00533	ENSG00000146648	EGFR	protein_coding	epidermal growth factor receptor [Source:HGNC Symbol;Acc:HGNC:3236]	13.699011752468572
ELTD1	receptor	Q9HBW9	ENSG00000162618	ADGRL4	protein_coding	adhesion G protein-coupled receptor L4 [Source:HGNC Symbol;Acc:HGNC:20822]	15.486093844076825
EMR2	receptor	Q9UHX3	ENSG00000127507	ADGRE2	protein_coding	adhesion G protein-coupled receptor E2 [Source:HGNC Symbol;Acc:HGNC:3337]	0.7917347364494122
ENG	receptor	P17813	ENSG00000106991	ENG	protein_coding	endoglin [Source:HGNC Symbol;Acc:HGNC:3349]	25.782152774411475
EPHA1	receptor	P21709	ENSG00000284816	EPHA1	protein_coding	EPH receptor A1 [Source:HGNC Symbol;Acc:HGNC:3385]	3.775428999365955
EPHA1	receptor	P21709	ENSG00000146904	EPHA1	protein_coding	EPH receptor A1 [Source:HGNC Symbol;Acc:HGNC:3385]	3.775428999365955
EPHA2	receptor	P29317	ENSG00000142627	EPHA2	protein_coding	EPH receptor A2 [Source:HGNC Symbol;Acc:HGNC:3386]	7.324790648318764
EPHA3	receptor	P29320	ENSG00000044524	EPHA3	protein_coding	EPH receptor A3 [Source:HGNC Symbol;Acc:HGNC:3387]	1.4403093801826197
EPHA4	receptor	P54764	ENSG00000116106	EPHA4	protein_coding	EPH receptor A4 [Source:HGNC Symbol;Acc:HGNC:3388]	1.9801103411377947
EPHA5	receptor	P54756	ENSG00000145242	EPHA5	protein_coding	EPH receptor A5 [Source:HGNC Symbol;Acc:HGNC:3389]	0.15003040678130858
EPHA6	receptor	Q9UF33	NA	NA	NA	NA	NA
EPHA7	receptor	Q15375	ENSG00000135333	EPHA7	protein_coding	EPH receptor A7 [Source:HGNC Symbol;Acc:HGNC:3390]	0.08397541169966292
EPHA8	receptor	P29322	ENSG00000070886	EPHA8	protein_coding	EPH receptor A8 [Source:HGNC Symbol;Acc:HGNC:3391]	0.2338762988764045
EPHB1	receptor	P54762	ENSG00000154928	EPHB1	protein_coding	EPH receptor B1 [Source:HGNC Symbol;Acc:HGNC:3392]	0.4662368745923228
EPHB2	receptor	P29323	ENSG00000133216	EPHB2	protein_coding	EPH receptor B2 [Source:HGNC Symbol;Acc:HGNC:3393]	9.51504243807528
EPHB3	receptor	P54753	ENSG00000182580	EPHB3	protein_coding	EPH receptor B3 [Source:HGNC Symbol;Acc:HGNC:3394]	1.628350416944674
EPHB4	receptor	P54760	ENSG00000196411	EPHB4	protein_coding	EPH receptor B4 [Source:HGNC Symbol;Acc:HGNC:3395]	10.776494316584078
EPHB6	receptor	O15197	NA	NA	NA	NA	NA
EPOR	receptor	P19235	ENSG00000187266	EPOR	protein_coding	erythropoietin receptor [Source:HGNC Symbol;Acc:HGNC:3416]	2.883126283736191
ERBB2	receptor	P04626	ENSG00000141736	ERBB2	protein_coding	erb-b2 receptor tyrosine kinase 2 [Source:HGNC Symbol;Acc:HGNC:3430]	22.33955033913363
ERBB3	receptor	P21860	ENSG00000065361	ERBB3	protein_coding	erb-b2 receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3431]	30.864108692342153
ERBB4	receptor	Q15303	ENSG00000178568	ERBB4	protein_coding	erb-b2 receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3432]	0.5368817877744887
ESAM	receptor	Q96AP7	ENSG00000149564	ESAM	protein_coding	endothelial cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:17474]	14.543003974518736
F11R	receptor	Q9Y624	ENSG00000158769	F11R	protein_coding	F11 receptor [Source:HGNC Symbol;Acc:HGNC:14685]	102.48827765841123
F2R	receptor	P25116	ENSG00000181104	F2R	protein_coding	coagulation factor II thrombin receptor [Source:HGNC Symbol;Acc:HGNC:3537]	19.771419213483146
F2RL1	receptor	P55085	NA	NA	NA	NA	NA
F2RL2	receptor	O00254	ENSG00000164220	F2RL2	protein_coding	coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539]	5.284626514654342
F2RL3	receptor	Q96RI0	ENSG00000127533	F2RL3	protein_coding	F2R like thrombin or trypsin receptor 3 [Source:HGNC Symbol;Acc:HGNC:3540]	5.059969775280899
F3	receptor	P13726	ENSG00000117525	F3	protein_coding	coagulation factor III, tissue factor [Source:HGNC Symbol;Acc:HGNC:3541]	75.44087231842697
FAP	receptor	Q12884	ENSG00000078098	FAP	protein_coding	fibroblast activation protein alpha [Source:HGNC Symbol;Acc:HGNC:3590]	75.17253239813367
FAS	receptor	P25445	ENSG00000026103	FAS	protein_coding	Fas cell surface death receptor [Source:HGNC Symbol;Acc:HGNC:11920]	10.557460356529301
FCER1A	receptor	P12319	ENSG00000179639	FCER1A	protein_coding	Fc fragment of IgE receptor Ia [Source:HGNC Symbol;Acc:HGNC:3609]	0.10620446966292135
FCGR1A	receptor	P12314	ENSG00000150337	FCGR1A	protein_coding	Fc fragment of IgG receptor Ia [Source:HGNC Symbol;Acc:HGNC:3613]	0.4769571214719101
FGFR1	receptor	P11362	ENSG00000077782	FGFR1	protein_coding	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	82.23597090652943
FGFR2	receptor	P21802	ENSG00000066468	FGFR2	protein_coding	fibroblast growth factor receptor 2 [Source:HGNC Symbol;Acc:HGNC:3689]	6.892304516624051
FGFR3	receptor	P22607	ENSG00000068078	FGFR3	protein_coding	fibroblast growth factor receptor 3 [Source:HGNC Symbol;Acc:HGNC:3690]	0.5149291002505236
FGFR4	receptor	P22455	ENSG00000160867	FGFR4	protein_coding	fibroblast growth factor receptor 4 [Source:HGNC Symbol;Acc:HGNC:3691]	5.473013001252837
FGFRL1	receptor	Q8N441	ENSG00000127418	FGFRL1	protein_coding	fibroblast growth factor receptor like 1 [Source:HGNC Symbol;Acc:HGNC:3693]	7.658538856179775
FLT1	receptor	P17948	ENSG00000102755	FLT1	protein_coding	fms related receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]	20.996673741252128
FLT3	receptor	P36888	ENSG00000122025	FLT3	protein_coding	fms related receptor tyrosine kinase 3 [Source:HGNC Symbol;Acc:HGNC:3765]	0.8927042518037085
FLT4	receptor	P35916	ENSG00000037280	FLT4	protein_coding	fms related receptor tyrosine kinase 4 [Source:HGNC Symbol;Acc:HGNC:3767]	1.528139544348145
FPR1	receptor	P21462	ENSG00000171051	FPR1	protein_coding	formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]	0.17923428764044944
FPR2	receptor	P25090	ENSG00000171049	FPR2	protein_coding	formyl peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:3827]	0.16847051460339327
FPR3	receptor	P25089	ENSG00000187474	FPR3	protein_coding	formyl peptide receptor 3 [Source:HGNC Symbol;Acc:HGNC:3828]	2.9251355302627338
FSHR	receptor	P23945	NA	NA	NA	NA	NA
FXYD6	receptor	Q9H0Q3	ENSG00000137726	FXYD6	protein_coding	FXYD domain containing ion transport regulator 6 [Source:HGNC Symbol;Acc:HGNC:4030]	59.26276581458803
FZD1	receptor	Q9UP38	ENSG00000157240	FZD1	protein_coding	frizzled class receptor 1 [Source:HGNC Symbol;Acc:HGNC:4038]	2.518221235955056
FZD10	receptor	Q9ULW2	ENSG00000111432	FZD10	protein_coding	frizzled class receptor 10 [Source:HGNC Symbol;Acc:HGNC:4039]	0.2639891764044944
FZD2	receptor	Q14332	ENSG00000180340	FZD2	protein_coding	frizzled class receptor 2 [Source:HGNC Symbol;Acc:HGNC:4040]	0.17522799101123596
FZD3	receptor	Q9NPG1	ENSG00000104290	FZD3	protein_coding	frizzled class receptor 3 [Source:HGNC Symbol;Acc:HGNC:4041]	7.271592403790948
FZD4	receptor	Q9ULV1	ENSG00000174804	FZD4	protein_coding	frizzled class receptor 4 [Source:HGNC Symbol;Acc:HGNC:4042]	2.8746626966292137
FZD5	receptor	Q13467	ENSG00000163251	FZD5	protein_coding	frizzled class receptor 5 [Source:HGNC Symbol;Acc:HGNC:4043]	7.924147865168539
FZD6	receptor	O60353	ENSG00000164930	FZD6	protein_coding	frizzled class receptor 6 [Source:HGNC Symbol;Acc:HGNC:4044]	19.677186821187714
FZD7	receptor	O75084	ENSG00000155760	FZD7	protein_coding	frizzled class receptor 7 [Source:HGNC Symbol;Acc:HGNC:4045]	NA
FZD8	receptor	Q9H461	ENSG00000177283	FZD8	protein_coding	frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]	NA
FZD9	receptor	O00144	ENSG00000188763	FZD9	protein_coding	frizzled class receptor 9 [Source:HGNC Symbol;Acc:HGNC:4047]	0.03724034157303371
GABBR2	receptor	O75899	ENSG00000136928	GABBR2	protein_coding	gamma-aminobutyric acid type B receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:4507]	0.1450126399078764
GALR1	receptor	P47211	ENSG00000166573	GALR1	protein_coding	galanin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4132]	0.12645989786516854
GALR2	receptor	O43603	ENSG00000182687	GALR2	protein_coding	galanin receptor 2 [Source:HGNC Symbol;Acc:HGNC:4133]	0.009248861797752809
GALR3	receptor	O60755	ENSG00000128310	GALR3	protein_coding	galanin receptor 3 [Source:HGNC Symbol;Acc:HGNC:4134]	0.0016015696629213484
GCGR	receptor	P47871	ENSG00000288269	GCGR	protein_coding	glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192]	0.7748167945136067
GCGR	receptor	P47871	ENSG00000215644	GCGR	protein_coding	glucagon receptor [Source:HGNC Symbol;Acc:HGNC:4192]	0.7748167945136067
GFRA1	receptor	P56159	ENSG00000151892	GFRA1	protein_coding	GDNF family receptor alpha 1 [Source:HGNC Symbol;Acc:HGNC:4243]	0.7493890752808988
GFRA2	receptor	O00451	ENSG00000168546	GFRA2	protein_coding	GDNF family receptor alpha 2 [Source:HGNC Symbol;Acc:HGNC:4244]	0.13662373062662922
GFRA3	receptor	O60609	ENSG00000146013	GFRA3	protein_coding	GDNF family receptor alpha 3 [Source:HGNC Symbol;Acc:HGNC:4245]	0.1972904202247191
GFRA4	receptor	Q9GZZ7	ENSG00000125861	GFRA4	protein_coding	GDNF family receptor alpha 4 [Source:HGNC Symbol;Acc:HGNC:13821]	0
GHR	receptor	P10912	ENSG00000112964	GHR	protein_coding	growth hormone receptor [Source:HGNC Symbol;Acc:HGNC:4263]	1.6791943461335683
GHRHR	receptor	Q02643	ENSG00000106128	GHRHR	protein_coding	growth hormone releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4266]	0.016144557303370787
GHSR	receptor	Q92847	ENSG00000121853	GHSR	protein_coding	growth hormone secretagogue receptor [Source:HGNC Symbol;Acc:HGNC:4267]	1.597471335955056
GIPR	receptor	P48546	ENSG00000010310	GIPR	protein_coding	gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:HGNC:4271]	8.141974235184795
GJB2	receptor	P29033	ENSG00000165474	GJB2	protein_coding	gap junction protein beta 2 [Source:HGNC Symbol;Acc:HGNC:4284]	2.784880422845468
GLP1R	receptor	P43220	ENSG00000112164	GLP1R	protein_coding	glucagon like peptide 1 receptor [Source:HGNC Symbol;Acc:HGNC:4324]	20.461899213483147
GLP2R	receptor	O95838	ENSG00000065325	GLP2R	protein_coding	glucagon like peptide 2 receptor [Source:HGNC Symbol;Acc:HGNC:4325]	0.5879125555514438
GNRHR	receptor	P30968	ENSG00000109163	GNRHR	protein_coding	gonadotropin releasing hormone receptor [Source:HGNC Symbol;Acc:HGNC:4421]	0.07934738696629214
GP1BA	receptor	P07359	ENSG00000185245	GP1BA	protein_coding	glycoprotein Ib platelet subunit alpha [Source:HGNC Symbol;Acc:HGNC:4439]	0.15184601573033707
GP1BB	receptor	P13224	ENSG00000203618	GP1BB	protein_coding	glycoprotein Ib platelet subunit beta [Source:HGNC Symbol;Acc:HGNC:4440]	0.044642288790224714
GP9	receptor	P14770	ENSG00000169704	GP9	protein_coding	glycoprotein IX platelet [Source:HGNC Symbol;Acc:HGNC:4444]	NA
GPC1	receptor	P35052	ENSG00000063660	GPC1	protein_coding	glypican 1 [Source:HGNC Symbol;Acc:HGNC:4449]	9.210177761685394
GPC2	receptor	Q8N158	ENSG00000213420	GPC2	protein_coding	glypican 2 [Source:HGNC Symbol;Acc:HGNC:4450]	0.4395720011235955
GPC4	receptor	O75487	ENSG00000076716	GPC4	protein_coding	glypican 4 [Source:HGNC Symbol;Acc:HGNC:4452]	4.378932528089887
GPC5	receptor	P78333	ENSG00000179399	GPC5	protein_coding	glypican 5 [Source:HGNC Symbol;Acc:HGNC:4453]	0.17740510153033706
GPIHBP1	receptor	Q8IV16	NA	NA	NA	NA	NA
GPR1	receptor	P46091	ENSG00000283448	GPR1	protein_coding	G protein-coupled receptor 1 [Source:HGNC Symbol;Acc:HGNC:4463]	0.050232728505617975
GPR1	receptor	P46091	ENSG00000183671	GPR1	protein_coding	G protein-coupled receptor 1 [Source:HGNC Symbol;Acc:HGNC:4463]	0.050232728505617975
GPR135	receptor	Q8IZ08	ENSG00000181619	GPR135	protein_coding	G protein-coupled receptor 135 [Source:HGNC Symbol;Acc:HGNC:19991]	1.435494404494382
GPR151	receptor	Q8TDV0	ENSG00000173250	GPR151	protein_coding	G protein-coupled receptor 151 [Source:HGNC Symbol;Acc:HGNC:23624]	NA
GPR162	receptor	Q16538	ENSG00000250510	GPR162	protein_coding	G protein-coupled receptor 162 [Source:HGNC Symbol;Acc:HGNC:16693]	0.7769275588762128
GPR182	receptor	O15218	ENSG00000166856	GPR182	protein_coding	G protein-coupled receptor 182 [Source:HGNC Symbol;Acc:HGNC:13708]	0.07386733146067416
GPR37	receptor	O15354	ENSG00000170775	GPR37	protein_coding	G protein-coupled receptor 37 [Source:HGNC Symbol;Acc:HGNC:4494]	1.4432450674157302
GPR37L1	receptor	O60883	ENSG00000170075	GPR37L1	protein_coding	G protein-coupled receptor 37 like 1 [Source:HGNC Symbol;Acc:HGNC:14923]	0.06756601797752809
GPR39	receptor	O43194	ENSG00000183840	GPR39	protein_coding	G protein-coupled receptor 39 [Source:HGNC Symbol;Acc:HGNC:4496]	5.961314822248593
GPR56	receptor	Q9Y653	ENSG00000205336	ADGRG1	protein_coding	adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]	171.6862665967547
GPR75	receptor	O95800	ENSG00000119737	GPR75	protein_coding	G protein-coupled receptor 75 [Source:HGNC Symbol;Acc:HGNC:4526]	3.4231301348314607
GRIN2C	receptor	Q14957	ENSG00000161509	GRIN2C	protein_coding	glutamate ionotropic receptor NMDA type subunit 2C [Source:HGNC Symbol;Acc:HGNC:4587]	0.05517794550561798
GRIN2D	receptor	O15399	ENSG00000105464	GRIN2D	protein_coding	glutamate ionotropic receptor NMDA type subunit 2D [Source:HGNC Symbol;Acc:HGNC:4588]	NA
GRM1	receptor	Q13255	ENSG00000152822	GRM1	protein_coding	glutamate metabotropic receptor 1 [Source:HGNC Symbol;Acc:HGNC:4593]	0.6002865533331927
GRM5	receptor	P41594	ENSG00000168959	GRM5	protein_coding	glutamate metabotropic receptor 5 [Source:HGNC Symbol;Acc:HGNC:4597]	0.045840905280898875
GRPR	receptor	P30550	ENSG00000126010	GRPR	protein_coding	gastrin releasing peptide receptor [Source:HGNC Symbol;Acc:HGNC:4609]	0.2948042247191011
GUCY2C	receptor	P25092	ENSG00000070019	GUCY2C	protein_coding	guanylate cyclase 2C [Source:HGNC Symbol;Acc:HGNC:4688]	0.5739691348314607
GUCY2D	receptor	Q02846	ENSG00000132518	GUCY2D	protein_coding	guanylate cyclase 2D, retinal [Source:HGNC Symbol;Acc:HGNC:4689]	0.10248879325842697
GYPE	receptor	P15421	ENSG00000197465	GYPE	protein_coding	glycophorin E (MNS blood group) [Source:HGNC Symbol;Acc:HGNC:4705]	0.4666626651730537
HCRTR1	receptor	O43613	ENSG00000121764	HCRTR1	protein_coding	hypocretin receptor 1 [Source:HGNC Symbol;Acc:HGNC:4848]	0.07642608247191011
HCRTR2	receptor	O43614	ENSG00000137252	HCRTR2	protein_coding	hypocretin receptor 2 [Source:HGNC Symbol;Acc:HGNC:4849]	0.002460120224719101
HFE	receptor	Q30201	ENSG00000010704	HFE	protein_coding	homeostatic iron regulator [Source:HGNC Symbol;Acc:HGNC:4886]	4.193471745627604
HFE2	receptor	Q6ZVN8	ENSG00000168509	HJV	protein_coding	hemojuvelin BMP co-receptor [Source:HGNC Symbol;Acc:HGNC:4887]	0.005423251685393258
HHIP	receptor	Q96QV1	ENSG00000164161	HHIP	protein_coding	hedgehog interacting protein [Source:HGNC Symbol;Acc:HGNC:14866]	0.24274404380898876
HLA-F	receptor	P30511	ENSG00000234487	HLA-F	protein_coding	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	4.97529112859308
HLA-F	receptor	P30511	ENSG00000237508	HLA-F	protein_coding	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	1.8833019336748162
HLA-F	receptor	P30511	ENSG00000235220	HLA-F	protein_coding	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	1.9425256224388612
HLA-F	receptor	P30511	ENSG00000229698	HLA-F	protein_coding	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	2.565262542981711
HLA-F	receptor	P30511	ENSG00000206509	HLA-F	protein_coding	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	1.8833019336748162
HLA-F	receptor	P30511	ENSG00000137403	HLA-F	protein_coding	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	2.962591004188761
HLA-F	receptor	P30511	ENSG00000204642	HLA-F	protein_coding	major histocompatibility complex, class I, F [Source:HGNC Symbol;Acc:HGNC:4963]	4.390688476154281
HMMR	receptor	O75330	ENSG00000072571	HMMR	protein_coding	hyaluronan mediated motility receptor [Source:HGNC Symbol;Acc:HGNC:5012]	1.2131642723593892
HRH4	receptor	Q9H3N8	ENSG00000134489	HRH4	protein_coding	histamine receptor H4 [Source:HGNC Symbol;Acc:HGNC:17383]	0.11786199662921348
HTR2A	receptor	P28223	ENSG00000102468	HTR2A	protein_coding	5-hydroxytryptamine receptor 2A [Source:HGNC Symbol;Acc:HGNC:5293]	0.06138304606741573
HTR2C	receptor	P28335	NA	NA	NA	NA	NA
HTR6	receptor	P50406	ENSG00000158748	HTR6	protein_coding	5-hydroxytryptamine receptor 6 [Source:HGNC Symbol;Acc:HGNC:5301]	0.018411014606741574
IFITM1	receptor	P13164	ENSG00000185885	IFITM1	protein_coding	interferon induced transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:5412]	21.60752961797753
IFNAR1	receptor	P17181	ENSG00000142166	IFNAR1	protein_coding	interferon alpha and beta receptor subunit 1 [Source:HGNC Symbol;Acc:HGNC:5432]	47.211433162244894
IFNAR2	receptor	P48551	ENSG00000159110	IFNAR2	protein_coding	interferon alpha and beta receptor subunit 2 [Source:HGNC Symbol;Acc:HGNC:5433]	34.34540924341212
IFNGR1	receptor	P15260	ENSG00000027697	IFNGR1	protein_coding	interferon gamma receptor 1 [Source:HGNC Symbol;Acc:HGNC:5439]	69.66040789710856
IFNGR2	receptor	P38484	ENSG00000262795	IFNGR2	protein_coding	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	79.23683445313624
IFNGR2	receptor	P38484	ENSG00000159128	IFNGR2	protein_coding	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	0.7628491215367149
IFNLR1	receptor	Q8IU57	ENSG00000185436	IFNLR1	protein_coding	interferon lambda receptor 1 [Source:HGNC Symbol;Acc:HGNC:18584]	3.1648908157303373
IGF1R	receptor	P08069	ENSG00000140443	IGF1R	protein_coding	insulin like growth factor 1 receptor [Source:HGNC Symbol;Acc:HGNC:5465]	20.816670898972905
IGF2R	receptor	P11717	ENSG00000197081	IGF2R	protein_coding	insulin like growth factor 2 receptor [Source:HGNC Symbol;Acc:HGNC:5467]	31.12016624719101
IGFLR1	receptor	Q9H665	ENSG00000126246	IGFLR1	protein_coding	IGF like family receptor 1 [Source:HGNC Symbol;Acc:HGNC:23620]	0.9819103852460674
IL10RA	receptor	Q13651	ENSG00000110324	IL10RA	protein_coding	interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]	4.174825731412359
IL10RB	receptor	Q08334	ENSG00000243646	IL10RB	protein_coding	interleukin 10 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:5965]	28.599276855165648
IL11RA	receptor	Q14626	ENSG00000137070	IL11RA	protein_coding	interleukin 11 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5967]	2.0161423542114116
IL12RB1	receptor	P42701	ENSG00000096996	IL12RB1	protein_coding	interleukin 12 receptor subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:5971]	0.17919621235955055
IL12RB2	receptor	Q99665	ENSG00000081985	IL12RB2	protein_coding	interleukin 12 receptor subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:5972]	0.29035711654888136
IL13RA1	receptor	P78552	ENSG00000131724	IL13RA1	protein_coding	interleukin 13 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:5974]	45.30396383261558
IL13RA2	receptor	Q14627	ENSG00000123496	IL13RA2	protein_coding	interleukin 13 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:5975]	10.259368414745547
IL15RA	receptor	Q13261	ENSG00000134470	IL15RA	protein_coding	interleukin 15 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5978]	11.551687636538947
IL17RA	receptor	Q96F46	ENSG00000177663	IL17RA	protein_coding	interleukin 17 receptor A [Source:HGNC Symbol;Acc:HGNC:5985]	6.151030431910112
IL17RB	receptor	Q9NRM6	ENSG00000056736	IL17RB	protein_coding	interleukin 17 receptor B [Source:HGNC Symbol;Acc:HGNC:18015]	12.800353191011236
IL17RC	receptor	Q8NAC3	ENSG00000163702	IL17RC	protein_coding	interleukin 17 receptor C [Source:HGNC Symbol;Acc:HGNC:18358]	17.055911412216958
IL18R1	receptor	Q13478	ENSG00000115604	IL18R1	protein_coding	interleukin 18 receptor 1 [Source:HGNC Symbol;Acc:HGNC:5988]	0.44076290779088767
IL18RAP	receptor	O95256	ENSG00000115607	IL18RAP	protein_coding	interleukin 18 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5989]	0.08277029966292135
IL1R1	receptor	P14778	ENSG00000115594	IL1R1	protein_coding	interleukin 1 receptor type 1 [Source:HGNC Symbol;Acc:HGNC:5993]	49.900350587942214
IL1R2	receptor	P27930	ENSG00000115590	IL1R2	protein_coding	interleukin 1 receptor type 2 [Source:HGNC Symbol;Acc:HGNC:5994]	2.867764688814607
IL1RAP	receptor	Q9NPH3	ENSG00000196083	IL1RAP	protein_coding	interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:HGNC:5995]	7.375137359414087
IL1RAPL1	receptor	Q9NZN1	ENSG00000169306	IL1RAPL1	protein_coding	interleukin 1 receptor accessory protein like 1 [Source:HGNC Symbol;Acc:HGNC:5996]	0.025732282153932584
IL1RL2	receptor	Q9HB29	ENSG00000115598	IL1RL2	protein_coding	interleukin 1 receptor like 2 [Source:HGNC Symbol;Acc:HGNC:5999]	1.512942496741573
IL20RA	receptor	Q9UHF4	ENSG00000016402	IL20RA	protein_coding	interleukin 20 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6003]	7.289734519149102
IL20RB	receptor	Q6UXL0	ENSG00000174564	IL20RB	protein_coding	interleukin 20 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6004]	1.0520916387831856
IL21R	receptor	Q9HBE5	ENSG00000103522	IL21R	protein_coding	interleukin 21 receptor [Source:HGNC Symbol;Acc:HGNC:6006]	0.22399412611536978
IL22RA1	receptor	Q8N6P7	ENSG00000142677	IL22RA1	protein_coding	interleukin 22 receptor subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:13700]	8.37000933707865
IL22RA2	receptor	Q969J5	ENSG00000164485	IL22RA2	protein_coding	interleukin 22 receptor subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:14901]	4.2830224719101124e-4
IL23R	receptor	Q5VWK5	ENSG00000162594	IL23R	protein_coding	interleukin 23 receptor [Source:HGNC Symbol;Acc:HGNC:19100]	0.270586606804253
IL27RA	receptor	Q6UWB1	ENSG00000288185	IL27RA	protein_coding	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]	0.968297797752809
IL27RA	receptor	Q6UWB1	ENSG00000104998	IL27RA	protein_coding	interleukin 27 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:17290]	0.968297797752809
IL2RA	receptor	P01589	ENSG00000134460	IL2RA	protein_coding	interleukin 2 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6008]	0.12319880006808955
IL2RB	receptor	P14784	ENSG00000100385	IL2RB	protein_coding	interleukin 2 receptor subunit beta [Source:HGNC Symbol;Acc:HGNC:6009]	0.3028828383811876
IL2RG	receptor	P31785	ENSG00000147168	IL2RG	protein_coding	interleukin 2 receptor subunit gamma [Source:HGNC Symbol;Acc:HGNC:6010]	1.3626267883146068
IL31RA	receptor	Q8NI17	NA	NA	NA	NA	NA
IL3RA	receptor	P26951	ENSG00000185291	IL3RA	protein_coding	interleukin 3 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6012]	2.5388093009571056
IL4R	receptor	P24394	ENSG00000077238	IL4R	protein_coding	interleukin 4 receptor [Source:HGNC Symbol;Acc:HGNC:6015]	34.43175314262646
IL5RA	receptor	Q01344	ENSG00000091181	IL5RA	protein_coding	interleukin 5 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:6017]	0.4107352956400392
IL6R	receptor	P08887	ENSG00000160712	IL6R	protein_coding	interleukin 6 receptor [Source:HGNC Symbol;Acc:HGNC:6019]	14.309196413793932
IL6ST	receptor	P40189	ENSG00000134352	IL6ST	protein_coding	interleukin 6 signal transducer [Source:HGNC Symbol;Acc:HGNC:6021]	106.97732950996212
IL7R	receptor	P16871	ENSG00000168685	IL7R	protein_coding	interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]	2.395739271028079
IL9R	receptor	Q01113	ENSG00000124334	IL9R	protein_coding	interleukin 9 receptor [Source:HGNC Symbol;Acc:HGNC:6030]	0.2989998426966292
INSR	receptor	P06213	ENSG00000171105	INSR	protein_coding	insulin receptor [Source:HGNC Symbol;Acc:HGNC:6091]	17.071255691494382
ITGA1	receptor	P56199	ENSG00000213949	ITGA1	protein_coding	integrin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:6134]	24.666347067595506
ITGA10	receptor	O75578	ENSG00000143127	ITGA10	protein_coding	integrin subunit alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	0.9695108298812039
ITGA11	receptor	Q9UKX5	ENSG00000137809	ITGA11	protein_coding	integrin subunit alpha 11 [Source:HGNC Symbol;Acc:HGNC:6136]	7.715361510976828
ITGA2	receptor	P17301	NA	NA	NA	NA	NA
ITGA2B	receptor	P08514	ENSG00000005961	ITGA2B	protein_coding	integrin subunit alpha 2b [Source:HGNC Symbol;Acc:HGNC:6138]	0.15288414024157304
